Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,26.3,OKC,Big,210,15,0.5%,49,0.8%,92,1.4%,97,15.5%,74,22.0%,0,0.0%,28,14.3%
Bam Adebayo,22.3,MIA,Big,686,44,1.2%,79,1.3%,77,3.0%,72,7.6%,72,22.0%,0,0.0%,67,33.3%
Jarrett Allen,21.5,BKN,Big,132,90,2.7%,26,0.6%,95,1.3%,87,11.4%,97,30.9%,0,0.0%,95,66.7%
Giannis Antetokounmpo,24.9,MIL,Big,277,51,1.5%,51,0.9%,79,3.0%,79,9.3%,100,33.2%,82,7.7%,67,33.3%
Carmelo Anthony,35.4,POR,Big,213,18,0.7%,46,0.8%,67,3.6%,0,0.5%,15,11.8%,0,0.0%,54,23.5%
OG Anunoby,22.3,TOR,Forward,392,100,1.7%,35,1.3%,47,3.0%,94,6.4%,18,11.1%,94,5.0%,59,28.6%
D.J. Augustin,32.0,ORL,Point,127,0,0.0%,0,0.3%,100,1.0%,0,0.0%,25,8.8%,0,0.0%,0,0.0%
Darius Bazley,19.4,OKC,Big,116,28,0.9%,0,0.0%,100,0.4%,8,1.7%,92,26.8%,0,0.0%,100,80.0%
Patrick Beverley,31.3,LAC,Point,165,83,1.0%,75,2.2%,0,8.5%,100,5.8%,92,16.4%,0,0.0%,0,0.0%
Eric Bledsoe,29.9,MIL,Point,267,92,1.2%,42,1.8%,58,3.0%,50,1.8%,67,13.3%,0,0.0%,67,10.0%
Malcolm Brogdon,26.9,IND,Combo,159,0,0.0%,45,1.2%,60,2.6%,0,0.0%,65,11.6%,0,0.0%,65,11.1%
Jaylen Brown,23.0,BOS,Wing,670,64,0.7%,79,1.8%,71,2.9%,93,3.8%,89,14.2%,0,0.0%,68,20.0%
Trey Burke,27.0,DAL,Point,155,67,0.7%,83,2.3%,17,4.0%,42,1.4%,50,12.1%,0,0.0%,0,0.0%
Jimmy Butler,30.1,MIA,Wing,806,82,0.9%,96,2.3%,100,1.9%,100,6.3%,64,11.2%,0,0.0%,54,14.7%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,21,0.4%,61,1.5%,79,2.7%,36,1.3%,14,6.5%,86,2.6%,0,0.0%
Alex Caruso,25.7,LAL,Combo,499,100,1.3%,95,2.0%,25,4.3%,75,2.7%,5,6.4%,0,0.0%,80,15.4%
Gary Clark,25.0,ORL,Forward,143,35,0.7%,65,1.5%,100,1.8%,24,2.6%,65,16.9%,0,0.0%,0,0.0%
Jordan Clarkson,27.4,UTA,Wing,197,0,0.0%,46,1.4%,64,3.0%,32,1.2%,71,11.5%,0,0.0%,82,25.0%
Mike Conley,32.1,UTA,Point,162,42,0.3%,92,2.4%,75,2.4%,67,2.2%,17,7.8%,0,0.0%,0,0.0%
Pat Connaughton,26.8,MIL,Wing,170,50,0.6%,7,0.5%,68,2.9%,82,3.4%,96,19.0%,0,0.0%,68,20.0%
Robert Covington,28.9,HOU,Big,371,69,1.9%,100,3.6%,23,5.3%,13,1.9%,26,13.7%,0,0.0%,31,15.8%
Torrey Craig,28.9,DEN,Wing,372,89,1.0%,14,0.9%,11,4.9%,89,3.7%,79,12.7%,0,0.0%,93,33.3%
Jae Crowder,29.3,MIA,Big,659,33,1.0%,62,1.0%,64,3.7%,10,1.8%,44,16.6%,0,0.0%,46,21.7%
Seth Curry,29.2,DAL,Combo,172,0,0.0%,65,1.5%,50,3.2%,35,1.3%,0,6.0%,0,0.0%,0,0.0%
Anthony Davis,26.6,LAL,Big,768,82,2.1%,92,1.5%,87,2.5%,69,7.5%,64,21.0%,72,5.9%,10,2.8%
Donte DiVincenzo,22.7,MIL,Combo,161,90,1.0%,90,1.9%,5,5.3%,100,5.4%,95,15.5%,0,0.0%,95,25.0%
Luka Doncic,20.7,DAL,Wing,214,61,0.7%,50,1.4%,61,3.1%,57,1.9%,100,24.3%,0,0.0%,86,29.4%
Luguentz Dort,20.5,OKC,Wing,174,96,1.7%,4,0.5%,4,5.2%,75,2.9%,43,9.1%,0,0.0%,0,0.0%
Goran Dragic,33.5,MIA,Point,552,8,0.2%,33,1.4%,33,3.6%,75,2.6%,42,10.4%,0,0.0%,58,3.3%
Joel Embiid,25.6,PHI,Big,144,67,1.8%,95,1.8%,38,4.6%,56,6.8%,90,25.2%,92,14.3%,90,50.0%
James Ennis,29.3,ORL,Forward,119,65,0.8%,82,1.8%,0,6.5%,71,4.5%,41,15.0%,0,0.0%,94,54.5%
Dorian Finney-Smith,26.5,DAL,Forward,190,53,0.8%,71,1.6%,29,4.1%,88,6.3%,29,11.4%,0,0.0%,18,8.3%
Evan Fournier,27.0,ORL,Wing,170,75,0.9%,57,1.5%,82,2.5%,54,1.6%,57,10.6%,0,0.0%,36,6.3%
Markelle Fultz,21.4,ORL,Combo,143,95,1.1%,75,1.5%,0,5.4%,0,0.0%,20,7.9%,0,0.0%,50,7.7%
Danilo Gallinari,31.2,OKC,Big,211,5,0.2%,69,1.0%,97,1.2%,18,2.5%,36,15.3%,0,0.0%,49,22.2%
Marc Gasol,34.8,TOR,Big,226,46,1.4%,64,1.0%,33,4.7%,5,1.7%,56,18.8%,0,0.0%,56,25.0%
Paul George,29.5,LAC,Wing,475,68,0.8%,82,1.8%,39,3.6%,71,2.9%,86,14.1%,93,3.6%,46,8.3%
Shai Gilgeous-Alexander,21.3,OKC,Wing,279,39,0.5%,32,1.1%,96,2.0%,29,1.1%,61,10.7%,0,0.0%,89,30.0%
Rudy Gobert,27.3,UTA,Big,270,72,2.0%,31,0.7%,54,4.0%,82,10.5%,69,21.7%,79,7.1%,85,42.9%
Eric Gordon,30.9,HOU,Wing,409,79,0.9%,36,1.1%,89,2.4%,43,1.5%,18,6.7%,0,0.0%,25,4.2%
Jerami Grant,25.6,DEN,Big,652,38,1.1%,44,0.8%,62,3.8%,3,1.4%,3,8.9%,0,0.0%,15,7.1%
Danny Green,32.4,LAL,Wing,521,93,1.6%,71,1.7%,32,3.9%,96,5.2%,25,8.1%,89,3.0%,25,4.2%
JaMychal Green,29.4,LAC,Big,208,23,0.8%,15,0.4%,18,6.0%,46,5.8%,49,16.8%,69,5.3%,56,25.0%
Jeff Green,33.2,HOU,Forward,336,71,1.0%,18,0.8%,59,2.8%,12,1.6%,71,17.6%,0,0.0%,35,14.3%
Tim Hardaway Jr.,27.6,DAL,Wing,203,0,0.0%,0,0.4%,46,3.4%,46,1.5%,36,8.5%,0,0.0%,64,18.2%
James Harden,30.2,HOU,Point,445,100,1.2%,50,1.8%,42,3.3%,83,2.7%,58,12.7%,0,0.0%,92,13.6%
