Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Jeff Adrien,24.7,GSW,Big,159,65,-1.3,7,+2.0,83,-1.3%,5,+17.7,24,+0.5,59,-1.3%,3,+29.1,14,+1.1,78,-2.2%,25,+8.8
Arron Afflalo,25.0,DEN,Wing,2270,60,-0.8,66,-0.6,52,-0.1%,66,-4.2,84,-0.7,26,+4.2%,75,-9.1,43,+0.2,21,+2.4%,46,+1.7
Alexis Ajinca,22.5,TOR,Big,240,95,-7.3,8,+1.8,14,+1.7%,16,+9.9,2,+1.9,24,+4.5%,3,+30.2,48,+0.1,5,+5.1%,52,-1.3
Cole Aldrich,22.0,OKC,Big,101,63,-1.2,84,-1.4,0,+7.3%,96,-20.2,2,+1.7,1,+21.3%,21,+11.1,100,-3.6,0,+14.8%,100,-45.0
LaMarcus Aldridge,25.3,POR,Big,3202,97,-8.3,98,-3.2,93,-2.0%,96,-20.7,98,-2.0,90,-8.1%,96,-31.0,86,-1.2,69,-1.4%,81,-12.5
Malik Allen,32.3,ORL,Big,159,1,+10.1,20,+1.1,2,+4.3%,26,+6.1,64,-0.3,12,+7.5%,83,-13.5,11,+1.3,12,+3.4%,10,+15.8
Ray Allen,35.3,BOS,Wing,2883,32,+1.9,26,+0.9,60,-0.3%,15,+10.5,56,-0.1,36,+2.0%,53,-0.5,21,+0.8,67,-1.3%,13,+14.5
Tony Allen,28.8,MEM,Combo,1474,85,-4.7,29,+0.8,59,-0.3%,20,+8.0,55,-0.1,27,+4.0%,59,-2.6,19,+0.9,57,-0.5%,15,+13.4
Al-Farouq Aminu,20.1,LAC,Wing,1391,58,-0.7,85,-1.4,26,+0.8%,82,-9.2,63,-0.3,12,+7.5%,67,-5.9,92,-1.5,46,+0.3%,89,-16.6
Lou Amundson,27.9,GSW,Big,664,52,-0.1,5,+2.3,7,+2.1%,18,+9.0,54,-0.1,52,-0.3%,38,+4.0,2,+2.6,5,+4.9%,11,+15.2
Chris Andersen,32.3,DEN,Big,708,78,-3.2,47,+0.1,14,+1.7%,44,+1.4,74,-0.4,21,+5.4%,86,-15.3,24,+0.7,40,+0.7%,16,+12.6
David Andersen,30.4,TOR,Big,140,98,-9.2,100,-4.5,97,-2.5%,100,-42.0,92,-1.1,87,-7.6%,92,-21.1,99,-3.1,68,-1.3%,100,-49.8
