Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
LaMarcus Aldridge,25.3,POR,Big,258,47,46.1%,49,46.1%,0,0.0%,0,79.2%,67,60%,28,65%,74,58%,0,0%
Ray Allen,35.3,BOS,Wing,360,100,67.0%,50,47.2%,100,57.1%,0,96.0%,35,72%,29,55%,35,57%,74,84%
Tony Allen,28.8,MEM,Combo,348,22,43.1%,67,44.7%,0,14.3%,0,65.9%,11,58%,22,55%,0,67%,11,100%
Ryan Anderson,22.5,ORL,Big,145,2,36.7%,0,20.0%,33,30.0%,0,100.0%,60,63%,98,0%,0,0%,95,83%
Carmelo Anthony,26.4,NYK,Wing,155,21,43.1%,21,38.7%,54,36.0%,88,85.3%,82,39%,68,40%,94,11%,82,67%
Joel Anthony,28.2,MIA,Big,572,5,36.7%,5,36.7%,0,0.0%,39,71.0%,44,67%,19,69%,77,50%,0,0%
Trevor Ariza,25.3,NOP,Wing,240,26,45.3%,29,43.8%,46,33.3%,0,72.7%,53,60%,32,50%,41,50%,0,100%
Darrell Arthur,22.6,MEM,Big,197,37,44.6%,37,44.6%,0,0.0%,0,76.5%,35,70%,37,63%,49,76%,0,0%
Omer Asik,24.3,CHI,Big,136,49,46.2%,51,46.2%,0,0.0%,0,37.5%,0,100%,0,100%,0,0%,0,0%
J.J. Barea,26.3,DAL,Combo,384,78,47.0%,89,45.9%,0,33.3%,50,79.4%,100,8%,89,0%,89,4%,100,33%
Matt Barnes,30.6,LAL,Wing,125,6,36.8%,38,45.8%,0,10.0%,0,57.1%,41,67%,12,64%,0,0%,0,100%
Brandon Bass,25.5,ORL,Big,138,23,42.1%,23,42.1%,0,0.0%,0,92.3%,12,81%,44,60%,30,91%,0,0%
Shane Battier,32.1,MEM,Forward,337,92,51.6%,92,56.8%,50,29.6%,0,66.7%,58,59%,83,40%,58,45%,8,100%
Nicolas Batum,21.9,POR,Forward,150,75,51.1%,100,60.0%,33,29.2%,0,75.0%,67,53%,58,50%,67,17%,83,86%
Marco Belinelli,24.6,NOP,Wing,171,18,42.9%,24,40.5%,29,30.8%,0,100.0%,12,87%,3,75%,21,82%,0,100%
Mike Bibby,32.5,MIA,Point,413,0,37.4%,5,33.3%,0,26.2%,0,50.0%,11,70%,84,0%,32,25%,5,100%
Steve Blake,30.7,LAL,Point,144,26,43.5%,0,20.0%,50,33.3%,0,0.0%,0,71%,0,0%,89,0%,53,83%
Keith Bogans,30.5,CHI,Wing,307,94,58.7%,3,30.0%,75,42.4%,0,25.0%,0,100%,0,100%,0,0%,0,100%
Matt Bonner,30.6,SAS,Big,122,91,62.5%,100,85.7%,67,35.3%,0,80.0%,23,75%,98,0%,70,60%,86,100%
Carlos Boozer,28.9,CHI,Big,506,33,43.3%,35,43.5%,0,0.0%,61,80.0%,30,71%,21,68%,56,74%,0,0%
Chris Bosh,26.6,MIA,Big,831,56,47.4%,67,48.1%,0,0.0%,72,81.4%,51,65%,67,53%,51,75%,0,0%
Elton Brand,31.6,PHI,Big,183,81,54.8%,81,54.8%,0,0.0%,0,76.9%,93,50%,72,50%,77,50%,0,0%
Ronnie Brewer,25.6,CHI,Forward,247,67,51.1%,50,47.5%,0,50.0%,0,76.5%,17,82%,17,75%,8,86%,8,100%
Shannon Brown,24.9,LAL,Wing,158,62,51.8%,88,57.6%,14,29.2%,0,66.7%,47,62%,65,42%,35,57%,0,100%
Kobe Bryant,32.2,LAL,Wing,353,38,47.8%,56,49.0%,18,29.3%,38,81.7%,79,40%,74,31%,59,38%,91,58%
Andrew Bynum,23.0,LAL,Big,318,79,54.3%,79,54.3%,0,0.0%,89,83.3%,74,58%,79,49%,58,73%,0,0%
Marcus Camby,36.6,POR,Big,166,58,47.7%,28,42.9%,0,100.0%,0,0.0%,70,60%,88,43%,5,100%,86,100%
Mario Chalmers,24.5,MIA,Point,502,79,54.3%,84,54.1%,58,36.3%,14,71.9%,0,71%,42,27%,11,44%,37,97%
Tyson Chandler,28.1,DAL,Big,678,88,58.2%,88,58.2%,0,0.0%,17,67.9%,21,75%,9,75%,5,100%,0,0%
Wilson Chandler,23.5,DEN,Wing,114,0,29.3%,6,31.8%,0,14.3%,0,77.8%,85,38%,32,50%,79,20%,0,100%
Jason Collins,31.9,ATL,Big,157,98,64.3%,95,64.3%,0,0.0%,0,37.5%,16,78%,0,100%,77,50%,0,0%
Darren Collison,23.2,IND,Point,145,26,43.5%,16,35.0%,0,66.7%,0,63.6%,79,22%,11,50%,68,10%,100,25%
Nick Collison,30.0,OKC,Big,411,95,64.0%,93,64.0%,0,0.0%,0,78.3%,60,63%,60,54%,42,85%,0,0%
Mike Conley,23.1,MEM,Point,505,21,42.0%,37,41.1%,33,30.6%,86,83.0%,53,28%,37,28%,63,11%,58,82%
Daequan Cook,23.5,OKC,Wing,187,91,56.3%,91,60.0%,57,36.8%,0,100.0%,3,95%,9,67%,6,100%,0,100%
Jamal Crawford,30.6,ATL,Combo,356,56,46.4%,56,42.1%,20,35.7%,75,82.4%,33,47%,11,56%,44,29%,67,70%
Glen Davis,24.8,BOS,Big,187,7,37.2%,7,37.2%,0,0.0%,0,72.7%,60,63%,44,60%,67,64%,0,0%
Luol Deng,25.5,CHI,Wing,684,32,47.1%,47,46.9%,39,31.8%,63,83.9%,32,72%,15,62%,29,71%,56,95%
Toney Douglas,24.6,NYK,Combo,108,33,43.6%,0,34.8%,60,37.5%,0,100.0%,56,43%,67,25%,67,25%,78,67%
Tim Duncan,34.5,SAS,Big,211,60,47.8%,58,47.8%,0,0.0%,0,62.5%,77,58%,35,64%,93,45%,0,0%
Kevin Durant,22.1,OKC,Forward,721,50,50.4%,67,49.8%,67,34.6%,50,83.8%,33,61%,50,56%,33,54%,92,81%
Raymond Felton,26.3,DEN,Combo,151,11,40.8%,33,41.2%,0,26.7%,0,81.8%,78,33%,67,25%,33,30%,89,50%
