Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,76,+1.7%,21,-2.7%,46,-0.3%,45,-0.1%,43,-0.4%,62,+0.2%,84,+2.9%,81,+3.1%
Shareef Abdur-Rahim,26.9,POR,Forward,708,11,-3.8%,65,+1.1%,72,+1.2%,8,-5.4%,17,-4.1%,59,+0.1%,84,+2.8%,79,+3.0%
Malik Allen,25.3,MIA,Big,576,24,-2.2%,4,-7.2%,86,+2.5%,94,+6.9%,96,+9.3%,46,-0.2%,27,-1.9%,30,-2.1%
Ray Allen,28.3,SEA,Combo,2147,79,+2.0%,35,-1.4%,77,+1.6%,17,-3.5%,32,-1.9%,80,+1.0%,79,+2.3%,84,+3.3%
Rafer Alston,27.3,MIA,Point,2546,61,+0.5%,7,-5.6%,31,-1.4%,24,-2.4%,18,-3.8%,77,+0.8%,100,+8.6%,100,+9.4%
Chris Andersen,25.3,DEN,Big,1016,23,-2.3%,3,-7.6%,42,-0.5%,92,+6.6%,89,+6.0%,61,+0.2%,70,+1.4%,68,+1.6%
Derek Anderson,29.3,POR,Wing,1807,87,+2.9%,43,-0.7%,20,-2.1%,19,-3.0%,13,-5.0%,57,+0.0%,96,+5.7%,93,+5.8%
Kenny Anderson,33.1,IND,Point,862,32,-1.5%,53,+0.0%,83,+2.3%,72,+2.6%,84,+4.9%,20,-1.1%,9,-3.8%,9,-4.9%
Shandon Anderson,29.8,NYK,Wing,1916,46,-0.5%,84,+2.9%,24,-1.8%,38,-0.8%,27,-2.5%,76,+0.8%,36,-1.2%,49,-0.4%
Carmelo Anthony,19.4,DEN,Wing,2984,80,+2.0%,100,+13.4%,37,-0.9%,0,-10.4%,0,-11.3%,73,+0.6%,19,-2.7%,31,-2.1%
Robert Archibald,23.6,TOR,Big,232,14,-3.2%,94,+4.6%,41,-0.6%,26,-2.2%,23,-2.9%,10,-1.6%,52,-0.1%,35,-1.7%
