Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Steven Adams,29.3,MEM,Big,1132,89,+7.7,+16,88,+5.5,52,-0.2%,35,+0.8%,100,+11.0%,67,+1.0,70,-2.2,60,-0.7%,6,-2.1%,94,-3.8%,85,-3.0
Kyle Anderson,29.1,MIN,Forward,1954,72,+3.5,+9,78,+3.2,78,+1.6%,85,-1.3%,28,-1.7%,75,+1.8,54,-0.2,37,+0.7%,77,+1.2%,34,+1.1%,78,-2.0
Giannis Antetokounmpo,27.9,MIL,Big,2021,90,+8.1,+19,89,+5.6,85,+2.3%,81,-1.1%,62,+1.0%,96,+6.0,72,-2.6,66,-1.0%,21,-1.1%,79,-1.8%,26,+2.1
Thanasis Antetokounmpo,30.3,MIL,Big,113,0,-36.3,-53,0,-17.7,32,-1.6%,0,+5.6%,1,-7.4%,53,+0.1,0,+18.6,0,+8.1%,2,-2.9%,81,-2.0%,10,+4.1
Harrison Barnes,30.4,SAC,Forward,2658,88,+7.5,+18,90,+6.0,55,+0.0%,97,-2.6%,44,-0.5%,99,+7.7,65,-1.5,45,+0.3%,14,-1.4%,84,-2.2%,92,-4.0
Will Barton,31.8,WAS,Wing,767,7,-12.4,-29,8,-8.7,5,-4.9%,43,+0.4%,68,+1.5%,6,-5.3,20,+3.6,12,+2.8%,85,+1.6%,44,+0.6%,25,+2.2
Will Barton,31.8,TOR,Combo,201,4,-14.6,-35,1,-15.4,2,-6.6%,60,-0.3%,18,-2.8%,12,-4.0,58,-0.8,51,-0.1%,13,-1.5%,98,-5.2%,88,-3.3
Nicolas Batum,33.9,LAC,Forward,1699,85,+6.2,+15,81,+3.8,63,+0.6%,72,-0.8%,61,+0.7%,95,+5.8,71,-2.5,72,-1.4%,86,+1.8%,23,+1.8%,35,+1.4
Bradley Beal,29.3,WAS,Combo,1672,76,+4.2,+10,87,+5.4,81,+1.8%,74,-0.8%,69,+1.6%,74,+1.7,41,+1.2,56,-0.4%,16,-1.3%,66,-0.8%,21,+2.6
Malik Beasley,25.9,UTA,Wing,1465,20,-6.5,-16,28,-3.5,49,-0.4%,31,+0.9%,14,-3.1%,21,-2.7,25,+2.9,19,+2.0%,53,+0.2%,50,+0.3%,22,+2.4
