Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,24.1,NYK,Big,1179,31,-1.4%,28,-2.2%,25,-2.8%,24,-2.7%,22,-2.5%,92,+8.8%,35,-1.8%,55,+0.3%
Jordan Adams,20.3,MEM,Wing,185,56,+0.1%,91,+3.9%,76,+2.3%,8,-5.9%,32,-1.8%,19,-5.6%,44,-0.6%,28,-2.1%
Steven Adams,21.3,OKC,Big,1767,35,-1.2%,43,-0.7%,42,-0.8%,25,-2.7%,30,-1.8%,87,+6.9%,36,-1.6%,54,+0.3%
Jeff Adrien,28.7,MIN,Big,189,37,-1.1%,2,-9.7%,30,-2.1%,66,+1.2%,48,-0.3%,100,+27.3%,58,+0.5%,99,+8.7%
Arron Afflalo,29.0,DEN,Wing,1746,78,+1.2%,42,-0.9%,73,+2.0%,18,-3.5%,38,-1.1%,80,+4.6%,93,+5.5%,96,+5.3%
Arron Afflalo,29.0,POR,Wing,747,90,+2.6%,16,-4.1%,99,+9.3%,22,-2.9%,84,+2.5%,87,+6.5%,97,+6.7%,98,+6.7%
Alexis Ajinca,26.5,NOP,Big,873,61,+0.3%,59,+0.6%,64,+1.1%,90,+4.6%,88,+3.0%,44,-1.2%,82,+2.8%,75,+1.7%
Furkan Aldemir,23.2,PHI,Big,488,68,+0.7%,25,-2.7%,42,-0.9%,37,-1.2%,39,-1.1%,92,+8.4%,75,+2.1%,88,+3.5%
Cole Aldrich,26.0,NYK,Big,915,16,-2.8%,62,+0.8%,13,-5.0%,13,-4.5%,7,-5.0%,34,-2.6%,43,-0.7%,40,-1.0%
LaMarcus Aldridge,29.3,POR,Big,2508,64,+0.5%,66,+1.1%,68,+1.6%,94,+5.6%,92,+3.9%,11,-8.2%,74,+2.0%,44,-0.8%
Lavoy Allen,25.7,IND,Big,1025,42,-0.8%,74,+1.9%,31,-1.9%,23,-2.8%,24,-2.4%,41,-1.6%,39,-1.2%,36,-1.4%
Tony Allen,32.8,MEM,Wing,1631,73,+1.1%,18,-3.4%,47,-0.5%,31,-1.7%,38,-1.1%,89,+7.6%,95,+6.1%,97,+6.6%
Al-Farouq Aminu,24.1,DAL,Forward,1277,24,-1.8%,54,+0.1%,56,+0.4%,25,-2.6%,35,-1.5%,28,-3.6%,7,-6.1%,8,-5.5%
Lou Amundson,31.9,NYK,Big,856,93,+3.2%,43,-0.7%,83,+2.9%,96,+7.0%,96,+5.4%,85,+6.1%,75,+2.1%,85,+3.0%
Chris Andersen,36.3,MIA,Big,1127,64,+0.5%,77,+2.2%,13,-5.0%,53,+0.1%,26,-2.2%,78,+4.4%,53,+0.2%,74,+1.7%
Alan Anderson,32.0,BKN,Wing,1713,37,-1.0%,24,-2.8%,72,+1.9%,44,-0.7%,62,+0.7%,38,-1.9%,21,-3.1%,21,-2.8%
Kyle Anderson,21.1,SAS,Wing,316,48,-0.4%,90,+3.7%,78,+2.4%,21,-3.1%,54,+0.0%,98,+14.1%,5,-7.3%,20,-3.0%
Ryan Anderson,26.5,NOP,Big,1653,33,-1.3%,76,+2.1%,35,-1.5%,6,-6.5%,11,-4.3%,13,-7.5%,10,-5.2%,6,-6.0%
Giannis Antetokounmpo,19.9,MIL,Forward,2507,50,-0.3%,32,-1.8%,61,+0.8%,56,+0.3%,60,+0.5%,69,+2.6%,48,-0.4%,62,+0.6%
