Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Joakim Noah,23.7,CHI,Big,1906,79,55.2%,79,55.2%,0,0.0%,40,67.6%,73,60%,55,60%,82,50%,0,0%
Andres Nocioni,28.9,SAC,Forward,702,82,54.0%,30,45.3%,98,44.6%,35,76.3%,59,66%,88,43%,73,50%,50,98%
Andres Nocioni,28.9,CHI,Forward,1257,66,50.9%,25,45.1%,59,38.3%,72,80.6%,21,80%,41,61%,34,71%,45,99%
Steve Novak,25.4,LAC,Forward,1063,96,59.6%,80,51.5%,91,41.8%,0,91.3%,4,93%,0,100%,16,82%,46,98%
Dirk Nowitzki,30.4,DAL,Big,3042,46,49.8%,42,49.3%,53,35.9%,100,89.0%,88,55%,96,42%,77,54%,89,97%
Patrick O'Bryant,22.4,TOR,Big,125,84,56.1%,84,56.1%,0,0.0%,0,50.0%,0,96%,0,100%,9,92%,0,0%
Jermaine O'Neal,30.1,TOR,Big,1211,28,47.4%,30,47.4%,0,0.0%,85,81.0%,82,57%,43,63%,79,54%,0,0%
Jermaine O'Neal,30.1,MIA,Big,809,29,47.5%,32,47.5%,0,0.0%,66,75.0%,74,59%,5,76%,87,48%,0,0%
Shaquille O'Neal,36.7,PHX,Big,2249,97,61.0%,97,61.0%,0,0.0%,19,59.5%,73,59%,35,65%,90,46%,0,0%
Fabricio Oberto,33.6,SAS,Big,601,98,61.2%,98,61.2%,0,0.0%,14,58.1%,25,73%,4,78%,68,58%,0,0%
Greg Oden,20.8,POR,Big,1285,80,55.8%,81,55.8%,0,0.0%,28,63.1%,96,50%,80,53%,95,36%,0,0%
Lamar Odom,29.0,LAL,Big,2283,61,51.9%,65,52.2%,38,33.3%,26,62.6%,71,60%,65,57%,75,55%,94,91%
Emeka Okafor,26.1,CHA,Big,2674,81,55.9%,82,55.9%,0,0.0%,17,59.3%,22,74%,10,73%,38,75%,0,0%
Mehmet Okur,29.4,UTA,Big,2404,72,53.8%,48,49.7%,94,45.2%,87,81.7%,51,66%,76,54%,66,60%,68,100%
Kevin Ollie,35.8,MIN,Combo,814,9,39.5%,23,39.7%,0,0.0%,39,80.2%,30,52%,35,40%,7,61%,0,0%
Travis Outlaw,24.1,POR,Forward,2191,64,50.9%,61,48.1%,66,38.6%,19,72.5%,71,60%,43,60%,84,43%,52,98%
Zaza Pachulia,24.7,ATL,Big,1449,53,50.5%,55,50.5%,0,0.0%,56,71.1%,67,61%,70,56%,20,84%,0,0%
Anthony Parker,33.4,TOR,Wing,2624,44,49.3%,31,44.3%,75,39.8%,72,83.4%,55,63%,44,56%,54,48%,63,93%
Tony Parker,26.5,SAS,Point,2450,72,51.3%,85,51.6%,13,29.5%,30,78.1%,89,25%,50,23%,54,22%,30,89%
Chris Paul,23.5,NOP,Point,2994,87,53.3%,93,52.8%,64,37.4%,86,87.0%,100,14%,94,12%,85,8%,85,55%
Sasha Pavlovic,25.0,CLE,Wing,939,74,52.5%,39,45.6%,83,41.2%,1,54.1%,51,64%,77,43%,60,44%,46,95%
Oleksiy Pecherov,22.9,WAS,Big,205,15,43.7%,13,41.9%,34,30.6%,0,82.4%,66,62%,99,33%,82,50%,94,91%
Kendrick Perkins,24.0,BOS,Big,2249,92,58.1%,93,58.2%,0,0.0%,24,61.6%,85,56%,38,64%,95,36%,0,0%
Morris Peterson,31.2,NOP,Wing,476,50,50.0%,15,41.1%,78,40.5%,0,68.8%,13,82%,4,82%,13,73%,69,90%
Johan Petro,22.8,OKC,Big,311,10,40.8%,12,40.8%,0,0.0%,0,63.6%,29,71%,26,67%,38,75%,0,0%
Johan Petro,22.8,DEN,Big,170,24,46.2%,29,47.4%,0,0.0%,0,60.0%,12,78%,26,67%,13,89%,0,0%
Paul Pierce,31.1,BOS,Wing,3029,55,50.8%,63,48.0%,69,39.3%,66,83.0%,82,49%,64,48%,90,28%,64,92%
Mickael Pietrus,26.7,ORL,Wing,1288,69,52.1%,69,48.7%,48,36.8%,6,69.9%,21,77%,17,67%,32,58%,67,92%
James Posey,31.8,NOP,Wing,2108,77,52.8%,57,47.6%,54,37.3%,56,81.8%,45,67%,76,43%,87,29%,62,93%
Leon Powe,24.8,BOS,Big,1121,67,53.1%,70,53.1%,0,0.0%,44,68.6%,87,56%,58,60%,98,26%,0,0%
Josh Powell,25.8,LAL,Big,603,16,44.1%,16,44.1%,0,0.0%,87,81.1%,17,76%,30,66%,22,84%,0,0%
Ronnie Price,25.4,UTA,Point,675,17,43.4%,26,41.1%,36,32.7%,50,81.1%,35,44%,9,46%,61,20%,61,76%
Tayshaun Prince,28.7,DET,Forward,3056,27,47.8%,41,45.8%,75,40.0%,42,77.8%,86,52%,86,45%,82,46%,55,96%
Gabe Pruitt,22.5,BOS,Combo,224,44,45.8%,14,37.9%,50,35.5%,0,85.7%,21,55%,0,100%,93,0%,5,100%
Joel Przybilla,29.1,POR,Big,1940,99,62.7%,99,62.7%,0,0.0%,37,66.3%,76,59%,65,57%,32,77%,0,0%
Chris Quinn,25.1,MIA,Point,919,69,51.1%,28,41.4%,79,41.0%,27,78.0%,15,57%,30,31%,30,34%,43,84%
Vladimir Radmanovic,28.0,CHA,Forward,649,57,50.4%,34,45.5%,52,36.7%,7,65.5%,46,71%,79,48%,71,54%,59,95%
Vladimir Radmanovic,28.0,LAL,Wing,744,99,58.4%,21,42.3%,94,44.7%,0,83.3%,0,93%,3,84%,5,82%,34,98%
Anthony Randolph,19.3,GSW,Big,1068,25,46.3%,26,46.8%,0,0.0%,57,72.1%,97,49%,88,50%,86,49%,0,0%
Zach Randolph,27.3,NYK,Big,387,21,45.2%,22,45.5%,22,29.2%,89,82.1%,71,60%,77,54%,54,65%,98,71%
Zach Randolph,27.3,LAC,Big,1366,54,50.5%,54,50.4%,44,34.3%,51,70.1%,84,57%,73,55%,80,53%,93,92%
Theo Ratliff,35.5,PHI,Big,576,68,53.1%,71,53.1%,0,0.0%,19,60.0%,91,53%,82,52%,70,57%,0,0%
Michael Redd,29.2,MIL,Wing,1200,66,51.9%,83,50.3%,47,36.6%,51,81.1%,63,59%,79,42%,52,49%,45,96%
JJ Redick,24.4,ORL,Combo,1032,91,53.0%,63,44.9%,75,38.6%,81,86.2%,5,74%,5,71%,21,43%,40,89%
Jason Richardson,27.8,PHX,Wing,1911,96,56.0%,97,54.5%,68,39.1%,35,77.8%,43,67%,16,67%,63,43%,71,89%
Jason Richardson,27.8,CHA,Wing,490,53,50.5%,27,43.5%,96,45.8%,23,74.5%,56,63%,71,46%,37,55%,41,96%
Quentin Richardson,28.6,NYK,Wing,1888,34,48.3%,21,42.0%,45,36.6%,26,75.7%,42,67%,79,42%,66,41%,33,98%
Luke Ridnour,27.7,MIL,Point,1997,24,44.7%,35,41.7%,51,35.3%,82,86.8%,61,35%,33,30%,43,27%,74,63%
Anthony Roberson,25.7,NYK,Combo,236,63,49.5%,58,44.4%,44,34.4%,0,100.0%,9,71%,77,25%,16,50%,47,86%
Nate Robinson,24.4,NYK,Combo,2183,74,50.5%,98,50.7%,33,33.2%,65,84.1%,53,42%,63,30%,51,26%,74,76%
Sergio Rodriguez,22.4,POR,Point,1128,39,46.5%,46,44.0%,49,34.4%,43,79.7%,80,27%,76,15%,96,3%,67,73%
Rajon Rondo,22.7,BOS,Point,2635,81,52.0%,89,52.1%,40,33.3%,2,64.1%,65,32%,35,30%,26,34%,96,43%
Derrick Rose,20.1,CHI,Point,2989,56,48.9%,83,49.2%,11,28.1%,32,78.6%,59,36%,26,35%,31,33%,50,81%
Malik Rose,33.9,OKC,Big,283,3,37.0%,3,38.0%,0,0.0%,80,78.9%,84,57%,84,50%,63,60%,0,0%
Malik Rose,33.9,NYK,Big,148,0,25.0%,1,27.8%,0,0.0%,0,72.7%,95,50%,100,25%,51,67%,0,0%
Quinton Ross,27.5,MEM,Wing,1127,16,44.8%,8,38.2%,60,38.4%,48,81.0%,31,71%,52,52%,30,58%,3,100%
Brandon Roy,24.3,POR,Wing,2895,60,51.3%,81,50.1%,59,38.2%,63,82.4%,98,33%,93,30%,97,21%,80,83%
Brandon Rush,23.3,IND,Wing,1746,45,49.3%,33,44.8%,58,38.2%,7,70.3%,54,63%,69,46%,46,50%,49,95%
Kareem Rush,28.0,PHI,Wing,156,2,39.1%,3,35.3%,6,27.6%,0,100.0%,6,86%,7,75%,46,50%,3,100%
John Salmons,28.9,SAC,Wing,1970,73,52.5%,73,49.0%,88,41.8%,64,82.5%,96,39%,86,37%,94,26%,97,62%
John Salmons,28.9,CHI,Wing,977,88,54.0%,82,50.2%,82,41.0%,73,84.3%,81,51%,55,50%,91,27%,88,77%
Brian Scalabrine,30.6,BOS,Forward,417,88,55.3%,55,47.7%,82,41.2%,0,100.0%,0,98%,0,100%,0,100%,63,95%
Luis Scola,28.5,HOU,Big,2480,69,53.3%,72,53.3%,0,0.0%,69,75.8%,34,70%,43,63%,29,79%,0,0%
Thabo Sefolosha,24.5,CHI,Forward,686,36,48.7%,59,47.8%,25,33.3%,0,85.0%,30,77%,13,73%,36,68%,11,100%
Thabo Sefolosha,24.5,OKC,Wing,703,14,44.7%,48,46.7%,2,25.0%,70,83.3%,48,65%,47,54%,14,71%,3,100%
Ramon Sessions,22.6,MIL,Combo,2131,40,45.6%,70,45.6%,17,28.6%,29,79.4%,58,39%,42,38%,28,38%,53,83%
Bobby Simmons,28.4,BKN,Forward,1709,93,57.5%,27,45.3%,95,44.0%,23,74.1%,23,79%,66,54%,41,67%,73,93%
Sean Singletary,23.2,CHA,Combo,159,70,50.0%,26,41.4%,0,46.2%,0,78.6%,60,39%,95,0%,91,11%,5,100%
Sean Singletary,23.2,PHX,Point,104,9,40.6%,2,29.2%,0,50.0%,0,100.0%,28,45%,4,67%,98,0%,63,75%
James Singleton,27.3,DAL,Forward,770,89,55.8%,96,58.3%,11,29.4%,95,84.6%,68,63%,61,55%,32,73%,11,100%
Brian Skinner,32.5,LAC,Big,839,20,45.1%,20,45.3%,0,0.0%,30,63.8%,62,63%,90,48%,35,76%,0,0%
Craig Smith,25.0,MIN,Big,1428,85,56.5%,85,56.5%,0,0.0%,38,67.4%,75,59%,70,56%,50,67%,0,0%
JR Smith,23.1,DEN,Wing,2187,92,54.8%,76,49.4%,81,41.0%,24,74.9%,79,53%,92,33%,80,32%,82,82%
Joe Smith,33.3,OKC,Big,689,23,46.1%,21,45.3%,0,66.7%,52,70.4%,21,74%,93,46%,21,84%,68,100%
Joe Smith,33.3,CLE,Big,404,44,49.6%,45,49.5%,0,33.3%,66,75.0%,14,77%,38,64%,4,95%,68,100%
Josh Smith,22.9,ATL,Big,2409,55,50.8%,61,51.5%,31,30.1%,15,58.5%,56,64%,40,64%,61,61%,96,88%
Will Solomon,30.3,TOR,Point,494,59,49.3%,96,52.9%,9,27.7%,0,81.0%,76,29%,52,23%,65,19%,70,69%
Will Solomon,30.3,SAC,Point,153,67,50.9%,17,38.7%,94,44.0%,0,50.0%,39,43%,7,50%,69,17%,87,55%
Darius Songaila,30.7,WAS,Big,1504,66,53.0%,71,53.1%,0,0.0%,99,88.9%,7,80%,5,76%,20,85%,0,0%
Marreese Speights,21.2,PHI,Big,1192,46,49.8%,52,50.1%,0,0.0%,78,78.2%,13,77%,19,69%,12,89%,0,0%
Jerry Stackhouse,34.0,DAL,Wing,157,0,29.7%,0,31.7%,0,16.7%,0,100.0%,72,56%,95,29%,18,67%,3,100%
DeShawn Stevenson,27.6,WAS,Combo,885,7,38.3%,5,36.3%,6,27.2%,0,53.3%,26,54%,86,21%,67,22%,42,88%
Peja Stojakovic,31.4,NOP,Forward,2083,55,50.2%,13,42.6%,57,37.9%,100,89.4%,20,80%,29,66%,59,60%,48,98%
Amar'e Stoudemire,26.0,PHX,Big,1941,73,54.0%,75,54.1%,0,25.0%,92,83.5%,80,57%,63,58%,73,56%,68,100%
Rodney Stuckey,22.5,DET,Combo,2514,37,45.6%,67,45.1%,31,32.4%,42,80.3%,91,30%,77,25%,42,29%,63,78%
Robert Swift,22.9,OKC,Big,312,48,50.0%,49,50.0%,0,0.0%,0,75.0%,27,72%,26,67%,34,76%,0,0%
Stromile Swift,28.9,PHX,Big,109,6,39.2%,2,36.1%,0,100.0%,0,53.3%,9,79%,46,63%,0,100%,68,100%
Wally Szczerbiak,31.7,CLE,Wing,1420,87,53.9%,71,48.8%,77,40.4%,80,85.6%,34,70%,38,59%,41,53%,54,94%
Mike Taylor,22.8,LAC,Combo,728,26,44.3%,37,43.0%,36,33.3%,6,68.1%,86,32%,74,27%,49,27%,79,73%
Sebastian Telfair,23.4,MIN,Point,2041,20,44.0%,20,39.6%,55,35.9%,52,81.6%,67,31%,83,14%,70,13%,57,79%
Jason Terry,31.1,DAL,Wing,2460,85,53.7%,90,52.2%,53,37.3%,95,88.0%,72,56%,67,47%,57,45%,85,80%
Etan Thomas,30.6,WAS,Big,300,30,47.7%,34,47.7%,0,0.0%,0,69.6%,41,68%,23,68%,51,67%,0,0%
Kurt Thomas,36.1,SAS,Big,1358,51,50.3%,56,50.5%,0,0.0%,90,82.2%,4,82%,73,55%,6,94%,0,0%
Tim Thomas,31.7,CHI,Forward,253,52,49.4%,2,36.2%,93,42.9%,0,70.0%,30,77%,57,56%,54,63%,66,94%
Tim Thomas,31.7,LAC,Big,217,11,41.6%,10,40.6%,28,30.0%,25,61.8%,85,56%,20,69%,99,17%,68,100%
Tim Thomas,31.7,NYK,Big,767,84,56.3%,49,50.0%,81,41.9%,84,80.6%,26,73%,69,56%,67,59%,93,92%
Tyrus Thomas,22.2,CHI,Big,2135,20,45.2%,20,45.0%,0,42.9%,75,78.1%,41,68%,48,62%,37,76%,98,67%
Jason Thompson,22.3,SAC,Big,2189,49,50.1%,52,50.2%,0,0.0%,51,70.3%,63,63%,37,64%,62,61%,0,0%
Al Thornton,24.9,LAC,Forward,2617,14,45.5%,39,45.8%,9,27.4%,33,76.1%,73,59%,38,62%,70,54%,86,90%
Anthony Tolliver,23.4,SAS,Big,198,2,36.1%,22,45.5%,6,20.5%,0,37.5%,46,67%,96,43%,51,67%,96,88%
Alando Tucker,24.7,PHX,Wing,162,7,42.0%,16,41.3%,0,30.0%,0,78.6%,54,64%,11,71%,68,40%,95,67%
Ronny Turiaf,25.8,GSW,Big,1679,57,51.1%,60,51.2%,0,0.0%,81,79.5%,15,77%,3,79%,42,73%,0,0%
Hedo Turkoglu,29.6,ORL,Wing,2791,37,48.5%,32,44.5%,46,36.6%,50,81.0%,93,40%,96,28%,99,15%,87,80%
Ime Udoka,31.2,SAS,Forward,924,16,46.4%,18,44.4%,23,32.7%,2,61.5%,36,73%,63,55%,45,65%,70,94%
Beno Udrih,26.3,SAC,Point,2248,57,49.1%,80,49.0%,38,32.7%,61,82.2%,56,36%,46,25%,24,35%,48,83%
Roko Leni Ukic,23.9,TOR,Point,793,13,41.7%,50,44.6%,0,17.8%,9,72.1%,98,15%,91,13%,74,10%,76,63%
Anderson Varejao,26.1,CLE,Big,2283,71,53.6%,74,53.7%,0,0.0%,22,61.4%,9,79%,2,80%,36,76%,0,0%
Jacque Vaughn,33.7,SAS,Point,222,2,33.1%,4,31.1%,0,100.0%,0,90.0%,31,45%,17,40%,11,50%,100,0%
Charlie Villanueva,24.2,MIL,Forward,2077,38,48.7%,54,47.6%,36,34.8%,93,83.6%,63,65%,63,55%,61,60%,41,99%
Jake Voskuhl,31.0,TOR,Big,215,1,27.5%,1,27.5%,0,0.0%,0,78.6%,90,55%,6,75%,91,43%,0,0%
Sasha Vujacic,24.7,LAL,Combo,1176,84,50.8%,40,43.2%,64,38.0%,100,93.9%,0,83%,7,67%,0,75%,30,92%
Dwyane Wade,26.8,MIA,Wing,3043,67,52.0%,92,52.4%,22,33.3%,29,76.8%,100,26%,98,28%,96,23%,100,30%
Von Wafer,23.3,HOU,Wing,1154,54,50.7%,55,47.4%,61,38.4%,16,72.6%,65,59%,82,40%,56,47%,3,100%
Henry Walker,21.1,BOS,Forward,149,100,61.8%,100,61.8%,0,0.0%,0,61.5%,5,86%,7,81%,0,100%,0,0%
Ben Wallace,34.1,CLE,Big,1311,17,44.2%,17,44.2%,0,0.0%,4,42.2%,61,63%,45,63%,51,67%,0,0%
Gerald Wallace,26.3,CHA,Forward,2661,61,50.5%,79,51.5%,16,30.2%,65,80.2%,82,54%,77,49%,77,49%,54,97%
Rasheed Wallace,34.1,DET,Big,2121,47,49.9%,28,47.1%,50,35.5%,73,77.2%,18,75%,26,67%,63,60%,86,99%
Luke Walton,28.6,LAL,Wing,1120,21,46.4%,49,46.7%,12,30.2%,13,71.4%,23,75%,12,71%,12,74%,55,94%
Hakim Warrick,26.3,MEM,Big,1992,39,49.0%,48,49.7%,0,19.0%,55,70.8%,58,64%,45,63%,55,65%,68,100%
CJ Watson,24.5,GSW,Point,1818,63,50.7%,69,47.6%,87,42.3%,84,86.8%,41,43%,28,33%,35,32%,17,93%
Earl Watson,29.4,OKC,Point,1737,11,40.9%,33,41.6%,2,25.0%,14,74.5%,85,25%,81,15%,59,21%,41,84%
Kyle Weaver,22.7,OKC,Wing,1085,64,51.8%,85,50.7%,34,35.4%,9,70.8%,57,62%,28,62%,79,33%,75,86%
David West,28.2,NOP,Big,2977,29,47.5%,33,47.7%,9,25.0%,99,88.4%,77,58%,88,49%,57,63%,68,100%
Delonte West,25.3,CLE,Combo,2110,93,53.2%,91,49.2%,86,40.0%,68,84.2%,40,48%,56,32%,65,23%,26,92%
Mario West,24.4,ATL,Wing,222,3,40.0%,13,40.0%,0,0.0%,0,50.0%,99,30%,94,30%,0,0%,0,0%
Russell Westbrook,20.0,OKC,Combo,2626,16,42.0%,28,41.8%,22,28.8%,45,81.8%,98,27%,60,31%,84,16%,95,53%
Chris Wilcox,26.2,OKC,Big,702,35,48.7%,41,49.2%,0,0.0%,13,57.8%,79,57%,30,66%,93,40%,0,0%
Chris Wilcox,26.2,NYK,Big,323,70,53.5%,73,53.5%,0,0.0%,6,50.9%,89,55%,60,59%,98,33%,0,0%
Damien Wilkins,28.8,OKC,Wing,581,5,40.9%,2,35.1%,36,35.5%,60,82.1%,38,69%,36,60%,46,50%,3,100%
Deron Williams,24.4,UTA,Point,2501,65,50.7%,87,51.8%,21,31.1%,75,85.0%,83,26%,59,21%,52,23%,94,49%
Lou Williams,22.0,PHI,Combo,1845,21,43.7%,49,43.7%,19,28.8%,26,79.1%,72,37%,53,32%,44,29%,88,63%
Marvin Williams,22.4,ATL,Forward,2085,59,50.5%,64,49.4%,48,35.9%,70,80.6%,52,68%,48,59%,48,63%,57,96%
Mo Williams,25.9,CLE,Point,2822,91,55.1%,78,48.6%,91,44.0%,95,91.2%,26,47%,70,20%,39,31%,52,80%
Sean Williams,22.1,BKN,Big,332,14,43.5%,15,43.5%,0,0.0%,25,62.1%,98,48%,94,45%,70,57%,0,0%
Shawne Williams,22.7,DAL,Forward,157,0,29.1%,4,37.9%,0,7.1%,0,71.4%,88,50%,98,29%,29,75%,11,100%
Shelden Williams,25.0,MIN,Big,163,26,46.8%,27,46.8%,0,0.0%,0,58.3%,27,73%,20,69%,23,83%,0,0%
Shelden Williams,25.0,SAC,Big,236,9,40.3%,12,41.5%,0,0.0%,61,73.0%,46,67%,55,60%,17,86%,0,0%
Metta World Peace,29.0,HOU,Forward,2435,29,47.9%,7,40.3%,80,40.6%,28,75.3%,95,46%,100,27%,93,28%,95,78%
Antoine Wright,24.7,DAL,Wing,1529,25,47.1%,58,47.6%,13,30.8%,20,73.6%,64,59%,55,50%,62,43%,57,93%
Brandan Wright,21.1,GSW,Big,656,74,54.3%,76,54.3%,0,0.0%,63,73.2%,20,75%,14,71%,26,82%,0,0%
Julian Wright,21.5,NOP,Forward,724,39,48.8%,84,52.3%,0,5.9%,0,56.7%,77,58%,55,56%,63,58%,11,100%
Lorenzen Wright,33.0,CLE,Big,100,1,27.3%,0,27.3%,0,0.0%,0,37.5%,46,67%,84,50%,0,100%,0,0%
Jianlian Yi,21.0,BKN,Big,1378,13,42.9%,8,39.9%,41,33.6%,70,76.1%,8,80%,51,61%,24,82%,88,98%
Nick Young,23.4,WAS,Wing,1738,38,48.6%,54,47.0%,42,36.4%,77,85.0%,95,39%,82,40%,96,22%,52,95%
