Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,20.3,OKC,Big,300,59,-1.6,48,-0.1,77,-3.7%,29,-1.7%,40,+1.4,79,-3.3,11,+30.6
LaMarcus Aldridge,28.3,POR,Big,440,89,-9.6,65,-3.5,36,+2.4%,80,+3.0%,31,+3.0,36,+1.8,46,+2.5
Ray Allen,38.3,MIA,Wing,526,50,+0.3,63,-3.3,28,+3.3%,15,-3.2%,33,+2.6,19,+4.0,80,-20.4
Tony Allen,31.8,MEM,Wing,230,43,+2.3,60,-2.1,13,+6.8%,91,+4.5%,45,+0.8,36,+1.7,62,-5.4
Chris Andersen,35.3,MIA,Big,316,67,-3.8,50,-0.2,58,-1.0%,72,+1.9%,87,-7.4,83,-4.4,68,-10.9
Alan Anderson,31.0,BKN,Wing,257,86,-8.8,76,-6.0,83,-4.7%,9,-4.1%,68,-2.6,29,+2.6,91,-39.7
Pero Antic,31.3,ATL,Big,169,97,-14.7,84,-8.6,86,-5.8%,85,+3.8%,96,-11.0,95,-7.4,78,-18.2
Trevor Ariza,28.3,WAS,Wing,407,72,-5.6,78,-6.3,11,+7.2%,60,+0.6%,1,+13.5,3,+8.5,14,+30.2
Omer Asik,27.3,HOU,Big,162,52,-0.2,53,-0.8,38,+2.1%,50,+0.1%,41,+1.3,24,+3.2,66,-8.1
D.J. Augustin,26.0,CHI,Point,140,92,-11.0,95,-12.8,22,+4.2%,35,-1.2%,12,+8.2,12,+5.8,38,+7.9
Harrison Barnes,21.4,GSW,Forward,141,47,+0.9,40,+2.0,62,-1.2%,5,-5.1%,61,-1.3,56,-0.6,53,-0.2
