Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Shareef Abdur-Rahim,29.9,SAC,Big,1996,57,+0.2%,48,-0.5%,78,+2.0%,39,-1.0%,57,+1.0%,38,-0.4%,51,-0.1%,46,-0.5%
Hassan Adams,22.4,NJN,Wing,448,54,+0.0%,92,+4.9%,30,-1.3%,71,+2.2%,57,+1.0%,2,-3.1%,17,-2.8%,7,-5.9%
Maurice Ager,22.7,DAL,Wing,158,1,-8.7%,100,+8.3%,6,-4.4%,19,-3.7%,3,-8.1%,5,-2.7%,78,+2.5%,50,-0.2%
LaMarcus Aldridge,21.3,POR,Big,1342,76,+1.4%,53,+0.0%,45,-0.5%,61,+1.3%,56,+0.8%,58,+0.2%,35,-1.1%,43,-0.9%
Malik Allen,28.3,CHI,Big,572,41,-0.8%,7,-5.1%,79,+2.1%,94,+6.7%,97,+8.8%,30,-0.8%,15,-2.9%,15,-3.7%
Ray Allen,31.3,SEA,Wing,2214,85,+2.0%,69,+1.5%,9,-3.5%,25,-2.7%,7,-6.3%,69,+0.6%,90,+4.2%,87,+4.8%
Tony Allen,24.8,BOS,Wing,772,92,+2.9%,100,+8.9%,9,-3.5%,5,-6.3%,2,-9.8%,68,+0.6%,55,+0.3%,61,+0.9%
Rafer Alston,30.3,HOU,Point,3027,85,+2.0%,80,+2.8%,77,+1.9%,26,-2.6%,42,-0.7%,7,-2.2%,54,+0.1%,30,-2.1%
Alan Anderson,24.0,CHA,Wing,242,66,+0.7%,29,-2.1%,14,-2.8%,62,+1.3%,36,-1.4%,74,+0.8%,80,+2.7%,79,+3.5%
Derek Anderson,32.3,CHA,Wing,1172,89,+2.5%,45,-0.6%,25,-1.9%,21,-3.5%,11,-5.3%,94,+2.3%,87,+3.7%,92,+6.0%
Carmelo Anthony,22.4,DEN,Wing,2479,99,+4.5%,92,+4.7%,13,-2.8%,91,+5.7%,76,+2.9%,5,-2.5%,4,-5.1%,3,-7.7%
Rafael Araujo,26.2,UTA,Big,193,24,-1.7%,47,-0.5%,98,+5.8%,19,-3.7%,69,+2.1%,16,-1.4%,50,-0.2%,34,-1.6%
Gilbert Arenas,24.8,WAS,Combo,2935,88,+2.2%,91,+4.6%,7,-3.9%,36,-1.4%,11,-5.3%,29,-0.8%,67,+1.4%,58,+0.6%
Trevor Ariza,21.3,ORL,Wing,1230,15,-2.7%,87,+3.7%,16,-2.5%,87,+4.6%,69,+2.1%,10,-1.9%,9,-3.9%,7,-5.8%
Darrell Armstrong,38.4,IND,Combo,1236,81,+1.7%,13,-4.0%,16,-2.5%,40,-1.0%,20,-3.5%,95,+2.6%,93,+4.9%,96,+7.5%
Hilton Armstrong,21.9,NOH,Big,546,41,-0.8%,7,-4.9%,4,-4.7%,95,+7.0%,70,+2.3%,93,+2.1%,58,+0.5%,73,+2.6%
Carlos Arroyo,27.3,ORL,Point,1255,48,-0.3%,18,-3.3%,61,+0.6%,82,+3.5%,85,+4.1%,52,+0.0%,39,-0.9%,43,-0.9%
Chucky Atkins,32.2,MEM,Point,2050,75,+1.3%,85,+3.5%,52,+0.0%,32,-1.9%,32,-1.8%,57,+0.2%,26,-1.8%,33,-1.7%
Kelenna Azubuike,22.9,GSW,Wing,595,8,-4.2%,20,-3.0%,84,+2.6%,61,+1.3%,83,+3.9%,5,-2.7%,70,+1.7%,42,-0.9%
Renaldo Balkman,22.3,NYK,Forward,998,25,-1.7%,96,+6.0%,5,-4.5%,38,-1.1%,9,-5.6%,22,-1.1%,61,+0.7%,48,-0.4%
Marcus Banks,25.0,PHX,Combo,447,0,-10.3%,39,-1.3%,27,-1.7%,96,+7.3%,92,+5.6%,9,-2.1%,22,-2.2%,12,-4.3%
Leandro Barbosa,23.9,PHX,Combo,2570,74,+1.2%,23,-2.6%,55,+0.2%,28,-2.5%,28,-2.3%,95,+2.5%,76,+2.4%,88,+4.9%
J.J. Barea,22.3,DAL,Combo,112,9,-3.9%,88,+3.8%,59,+0.5%,1,-8.7%,3,-8.2%,70,+0.7%,87,+3.8%,85,+4.4%
Andrea Bargnani,21.0,TOR,Big,1594,83,+1.8%,90,+4.3%,4,-4.9%,4,-6.6%,1,-11.4%,20,-1.2%,99,+8.4%,95,+7.2%
Matt Barnes,26.6,GSW,Forward,1735,37,-1.0%,22,-2.7%,72,+1.3%,24,-2.9%,34,-1.6%,78,+1.1%,83,+3.2%,84,+4.3%
Earl Barron,25.2,MIA,Big,128,3,-6.6%,3,-7.5%,89,+3.5%,100,+13.4%,100,+16.9%,27,-0.9%,0,-8.5%,1,-9.4%
Brent Barry,34.8,SAS,Wing,1528,86,+2.1%,54,+0.1%,32,-1.2%,25,-2.7%,18,-3.9%,45,-0.2%,88,+4.0%,81,+3.8%
Brandon Bass,21.5,NOH,Big,109,33,-1.2%,15,-3.6%,3,-5.0%,93,+6.3%,60,+1.3%,11,-1.8%,91,+4.2%,72,+2.4%
Maceo Baston,30.4,IND,Big,358,98,+3.8%,64,+1.2%,20,-2.2%,22,-3.2%,10,-5.4%,62,+0.3%,88,+3.9%,83,+4.2%
Tony Battie,30.7,ORL,Big,1566,31,-1.4%,48,-0.5%,88,+3.4%,66,+1.8%,90,+5.1%,14,-1.6%,13,-3.1%,11,-4.7%
Shane Battier,28.1,HOU,Forward,2976,84,+1.9%,33,-1.8%,91,+3.7%,37,-1.2%,72,+2.5%,65,+0.4%,34,-1.2%,44,-0.8%
Charlie Bell,27.6,MIL,Wing,2807,38,-0.9%,31,-1.9%,30,-1.3%,64,+1.6%,50,+0.3%,81,+1.2%,57,+0.4%,67,+1.7%
Raja Bell,30.1,PHX,Wing,2905,50,-0.3%,56,+0.3%,47,-0.4%,43,-0.6%,39,-1.0%,34,-0.6%,65,+1.2%,58,+0.7%
Mike Bibby,28.5,SAC,Point,2775,70,+0.9%,9,-4.8%,10,-3.3%,83,+4.0%,53,+0.7%,43,-0.2%,92,+4.4%,82,+4.1%
Andris Biedrins,20.6,GSW,Big,2372,93,+3.1%,83,+3.2%,69,+1.1%,36,-1.4%,44,-0.3%,84,+1.3%,8,-4.2%,22,-2.9%
Chauncey Billups,30.1,DET,Point,2527,96,+3.6%,20,-3.0%,60,+0.6%,40,-0.8%,45,-0.3%,43,-0.3%,86,+3.5%,77,+3.3%
Steve Blake,26.7,MIL,Point,555,9,-3.8%,29,-2.2%,33,-1.1%,49,+0.1%,39,-1.0%,54,+0.0%,83,+3.2%,77,+3.2%
Steve Blake,26.7,DEN,Point,1617,96,+3.6%,73,+1.8%,34,-1.1%,72,+2.4%,60,+1.2%,27,-0.9%,23,-2.1%,21,-3.1%
Will Blalock,23.1,DET,Point,154,0,-12.3%,90,+4.3%,84,+2.7%,33,-1.8%,57,+0.9%,5,-2.6%,19,-2.6%,9,-5.2%
Andray Blatche,20.2,WAS,Big,623,15,-2.7%,65,+1.2%,42,-0.6%,50,+0.2%,43,-0.4%,50,-0.1%,39,-0.8%,43,-0.8%
Mark Blount,30.9,MIN,Big,2539,72,+1.1%,38,-1.3%,14,-2.8%,88,+4.9%,68,+2.1%,68,+0.5%,32,-1.3%,44,-0.8%
Keith Bogans,26.5,ORL,Wing,957,90,+2.5%,41,-1.1%,59,+0.5%,7,-5.7%,12,-5.2%,99,+3.9%,77,+2.4%,94,+6.4%
Andrew Bogut,21.9,MIL,Big,2250,60,+0.3%,75,+2.1%,71,+1.2%,49,+0.0%,60,+1.3%,14,-1.6%,26,-1.8%,18,-3.4%
