Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,22.1,TOR,Big,291,95,-3.8%,97,-8.0%,85,-3.5%,89,-4.3%,94,-3.9%,45,+0.4%,34,+1.5%,38,+0.8%
Jeff Adrien,26.7,CHA,Big,660,56,-0.4%,51,-0.1%,39,+0.7%,75,-2.2%,61,-1.0%,43,+0.6%,35,+1.4%,37,+1.0%
Arron Afflalo,27.0,ORL,Wing,2288,25,+1.5%,20,+3.1%,35,+1.2%,21,+2.4%,21,+1.9%,85,-6.3%,26,+2.5%,49,+0.0%
Cole Aldrich,24.0,HOU,Big,179,4,+4.3%,8,+5.5%,81,-3.1%,75,-2.2%,84,-2.7%,15,+7.9%,12,+4.8%,11,+4.5%
Cole Aldrich,24.0,SAC,Big,149,100,-8.9%,57,-0.6%,99,-10.8%,99,-10.8%,100,-10.7%,100,-33.9%,75,-2.8%,100,-11.9%
LaMarcus Aldridge,27.3,POR,Big,2782,66,-1.0%,71,-2.0%,95,-6.1%,33,+1.3%,74,-1.8%,47,+0.0%,18,+3.6%,22,+2.5%
Lavoy Allen,23.7,PHI,Big,1623,79,-1.7%,21,+3.0%,80,-3.1%,45,+0.3%,62,-1.1%,88,-7.5%,85,-3.9%,93,-4.8%
Ray Allen,37.3,MIA,Wing,1989,11,+2.7%,60,-0.9%,30,+1.7%,37,+0.8%,30,+1.2%,9,+9.9%,17,+3.9%,7,+5.7%
Tony Allen,30.8,MEM,Wing,2102,73,-1.3%,58,-0.8%,42,+0.5%,61,-1.0%,51,-0.3%,62,-2.0%,73,-2.5%,78,-2.3%
Al-Farouq Aminu,22.1,NOH,Wing,2049,82,-1.9%,60,-1.0%,96,-6.1%,46,+0.3%,84,-2.7%,73,-3.8%,49,+0.1%,64,-1.1%
Lou Amundson,29.9,MIN,Big,121,66,-1.0%,68,-1.7%,100,-15.6%,66,-1.5%,99,-6.6%,1,+24.8%,75,-2.7%,10,+4.6%
Lou Amundson,29.9,NOH,Big,205,80,-1.7%,83,-3.4%,60,-1.0%,99,-10.6%,98,-6.5%,82,-5.5%,1,+10.0%,6,+5.9%
Chris Andersen,34.3,MIA,Big,604,85,-2.2%,95,-6.7%,40,+0.7%,38,+0.7%,35,+0.8%,44,+0.6%,67,-1.6%,62,-1.0%
