Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
LaMarcus Aldridge,25.3,POR,Big,258,23,-3.5%,82,+4.8%,0,-10.5%,86,+5.5%,26,-5.0%,55,+0.2%,50,+0.0%,53,+0.2%
Ray Allen,35.3,BOS,Wing,360,98,+10.8%,70,+3.2%,7,-5.9%,19,-4.5%,6,-10.3%,69,+1.3%,93,+5.9%,91,+7.2%
Tony Allen,28.8,MEM,Combo,348,27,-3.0%,88,+7.2%,30,-2.1%,60,+1.3%,45,-0.9%,5,-4.5%,31,-1.9%,18,-6.4%
Ryan Anderson,22.5,ORL,Big,145,93,+7.6%,98,+13.4%,8,-5.7%,12,-7.1%,2,-12.9%,26,-2.0%,65,+1.5%,44,-0.5%
Carmelo Anthony,26.4,NYK,Wing,155,49,-1.1%,56,+1.6%,50,-0.1%,23,-3.9%,31,-4.0%,74,+1.8%,57,+0.7%,73,+2.4%
Joel Anthony,28.2,MIA,Big,572,51,-0.6%,36,-1.0%,78,+3.7%,40,-1.3%,60,+2.4%,48,-0.4%,40,-0.9%,41,-1.4%
Trevor Ariza,25.3,NOH,Wing,240,52,-0.6%,100,+16.3%,5,-6.7%,4,-11.1%,0,-17.7%,69,+1.3%,50,+0.1%,64,+1.4%
Darrell Arthur,22.6,MEM,Big,197,25,-3.3%,28,-2.0%,60,+1.0%,66,+1.8%,66,+2.8%,83,+2.3%,22,-3.1%,43,-0.8%
Omer Asik,24.3,CHI,Big,136,40,-2.1%,31,-1.7%,13,-4.4%,97,+11.3%,86,+6.9%,17,-2.5%,26,-2.8%,22,-5.2%
J.J. Barea,26.3,DAL,Combo,384,58,-0.1%,66,+2.5%,55,+0.4%,27,-3.3%,36,-2.9%,82,+2.1%,32,-1.7%,56,+0.4%
Matt Barnes,30.6,LAL,Wing,125,17,-4.7%,83,+4.8%,2,-7.2%,40,-1.4%,11,-8.6%,78,+1.9%,69,+1.9%,79,+3.8%
Brandon Bass,25.5,ORL,Big,138,7,-8.9%,0,-15.6%,74,+3.2%,100,+15.8%,100,+19.0%,54,+0.0%,20,-3.4%,31,-3.4%
Shane Battier,32.1,MEM,Forward,337,72,+1.7%,5,-8.1%,85,+4.2%,17,-4.8%,48,-0.6%,99,+5.6%,83,+3.1%,98,+8.7%
Nicolas Batum,21.9,POR,Forward,150,89,+6.7%,59,+1.7%,6,-6.2%,25,-3.6%,7,-9.8%,77,+1.9%,95,+6.2%,94,+8.1%
Marco Belinelli,24.6,NOH,Wing,171,36,-2.6%,84,+5.3%,4,-6.7%,64,+1.7%,25,-5.0%,6,-4.5%,88,+4.1%,48,-0.4%
Mike Bibby,32.5,MIA,Point,413,20,-4.5%,69,+2.9%,55,+0.6%,79,+4.1%,77,+4.6%,10,-3.5%,18,-4.1%,12,-7.5%
Steve Blake,30.7,LAL,Point,144,41,-2.0%,24,-2.7%,18,-3.8%,39,-1.4%,21,-5.2%,93,+3.7%,89,+4.2%,93,+7.9%
Keith Bogans,30.5,CHI,Wing,307,39,-2.4%,64,+2.4%,76,+3.3%,12,-7.4%,31,-4.1%,86,+2.5%,41,-0.9%,65,+1.6%
Matt Bonner,30.6,SAS,Big,122,44,-1.8%,45,+0.0%,51,+0.1%,5,-11.1%,4,-10.9%,66,+1.1%,100,+9.8%,99,+10.9%
Carlos Boozer,28.9,CHI,Big,506,61,+0.3%,88,+8.1%,74,+3.1%,8,-8.4%,21,-5.2%,94,+3.7%,8,-6.6%,34,-2.9%
Chris Bosh,26.6,MIA,Big,831,40,-2.1%,79,+4.6%,24,-2.6%,87,+5.6%,68,+3.0%,24,-2.2%,12,-5.4%,11,-7.6%
Elton Brand,31.6,PHI,Big,183,100,+14.3%,63,+2.2%,12,-5.0%,88,+6.3%,57,+1.2%,7,-3.7%,55,+0.3%,32,-3.4%
Ronnie Brewer,25.6,CHI,Forward,247,36,-2.6%,30,-1.7%,36,-1.5%,93,+7.8%,82,+6.3%,15,-2.6%,30,-2.0%,23,-4.6%
Shannon Brown,24.9,LAL,Wing,158,26,-3.2%,55,+1.3%,35,-1.7%,18,-4.7%,17,-6.4%,72,+1.5%,85,+3.6%,85,+5.1%
Kobe Bryant,32.2,LAL,Wing,353,86,+6.3%,39,-0.8%,67,+2.0%,62,+1.6%,73,+3.6%,50,-0.4%,29,-2.5%,35,-2.8%
Andrew Bynum,23.0,LAL,Big,318,50,-0.8%,19,-3.0%,93,+5.8%,60,+1.3%,88,+7.2%,79,+2.0%,10,-6.2%,26,-4.1%
Marcus Camby,36.6,POR,Big,166,42,-1.9%,42,-0.6%,90,+4.8%,88,+5.9%,95,+10.7%,21,-2.3%,4,-7.8%,2,-10.1%
Mario Chalmers,24.5,MIA,Point,502,81,+4.2%,12,-4.7%,61,+1.1%,21,-4.2%,35,-3.1%,98,+4.5%,83,+3.3%,93,+7.8%
Tyson Chandler,28.1,DAL,Big,678,21,-3.8%,26,-2.4%,40,-1.3%,81,+4.1%,67,+2.8%,27,-2.0%,67,+1.5%,46,-0.4%
Wilson Chandler,23.5,DEN,Wing,114,50,-0.9%,44,-0.2%,57,+0.6%,32,-2.6%,40,-1.9%,53,-0.2%,75,+2.4%,70,+2.2%
Jason Collins,31.9,ATL,Big,157,31,-2.8%,8,-5.6%,93,+5.6%,64,+1.7%,88,+7.3%,37,-1.2%,45,-0.4%,40,-1.6%
Darren Collison,23.2,IND,Point,145,59,-0.0%,95,+9.1%,97,+7.3%,22,-4.0%,70,+3.3%,40,-1.0%,1,-11.4%,1,-12.4%
Nick Collison,30.0,OKC,Big,411,88,+6.7%,86,+5.6%,15,-4.1%,17,-5.5%,8,-9.7%,45,-0.5%,91,+4.6%,82,+4.1%
Mike Conley,23.1,MEM,Point,505,60,+0.2%,67,+2.7%,16,-3.9%,77,+2.9%,45,-1.0%,30,-1.8%,53,+0.2%,40,-1.7%
Daequan Cook,23.5,OKC,Wing,187,90,+6.9%,54,+0.9%,38,-1.4%,6,-10.5%,3,-11.9%,95,+3.7%,99,+7.3%,100,+11.0%
Jamal Crawford,30.6,ATL,Combo,356,57,-0.2%,85,+5.4%,7,-5.8%,26,-3.6%,9,-9.4%,67,+1.2%,78,+2.8%,81,+4.1%
Glen Davis,24.8,BOS,Big,187,31,-2.8%,57,+1.7%,88,+4.5%,35,-2.0%,64,+2.5%,52,-0.3%,19,-3.9%,25,-4.2%
Luol Deng,25.5,CHI,Wing,684,76,+3.5%,93,+8.5%,81,+3.9%,2,-12.1%,14,-8.3%,35,-1.4%,60,+1.1%,50,-0.3%
Toney Douglas,24.6,NYK,Combo,108,7,-8.6%,74,+3.8%,21,-3.2%,46,-0.5%,33,-3.6%,36,-1.3%,62,+1.1%,52,-0.2%
Tim Duncan,34.5,SAS,Big,211,83,+5.3%,15,-3.9%,23,-2.7%,91,+6.9%,74,+4.2%,60,+0.7%,38,-1.0%,51,-0.3%
Kevin Durant,22.1,OKC,Forward,721,4,-10.4%,37,-0.9%,86,+4.3%,70,+2.3%,83,+6.6%,23,-2.3%,21,-3.4%,19,-5.7%
Raymond Felton,26.3,DEN,Combo,151,29,-2.8%,52,+0.6%,28,-2.2%,36,-1.7%,32,-3.9%,98,+4.3%,39,-1.0%,76,+3.3%
Derek Fisher,36.2,LAL,Point,324,74,+2.2%,53,+0.9%,89,+4.7%,71,+2.4%,87,+7.1%,12,-3.0%,15,-5.0%,9,-8.0%
Danilo Gallinari,22.2,DEN,Forward,147,87,+6.4%,62,+2.0%,26,-2.5%,75,+2.7%,52,+0.2%,31,-1.8%,46,-0.4%,36,-2.2%
Kevin Garnett,34.5,BOS,Big,327,83,+5.1%,75,+4.2%,2,-8.4%,45,-0.8%,10,-9.2%,32,-1.6%,98,+6.6%,84,+5.0%
