Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,85,20.3%,93,138.7,78,12.7%,50,0.63,70,15.2%
Shareef Abdur-Rahim,26.9,POR,Forward,708,80,20.0%,65,124.3,80,13.0%,65,0.65,20,17.9%
Malik Allen,25.3,MIA,Big,576,77,16.2%,6,96.2,32,5.2%,16,0.32,82,14.0%
Ray Allen,28.3,OKC,Combo,2147,96,25.0%,91,130.7,58,22.4%,31,0.90,67,13.5%
Rafer Alston,27.3,MIA,Point,2546,37,18.2%,47,111.1,31,25.2%,42,1.39,84,12.8%
Chris Andersen,25.3,DEN,Big,1016,12,10.1%,50,121.7,34,5.4%,57,0.53,28,20.2%
Derek Anderson,29.3,POR,Wing,1807,69,19.0%,57,117.0,89,21.2%,87,1.11,75,12.2%
Kenny Anderson,33.1,IND,Point,862,16,16.6%,19,101.3,15,22.7%,35,1.36,61,14.5%
Shandon Anderson,29.8,NYK,Wing,1916,35,15.3%,54,116.0,31,10.3%,37,0.67,9,18.3%
Carmelo Anthony,19.4,DEN,Wing,2984,93,23.5%,72,121.6,59,13.5%,19,0.57,37,15.3%
Robert Archibald,23.6,TOR,Big,232,1,8.0%,13,103.8,63,8.1%,96,1.02,13,23.1%
Gilbert Arenas,21.8,WAS,Combo,2047,91,24.5%,78,121.4,76,24.4%,44,0.99,13,19.3%
Brandon Armstrong,23.4,BKN,Combo,329,53,19.9%,9,89.6,0,6.0%,0,0.30,44,15.8%
Darrell Armstrong,35.4,NOP,Point,2212,47,18.8%,68,115.8,26,24.0%,21,1.28,42,16.7%
Carlos Arroyo,24.3,UTA,Point,1999,90,23.5%,79,119.8,73,32.9%,45,1.40,56,15.4%
Chucky Atkins,29.2,BOS,Point,793,48,19.0%,74,118.4,40,26.1%,39,1.37,76,13.4%
Chucky Atkins,29.2,DET,Point,717,45,18.5%,37,109.5,16,22.7%,15,1.23,53,15.4%
Stacey Augmon,35.2,NOP,Wing,1409,15,13.1%,61,117.7,35,10.5%,58,0.80,7,18.8%
Vin Baker,31.9,BOS,Big,1003,73,15.7%,75,133.1,78,9.7%,69,0.62,66,15.3%
Vin Baker,31.9,NYK,Big,301,78,16.5%,40,118.4,51,7.0%,36,0.42,22,21.1%
Marcus Banks,21.9,BOS,Point,1319,65,20.2%,31,105.9,11,22.1%,3,1.09,11,21.0%
Leandro Barbosa,20.9,PHX,Combo,1485,42,18.1%,69,118.9,38,17.4%,40,0.96,11,19.9%
Matt Barnes,23.6,LAC,Forward,699,7,11.1%,83,132.0,54,11.3%,89,1.02,4,24.3%
Brent Barry,31.8,OKC,Wing,1798,48,16.6%,99,154.4,100,29.0%,100,1.75,3,21.4%
Jon Barry,34.3,DEN,Wing,1042,33,14.8%,66,118.8,88,21.1%,96,1.42,58,13.8%
Tony Battie,27.7,BOS,Big,491,28,11.9%,37,117.2,55,7.3%,70,0.62,53,17.2%
Tony Battie,27.7,CLE,Big,951,47,13.1%,16,105.6,41,6.0%,44,0.45,78,14.4%
Shane Battier,25.1,MEM,Wing,1919,12,12.4%,87,128.1,16,8.6%,44,0.69,92,10.2%
Lonny Baxter,24.8,CHI,Big,124,67,15.0%,46,120.0,42,6.0%,27,0.40,9,24.4%
Lonny Baxter,24.8,TOR,Big,477,40,12.6%,64,127.8,16,3.9%,14,0.31,42,18.0%
Lonny Baxter,24.8,WAS,Big,114,18,10.5%,42,119.2,45,6.5%,68,0.61,74,14.5%
Raja Bell,27.1,UTA,Wing,1987,73,19.3%,47,114.5,36,10.8%,16,0.56,63,13.4%
Jonathan Bender,22.8,IND,Big,247,96,22.1%,84,139.4,53,7.3%,17,0.33,5,26.3%
Travis Best,31.3,DAL,Point,727,5,14.2%,27,104.4,5,20.5%,53,1.44,69,13.8%
Mike Bibby,25.5,SAC,Point,2977,73,20.8%,95,130.9,24,24.0%,6,1.15,85,12.7%
Chauncey Billups,27.1,DET,Combo,2755,71,21.8%,100,135.6,93,29.0%,84,1.33,58,14.6%
Steve Blake,23.7,WAS,Point,1290,44,18.4%,60,113.4,34,25.4%,40,1.38,6,22.1%
Corie Blount,34.8,CHI,Big,727,49,13.4%,11,103.0,72,9.2%,78,0.69,65,15.4%
Corie Blount,34.8,TOR,Big,290,2,8.2%,2,83.7,39,5.6%,76,0.68,77,14.4%
Mark Blount,27.9,BOS,Big,2397,34,12.2%,91,145.1,30,5.2%,37,0.43,12,23.4%
Keith Bogans,23.5,ORL,Wing,1735,13,12.5%,44,113.7,15,8.5%,41,0.68,35,15.4%
Calvin Booth,27.5,OKC,Big,1188,25,11.2%,48,121.3,12,3.7%,19,0.33,65,15.5%
Carlos Boozer,21.9,CLE,Big,2585,71,15.6%,77,134.0,78,9.8%,71,0.63,73,14.7%
Curtis Borchardt,23.1,UTA,Big,248,50,13.5%,20,107.5,77,9.7%,79,0.72,6,25.5%
Chris Bosh,19.6,TOR,Big,2501,60,14.1%,59,125.0,37,5.5%,26,0.39,77,14.4%
Bruce Bowen,32.4,SAS,Wing,2615,2,10.0%,48,114.8,4,6.8%,40,0.68,29,16.1%
Ryan Bowen,27.9,DEN,Forward,321,0,7.0%,0,79.1,20,7.5%,96,1.07,98,9.9%
Earl Boykins,27.4,DEN,Point,1757,85,22.3%,45,110.9,48,27.7%,16,1.24,98,10.7%
Shawn Bradley,31.6,DAL,Big,731,19,10.6%,32,115.3,14,3.8%,22,0.36,99,7.6%
Torraye Braggs,27.5,HOU,Big,121,45,13.1%,65,128.0,66,8.3%,72,0.64,0,31.9%
Elton Brand,24.6,LAC,Big,2670,86,18.0%,94,148.6,95,15.8%,89,0.88,48,17.5%
J.R. Bremer,23.1,CLE,Combo,385,33,16.9%,2,83.2,29,15.6%,36,0.92,69,12.9%
Jamison Brewer,22.9,IND,Combo,149,16,15.1%,16,100.0,47,19.1%,80,1.27,0,22.0%
Devin Brown,24.8,SAS,Combo,514,18,15.6%,80,122.0,11,9.2%,11,0.59,24,18.1%
Kedrick Brown,22.6,BOS,Wing,398,7,11.7%,55,116.3,28,9.7%,64,0.83,76,12.1%
Kedrick Brown,22.6,CLE,Combo,546,4,12.5%,64,117.5,16,11.2%,29,0.89,91,11.2%
Kwame Brown,21.6,WAS,Big,2191,53,13.6%,87,141.7,69,8.7%,73,0.64,24,20.6%
P.J. Brown,34.0,NOP,Big,2751,39,12.4%,45,119.8,76,9.6%,83,0.77,84,13.6%
Rick Brunson,31.4,CHI,Point,354,31,17.8%,87,125.0,76,33.0%,87,1.85,13,20.6%
Kobe Bryant,25.2,LAL,Wing,2441,95,24.3%,94,137.8,93,23.8%,81,0.98,71,12.8%
Greg Buckner,27.1,PHI,Wing,645,23,13.9%,13,96.9,47,11.5%,63,0.82,19,16.8%
Caron Butler,23.6,MIA,Wing,2000,42,15.8%,21,102.3,32,10.3%,34,0.65,70,12.9%
Mitchell Butler,32.9,WAS,Wing,521,6,11.6%,33,107.8,22,9.3%,61,0.81,38,15.3%
Rasual Butler,24.4,MIA,Wing,625,52,16.8%,74,122.5,2,6.5%,1,0.39,83,11.0%
Zarko Cabarkapa,22.4,PHX,Forward,559,54,18.0%,20,107.2,65,11.6%,61,0.65,7,23.6%
Marcus Camby,29.6,DEN,Big,2161,37,12.4%,34,115.7,73,9.3%,81,0.75,61,16.1%
Elden Campbell,35.3,DET,Big,885,85,17.9%,40,118.1,70,9.0%,53,0.50,37,18.8%
Brian Cardinal,26.5,GSW,Forward,1603,28,14.0%,100,164.2,52,10.6%,70,0.76,33,16.9%
Vince Carter,26.8,TOR,Wing,2781,100,29.3%,46,114.4,96,26.1%,70,0.89,67,13.1%
Sam Cassell,34.0,MIN,Point,2840,100,27.3%,94,128.7,79,35.3%,23,1.29,77,13.3%
Kelvin Cato,29.2,HOU,Big,1743,22,10.8%,48,121.5,49,6.9%,73,0.64,26,20.4%
Tyson Chandler,21.1,CHI,Big,744,15,10.3%,91,144.3,33,5.4%,55,0.52,19,21.6%
Calbert Cheaney,32.3,GSW,Wing,2042,29,14.2%,26,105.7,40,11.2%,54,0.78,61,13.6%
Doug Christie,33.5,SAC,Wing,2765,31,14.5%,75,122.8,78,17.8%,93,1.23,12,17.5%
Speedy Claxton,25.5,GSW,Point,1575,71,20.7%,90,126.4,53,28.3%,37,1.36,63,14.3%
Derrick Coleman,36.4,PHI,Big,841,78,16.4%,22,108.4,76,9.5%,64,0.58,32,19.4%
Bimbo Coles,35.5,MIA,Combo,148,9,13.5%,4,87.5,24,15.0%,62,1.11,16,19.3%
Jason Collier,26.1,ATL,Big,544,57,13.8%,88,143.0,25,5.1%,24,0.37,40,18.5%
Jarron Collins,24.9,UTA,Big,1689,8,9.2%,99,170.8,60,7.8%,87,0.85,16,22.6%
Jason Collins,24.9,BKN,Big,2205,17,10.4%,54,123.6,84,10.5%,96,1.01,30,19.9%
Brian Cook,22.9,LAL,Big,392,52,13.6%,38,117.5,68,8.5%,71,0.62,92,11.8%
Omar Cook,21.8,POR,Point,133,10,15.7%,0,53.8,56,29.6%,92,1.88,8,22.0%
Chris Crawford,28.5,ATL,Forward,1149,46,17.1%,59,122.7,15,6.8%,13,0.40,91,12.3%
Jamal Crawford,23.6,CHI,Combo,2770,93,24.8%,33,106.8,84,26.9%,60,1.09,78,12.5%
Austin Croshere,28.5,IND,Forward,949,39,15.7%,67,126.8,37,9.1%,39,0.58,57,15.8%
Eddy Curry,20.9,CHI,Big,2130,88,18.2%,76,133.5,44,6.2%,20,0.34,24,20.8%
Michael Curry,35.2,TOR,Combo,1220,0,9.9%,29,105.2,4,8.3%,24,0.84,2,20.2%
Samuel Dalembert,23.5,PHI,Big,2172,17,10.4%,78,134.1,1,1.7%,2,0.17,50,17.5%
Erick Dampier,28.3,GSW,Big,2400,48,13.3%,92,145.7,20,4.4%,18,0.33,37,18.8%
Antonio Daniels,28.6,OKC,Point,1486,19,16.9%,100,148.6,65,32.2%,94,1.91,97,11.2%
Marquis Daniels,22.8,DAL,Combo,971,44,18.8%,62,117.4,33,16.2%,27,0.86,100,9.4%
Antonio Davis,35.0,CHI,Big,2029,50,13.4%,24,109.7,83,10.2%,82,0.76,68,15.2%
Antonio Davis,35.0,TOR,Big,542,35,12.4%,22,108.4,27,5.1%,31,0.41,64,15.7%
Baron Davis,24.6,NOP,Combo,2685,98,29.1%,44,112.7,98,36.3%,76,1.25,76,12.5%
Dale Davis,34.6,POR,Big,1671,6,8.8%,43,119.3,48,6.7%,83,0.77,89,12.6%
Ricky Davis,24.1,BOS,Wing,1648,77,19.7%,86,128.1,76,16.4%,66,0.83,23,16.5%
Ricky Davis,24.1,CLE,Combo,793,64,21.3%,42,111.3,62,23.0%,58,1.08,27,17.8%
