Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,31.3,HOU,Big,784,63,-1.4,31,+0.6,85,-1.4%,25,+7.3,25,+0.6,80,-4.4%,21,+12.0,45,+0.1,85,-3.2%,48,+1.1
Kyle Anderson,31.1,GSW,Big,508,72,-2.3,49,+0.0,37,+0.6%,61,-3.3,9,+1.2,51,+0.2%,18,+14.6,88,-1.3,77,-2.4%,92,-18.6
Kyle Anderson,31.1,MIA,Big,444,85,-4.6,22,+1.1,52,-0.0%,9,+14.8,48,+0.1,93,-7.6%,49,+0.4,16,+1.1,42,+0.8%,4,+25.6
Giannis Antetokounmpo,29.9,MIL,Big,2287,75,-2.8,66,-0.6,67,-0.5%,67,-4.6,73,-0.5,84,-4.9%,58,-3.3,40,+0.3,22,+2.4%,50,+0.6
Harrison Barnes,32.4,SAS,Big,2224,74,-2.5,37,+0.5,56,-0.2%,37,+3.3,47,+0.1,33,+2.5%,48,+1.4,32,+0.6,64,-1.0%,33,+6.3
Nicolas Batum,35.9,LAC,Forward,1344,80,-3.7,71,-0.9,26,+1.0%,82,-9.0,71,-0.5,22,+4.1%,75,-10.4,61,-0.3,48,+0.2%,70,-6.8
Bradley Beal,31.3,PHX,Wing,1699,32,+1.9,13,+1.8,27,+1.0%,20,+9.0,42,+0.2,20,+4.4%,63,-5.3,11,+1.4,67,-1.3%,14,+14.6
Malik Beasley,27.9,DET,Wing,2272,73,-2.5,82,-1.3,28,+0.9%,85,-10.4,53,-0.1,29,+3.1%,44,+2.5,83,-1.1,26,+2.0%,88,-16.0
Bismack Biyombo,32.2,SAS,Big,511,65,-1.7,96,-2.6,55,-0.2%,99,-27.0,98,-2.3,44,+0.9%,99,-52.6,51,+0.0,86,-3.3%,81,-11.0
Devin Booker,28.0,PHX,Combo,2780,24,+3.3,40,+0.3,17,+1.4%,36,+3.9,56,-0.2,40,+1.5%,43,+3.1,36,+0.4,14,+3.3%,33,+6.5
