Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,25.3,OKC,Big,159,32,-3.6,72,+6.7,4,-12.3%,2,+6.3%,1,-21.0,2,-10.3,8,-42.9
LaMarcus Aldridge,33.3,SAS,Big,243,4,-19.3,3,-17.9,41,-1.6%,56,+0.1%,4,-15.0,21,-4.2,8,-44.8
Al-Farouq Aminu,28.1,POR,Big,399,43,-0.5,23,-6.5,78,+3.1%,96,-5.2%,90,+9.4,93,+7.0,57,+6.3
Giannis Antetokounmpo,23.9,MIL,Forward,513,35,-2.8,28,-5.7,54,-0.4%,97,-5.3%,18,-6.9,60,+0.8,3,-52.7
D.J. Augustin,31.0,ORL,Point,140,79,+9.3,67,+5.3,65,+1.4%,7,+4.6%,25,-5.6,24,-3.9,20,-21.8
Will Barton,27.8,DEN,Wing,320,7,-16.5,6,-17.0,30,-3.5%,75,-1.4%,53,+0.4,47,-0.9,52,+2.8
Aron Baynes,31.9,BOS,Big,115,3,-20.5,5,-17.1,9,-9.1%,15,+3.5%,10,-8.6,8,-6.7,17,-25.6
Malik Beasley,21.9,DEN,Wing,265,54,+1.7,45,-0.4,89,+7.2%,93,-4.5%,78,+5.1,87,+5.8,40,-7.7
Marco Belinelli,32.6,SAS,Wing,130,83,+10.4,64,+5.0,73,+2.6%,72,-1.2%,99,+19.6,95,+7.4,95,+51.9
Patrick Beverley,30.3,LAC,Combo,194,18,-7.6,4,-17.9,23,-5.0%,50,+0.3%,61,+1.6,41,-1.7,73,+17.9
Eric Bledsoe,28.9,MIL,Point,422,16,-8.3,26,-5.8,67,+1.6%,99,-6.4%,19,-6.7,62,+0.9,3,-51.1
Bojan Bogdanovic,29.5,IND,Forward,147,64,+5.3,86,+13.0,6,-11.3%,11,+4.0%,28,-4.8,11,-6.3,65,+13.3
Andrew Bogut,33.9,GSW,Big,178,21,-6.3,12,-13.0,85,+5.4%,73,-1.3%,91,+10.2,88,+5.8,71,+17.0
Malcolm Brogdon,25.9,MIL,Combo,194,77,+8.2,63,+4.9,34,-3.0%,43,+0.7%,68,+2.9,61,+0.9,67,+13.6
Jaylen Brown,22.0,BOS,Wing,269,34,-3.4,33,-2.2,5,-11.8%,20,+2.7%,9,-8.6,5,-8.2,38,-8.3
Jimmy Butler,29.1,PHI,Forward,421,90,+12.8,73,+6.8,72,+2.5%,53,+0.2%,93,+10.9,57,+0.2,93,+49.4
Clint Capela,24.5,HOU,Big,330,13,-10.2,43,-0.5,23,-4.6%,44,+0.7%,42,-1.8,53,-0.4,41,-7.7
DeMarre Carroll,32.3,BKN,Forward,119,66,+5.4,63,+4.4,36,-2.8%,87,-3.1%,8,-9.4,18,-4.6,30,-16.2
Darren Collison,31.2,IND,Point,116,73,+7.7,48,+0.5,45,-1.3%,93,-4.3%,74,+4.0,80,+4.1,39,-8.0
Pat Connaughton,25.8,MIL,Wing,294,18,-7.7,29,-4.6,61,+0.9%,13,+3.6%,47,-1.0,48,-0.9,48,+0.2
DeMarcus Cousins,28.2,GSW,Big,133,0,-25.7,0,-21.8,66,+1.5%,28,+1.9%,36,-3.1,45,-1.0,34,-11.5
Jae Crowder,28.3,UTA,Big,130,23,-6.1,14,-11.9,68,+2.2%,33,+1.1%,71,+3.5,49,-0.7,76,+21.6
Seth Curry,28.2,POR,Wing,319,63,+5.1,66,+5.2,83,+4.2%,24,+2.2%,44,-1.4,38,-1.8,53,+3.4
Stephen Curry,30.6,GSW,Point,845,88,+12.0,94,+15.3,21,-5.5%,57,-0.0%,16,-7.2,22,-4.2,32,-13.9
DeMar DeRozan,29.2,SAS,Wing,248,42,-1.0,62,+4.2,47,-1.3%,58,-0.2%,17,-7.2,27,-3.8,31,-14.2
Spencer Dinwiddie,25.6,BKN,Combo,131,51,+1.3,28,-5.7,93,+9.9%,39,+0.9%,88,+8.4,75,+3.5,78,+22.7
Andre Drummond,25.2,DET,Big,127,38,-2.4,8,-15.7,53,-0.5%,74,-1.4%,93,+10.9,93,+7.1,90,+44.6
Kevin Durant,30.1,GSW,Forward,441,61,+5.1,78,+8.5,48,-1.2%,78,-1.6%,29,-4.4,66,+1.4,13,-33.1
Wayne Ellington,30.9,DET,Wing,128,43,-0.8,80,+9.4,74,+2.8%,23,+2.3%,95,+11.8,96,+8.7,90,+44.6
Joel Embiid,24.6,PHI,Big,334,85,+10.9,88,+13.4,60,+0.9%,42,+0.9%,48,-1.0,26,-3.8,72,+17.4
James Ennis,28.3,PHI,Wing,224,60,+4.7,61,+3.8,62,+1.1%,55,+0.2%,64,+2.3,63,+1.1,54,+5.4
Derrick Favors,27.3,UTA,Big,103,57,+3.6,73,+6.8,63,+1.2%,16,+3.4%,28,-4.8,37,-2.3,33,-12.5
