Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,31.3,HOU,Big,154,92,-13.7,90,-14.1,71,-3.5%,84,+2.4%,22,+6.0,73,-2.5,5,+50.4
Giannis Antetokounmpo,29.9,MIL,Big,187,2,+22.3,3,+20.9,25,+2.9%,80,+1.9%,21,+6.0,10,+6.1,3,+56.3
Nicolas Batum,35.9,LAC,Forward,170,56,-2.0,59,-2.9,16,+5.2%,57,+0.4%,46,+0.3,44,+0.9,56,-0.9
Malik Beasley,27.9,DET,Wing,163,40,+2.5,57,-2.2,3,+9.3%,12,-2.8%,48,+0.1,42,+1.5,69,-12.1
Jaylen Brown,28.0,BOS,Wing,402,79,-9.0,69,-6.6,91,-7.7%,94,+3.7%,71,-3.1,97,-7.7,26,+23.7
Jimmy Butler,35.1,GSW,Forward,436,27,+7.0,39,+2.8,33,+1.9%,40,-0.7%,39,+1.3,14,+5.3,82,-28.0
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,58,-2.1,75,-7.6,92,-8.0%,19,-2.0%,54,-0.8,63,-1.7,45,+4.6
Mike Conley,37.1,MIN,Point,356,76,-8.1,81,-9.2,41,+1.4%,28,-1.4%,75,-4.2,53,-0.2,79,-23.7
Stephen Curry,36.6,GSW,Point,318,46,+1.4,64,-4.7,60,-1.8%,19,-1.8%,8,+10.7,19,+4.4,24,+27.3
Kris Dunn,30.6,LAC,Combo,151,35,+5.0,19,+8.7,79,-4.7%,64,+1.0%,67,-2.7,76,-3.4,46,+4.6
Dorian Finney-Smith,31.5,LAL,Forward,169,84,-11.2,77,-7.7,63,-2.0%,8,-3.4%,83,-6.1,45,+0.9,84,-30.2
Rudy Gobert,32.4,MIN,Big,411,87,-12.0,84,-11.1,55,-1.0%,66,+1.1%,89,-7.3,84,-4.4,61,-7.3
Aaron Gordon,29.1,DEN,Big,521,80,-9.2,81,-8.5,97,-11.2%,97,+6.8%,86,-6.5,93,-6.4,53,+0.1
Draymond Green,34.7,GSW,Big,418,83,-10.9,88,-13.2,64,-2.1%,46,-0.2%,8,+10.3,21,+3.8,21,+29.9
Tim Hardaway Jr.,32.6,DET,Forward,188,43,+1.7,52,-0.9,95,-9.6%,72,+1.5%,63,-2.0,81,-4.0,32,+14.3
James Harden,35.2,LAC,Point,275,4,+16.9,35,+4.4,12,+6.1%,3,-5.4%,0,+27.2,1,+10.5,0,+123.4
Tobias Harris,32.3,DET,Forward,232,23,+7.9,5,+17.7,98,-12.8%,90,+3.0%,90,-7.4,85,-4.4,66,-10.8
Buddy Hield,31.9,GSW,Wing,338,49,+0.4,22,+8.4,88,-7.1%,58,+0.4%,80,-5.4,48,+0.2,81,-26.2
Jrue Holiday,34.4,BOS,Combo,263,55,-1.9,37,+3.8,40,+1.4%,70,+1.4%,44,+0.4,36,+1.8,60,-6.1
Al Horford,38.4,BOS,Big,347,36,+4.8,27,+7.5,74,-3.9%,38,-0.8%,73,-3.5,81,-4.2,52,+2.6
LeBron James,39.8,LAL,Big,203,0,+28.9,1,+25.3,27,+2.7%,81,+1.9%,14,+8.2,25,+3.2,28,+22.2
Nikola Jokic,29.7,DEN,Big,562,94,-15.1,80,-8.3,99,-14.7%,69,+1.4%,86,-6.9,95,-7.0,51,+2.7
Derrick Jones Jr.,27.7,LAC,Big,128,86,-12.0,89,-13.3,49,+0.1%,71,+1.5%,78,-4.7,54,-0.5,73,-19.4
Cory Joseph,33.2,ORL,Point,142,93,-14.9,95,-18.5,73,-3.6%,1,-5.9%,61,-1.7,37,+1.6,75,-19.9
Kawhi Leonard,33.3,LAC,Forward,264,7,+15.6,2,+21.8,14,+5.9%,50,+0.1%,30,+3.0,8,+6.7,85,-30.7
Kevon Looney,28.7,GSW,Big,128,18,+9.2,12,+12.0,7,+7.7%,23,-1.7%,87,-7.0,49,+0.1,86,-31.6
TJ McConnell,32.6,IND,Point,385,48,+0.6,31,+6.0,82,-5.1%,52,+0.1%,93,-10.9,86,-4.5,83,-29.3
Jamal Murray,27.7,DEN,Combo,578,100,-26.8,97,-19.3,69,-3.1%,86,+2.6%,53,-0.8,52,-0.0,59,-4.0
Bobby Portis,29.7,MIL,Big,158,95,-15.7,96,-18.7,54,-1.0%,14,-2.6%,41,+1.1,34,+2.0,53,0.0
Kristaps Porzingis,29.3,BOS,Big,230,17,+9.4,16,+9.5,25,+2.9%,33,-1.1%,75,-4.1,60,-1.5,68,-11.2
Norman Powell,31.4,LAC,Wing,237,9,+14.1,7,+16.7,61,-1.9%,15,-2.5%,35,+2.0,51,+0.1,41,+7.6
Julius Randle,29.9,MIN,Big,527,58,-2.1,64,-4.6,21,+3.7%,49,+0.1%,68,-2.8,33,+2.3,91,-37.5
Dennis Schroder,31.1,DET,Point,164,19,+9.0,36,+4.1,0,+15.7%,24,-1.7%,28,+3.5,4,+8.2,90,-36.6
Pascal Siakam,30.6,IND,Big,768,97,-17.8,92,-15.1,45,+0.8%,35,-1.1%,51,-0.2,32,+2.3,71,-17.7
Karl-Anthony Towns,29.0,NYK,Big,639,71,-7.0,42,+2.3,93,-9.0%,68,+1.3%,97,-13.1,90,-5.3,86,-31.5
Myles Turner,28.6,IND,Big,671,34,+5.1,33,+4.9,44,+1.0%,61,+0.7%,10,+9.2,40,+1.5,14,+38.2
Fred VanVleet,30.7,HOU,Point,276,14,+10.1,14,+11.0,24,+3.0%,99,+7.8%,74,-3.7,43,+1.0,87,-32.5
Russell Westbrook,36.0,DEN,Point,312,16,+9.4,25,+7.7,15,+5.5%,55,+0.3%,47,+0.2,47,+0.6,55,-0.5
Andrew Wiggins,29.7,MIA,Wing,200,82,-10.5,76,-7.6,57,-1.2%,69,+1.3%,69,-2.9,16,+4.8,97,-66.7
Ivica Zubac,27.6,LAC,Big,255,1,+23.7,3,+18.7,72,-3.6%,27,-1.4%,43,+0.5,39,+1.6,62,-8.4
Gary Payton II,31.9,GSW,Wing,199,29,+6.7,41,+2.7,1,+10.8%,78,+1.8%,57,-1.1,59,-1.2,48,+3.1
Alex Caruso,30.7,OKC,Forward,561,69,-4.8,48,-0.2,20,+3.9%,36,-0.9%,55,-0.9,31,+2.4,75,-20.2
Thomas Bryant,27.3,IND,Big,146,41,+2.3,53,-1.0,36,+1.7%,37,-0.8%,91,-8.2,53,-0.1,92,-40.1
Josh Hart,29.7,NYK,Wing,641,57,-2.1,46,+0.8,48,+0.3%,77,+1.8%,58,-1.1,69,-2.3,44,+6.9
OG Anunoby,27.3,NYK,Forward,703,45,+1.4,58,-2.3,17,+4.3%,4,-4.8%,38,+1.4,56,-0.5,34,+13.0
Bam Adebayo,27.3,MIA,Big,233,89,-12.6,92,-15.4,37,+1.5%,34,-1.1%,6,+11.8,12,+5.7,8,+49.0
Dillon Brooks,28.8,HOU,Forward,205,47,+1.3,11,+12.2,34,+1.9%,62,+0.8%,98,-16.9,47,+0.6,100,-103.9
Jayson Tatum,26.7,BOS,Forward,321,96,-16.1,97,-20.9,68,-2.9%,30,-1.3%,37,+1.5,65,-1.9,29,+16.3
Bogdan Bogdanovic,32.2,LAC,Wing,114,98,-18.7,100,-23.9,46,+0.7%,93,+3.4%,76,-4.2,86,-4.7,37,+9.1
Derrick White,30.3,BOS,Combo,415,25,+7.8,8,+16.6,97,-11.7%,98,+7.4%,92,-8.9,98,-9.8,39,+8.4
Luke Kornet,29.3,BOS,Big,180,39,+2.8,55,-1.5,30,+2.6%,6,-3.9%,49,+0.0,14,+5.3,81,-28.0
Jarrett Allen,26.5,CLE,Big,261,70,-6.3,49,-0.5,84,-5.7%,10,-3.0%,27,+3.8,11,+5.8,94,-50.2
Donovan Mitchell,28.2,CLE,Combo,288,42,+1.9,62,-4.2,36,+1.7%,7,-3.9%,31,+2.9,23,+3.4,77,-21.5
Wendell Carter,25.5,ORL,Big,188,30,+6.2,67,-5.7,80,-4.8%,14,-2.6%,45,+0.4,64,-1.8,31,+14.7
Luka Doncic,25.7,LAL,Point,207,20,+8.9,20,+8.6,53,-0.5%,79,+1.8%,99,-18.5,96,-7.0,89,-33.3
Michael Porter,26.3,DEN,Forward,435,42,+2.2,23,+8.4,51,-0.4%,53,+0.1%,50,-0.0,38,+1.6,64,-9.5
Shai Gilgeous-Alexander,26.3,OKC,Point,849,53,-1.3,42,+2.0,42,+1.3%,91,+3.0%,79,-5.1,61,-1.5,69,-13.6
Jaren Jackson,25.1,MEM,Big,211,47,+0.8,78,-7.9,4,+8.2%,67,+1.2%,11,+9.1,35,+2.0,14,+39.7
Donte DiVincenzo,27.8,MIN,Combo,369,3,+17.6,9,+14.8,47,+0.5%,29,-1.3%,3,+12.9,17,+4.6,13,+40.4
Mikal Bridges,28.2,NYK,Forward,705,25,+7.8,44,+1.0,50,+0.0%,21,-1.7%,15,+8.0,55,-0.5,10,+44.1
Jalen Brunson,28.2,NYK,Point,680,15,+9.5,8,+15.4,83,-5.3%,11,-2.9%,92,-9.0,91,-5.4,67,-11.1
Isaiah Hartenstein,26.5,OKC,Big,515,33,+5.1,31,+5.7,78,-4.6%,75,+1.6%,62,-1.9,74,-3.2,36,+9.4
Mitchell Robinson,26.6,NYK,Big,369,67,-4.1,70,-6.9,29,+2.6%,36,-0.9%,52,-0.3,36,+1.8,70,-13.7
Gary Trent Jr.,25.8,MIL,Wing,170,81,-10.3,86,-11.6,64,-2.4%,58,+0.5%,20,+6.1,46,+0.8,2,+64.3
Haywood Highsmith,27.9,MIA,Forward,139,5,+16.0,0,+26.6,58,-1.6%,88,+2.9%,94,-11.1,82,-4.2,92,-42.9
Ja Morant,25.2,MEM,Point,149,97,-16.3,91,-14.2,85,-5.7%,16,-2.5%,14,+8.4,7,+7.4,64,-9.4
DeAndre Hunter,26.9,CLE,Forward,185,68,-4.7,86,-13.1,28,+2.6%,76,+1.8%,66,-2.5,58,-0.8,65,-10.0
Darius Garland,24.8,CLE,Point,147,3,+20.3,4,+18.1,19,+3.9%,82,+2.2%,9,+9.5,20,+4.1,25,+25.6
Rui Hachimura,26.7,LAL,Forward,182,8,+14.9,53,-1.0,9,+6.7%,26,-1.5%,1,+24.1,0,+15.0,3,+59.8
Tyler Herro,24.8,MIA,Combo,225,37,+3.7,21,+8.5,70,-3.4%,41,-0.5%,69,-2.9,69,-2.1,57,-1.4
Nickeil Alexander-Walker,26.2,MIN,Wing,300,21,+8.0,25,+7.7,39,+1.5%,63,+0.8%,32,+2.8,42,+1.3,38,+8.6
Ty Jerome,27.3,CLE,Combo,186,85,-11.8,75,-7.6,42,+1.3%,86,+2.4%,84,-6.4,72,-2.5,76,-20.2
Kevin Porter,24.5,MIL,Combo,148,81,-10.0,87,-13.1,90,-7.4%,3,-5.0%,34,+2.3,70,-2.4,17,+35.1
Luguentz Dort,25.5,OKC,Wing,665,26,+7.4,38,+3.7,31,+2.3%,18,-2.3%,19,+7.1,15,+4.9,43,+7.0
Naz Reid,25.2,MIN,Big,367,24,+7.8,17,+9.4,87,-6.9%,59,+0.5%,42,+1.0,77,-3.5,16,+35.7
Dean Wade,27.9,CLE,Forward,137,44,+1.5,54,-1.3,19,+4.0%,53,+0.2%,29,+3.1,58,-1.0,15,+35.7
Max Strus,28.6,CLE,Wing,252,64,-3.3,13,+11.8,96,-11.2%,22,-1.7%,81,-5.9,87,-4.8,36,+10.0
Anthony Edwards,23.2,MIN,Combo,584,51,-0.6,50,-0.5,53,-0.6%,85,+2.4%,65,-2.4,75,-3.2,40,+7.8
Obi Toppin,26.7,IND,Forward,429,12,+11.2,14,+11.8,62,-1.9%,47,-0.1%,64,-2.2,71,-2.5,47,+4.2
Tyrese Haliburton,24.7,IND,Combo,770,69,-4.7,60,-3.5,56,-1.1%,44,-0.3%,7,+11.1,29,+2.7,12,+41.4
Aaron Nesmith,25.0,IND,Wing,649,78,-9.0,69,-6.3,86,-5.8%,89,+2.9%,53,-0.6,89,-5.3,22,+29.1
Payton Pritchard,26.8,BOS,Point,298,32,+5.2,36,+3.8,6,+7.9%,47,+0.0%,12,+9.0,5,+7.9,49,+3.0
Jaden McDaniels,24.1,MIN,Forward,494,91,-13.4,83,-10.5,18,+4.2%,39,-0.7%,81,-5.5,25,+3.3,98,-70.5
Desmond Bane,26.4,MEM,Wing,211,77,-8.4,43,+1.4,66,-2.6%,54,+0.2%,70,-3.0,75,-3.2,49,+3.0
Isaiah Joe,25.3,OKC,Wing,167,22,+7.9,30,+6.2,52,-0.4%,42,-0.4%,18,+7.3,19,+4.3,35,+10.3
Sam Merrill,28.5,CLE,Wing,159,74,-7.6,71,-7.0,47,+0.5%,32,-1.2%,58,-1.1,64,-1.9,31,+16.0
Cade Cunningham,23.1,DET,Combo,247,86,-11.9,26,+7.5,100,-23.4%,92,+3.4%,96,-12.0,100,-17.3,19,+33.6
Jalen Green,22.7,HOU,Wing,214,60,-2.4,58,-2.9,8,+7.5%,25,-1.5%,2,+15.2,2,+10.2,8,+48.7
Evan Mobley,23.4,CLE,Big,257,28,+6.8,24,+7.8,67,-2.6%,73,+1.5%,97,-12.0,78,-3.7,93,-46.0
Jonathan Kuminga,22.1,GSW,Forward,184,14,+9.9,10,+13.9,31,+2.5%,74,+1.6%,88,-7.0,83,-4.3,63,-8.8
Franz Wagner,23.2,ORL,Forward,228,62,-2.8,29,+7.1,58,-1.7%,96,+5.2%,100,-21.0,92,-5.6,97,-63.2
Davion Mitchell,26.2,MIA,Point,209,38,+3.2,6,+17.5,76,-4.4%,100,+13.0%,47,+0.2,97,-8.6,4,+54.9
Moses Moody,22.4,GSW,Wing,214,61,-2.7,85,-11.4,10,+6.4%,5,-4.5%,19,+6.5,27,+3.0,33,+13.0
Alperen Sengun,22.3,HOU,Big,252,99,-25.8,79,-7.9,65,-2.5%,87,+2.8%,95,-11.3,66,-2.0,96,-51.8
