Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,28.3,MEM,Big,109,62,-1.1%,26,+4.0%,57,-1.1%,10,+15.6%,29,+3.4%,88,-12.5%,56,-0.0%,75,-2.8%
Kyle Anderson,28.1,MEM,Forward,211,29,+2.0%,44,+0.5%,30,+4.8%,73,-4.7%,42,+1.7%,54,-1.8%,27,+3.4%,35,+2.1%
Giannis Antetokounmpo,26.9,MIL,Big,447,97,-7.8%,20,+4.8%,67,-3.6%,55,-0.1%,63,-2.1%,56,-2.3%,99,-15.4%,98,-11.6%
Will Barton,30.8,DEN,Wing,172,9,+6.3%,89,-11.7%,63,-2.4%,56,-0.5%,52,-0.3%,63,-3.3%,1,+17.2%,3,+12.5%
Malik Beasley,24.9,MIN,Wing,144,81,-3.2%,39,+1.5%,83,-7.6%,6,+17.8%,73,-3.3%,87,-11.8%,74,-2.5%,86,-4.8%
Davis Bertans,29.0,DAL,Forward,179,36,+1.7%,64,-3.3%,25,+5.9%,79,-6.5%,40,+2.1%,59,-2.6%,12,+7.2%,21,+4.7%
Patrick Beverley,33.3,MIN,Combo,226,28,+2.3%,54,-1.0%,65,-3.0%,7,+16.6%,44,+1.4%,66,-4.2%,17,+5.4%,30,+2.7%
Nemanja Bjelica,33.5,GSW,Big,125,13,+5.7%,11,+8.8%,58,-1.1%,27,+8.1%,49,+0.7%,37,+2.9%,10,+7.4%,12,+6.1%
Bojan Bogdanovic,32.5,UTA,Forward,214,3,+9.9%,2,+24.9%,20,+7.6%,1,+27.1%,5,+10.4%,24,+6.9%,28,+3.3%,26,+3.7%
Devin Booker,25.0,PHX,Wing,365,57,-0.6%,59,-1.7%,92,-11.1%,88,-12.5%,98,-12.3%,11,+14.6%,40,+1.9%,15,+5.9%
Jaylen Brown,25.0,BOS,Wing,919,44,+0.8%,70,-4.0%,15,+8.9%,63,-2.5%,21,+4.7%,44,+0.4%,48,+1.0%,44,+0.8%
Reggie Bullock,30.6,DAL,Forward,707,16,+5.1%,53,-0.9%,5,+12.5%,50,+0.8%,10,+8.6%,8,+16.8%,75,-2.9%,36,+2.0%
Jimmy Butler,32.1,MIA,Forward,628,50,-0.0%,37,+1.6%,64,-2.6%,66,-3.0%,66,-2.5%,83,-10.6%,42,+1.6%,68,-1.8%
Jordan Clarkson,29.4,UTA,Combo,170,82,-3.4%,63,-3.1%,60,-1.8%,11,+14.3%,47,+1.2%,98,-21.6%,54,+0.1%,90,-6.1%
Mike Conley,34.1,UTA,Point,174,94,-5.2%,75,-5.0%,73,-4.5%,100,-50.6%,96,-10.4%,26,+6.5%,80,-3.8%,58,-0.6%
