Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,22.0,DET,Wing,755,78,-3.2,50,+0.0,54,-0.0%,45,+1.1,61,-0.2,82,-5.1%,44,+2.8,53,-0.1,27,+1.9%,56,-2.5
Blake Ahearn,23.4,MIA,Point,156,13,+4.5,22,+1.0,12,+1.6%,93,-14.9,1,+2.2,2,+15.4%,5,+26.9,80,-0.8,73,-1.7%,99,-43.4
LaMarcus Aldridge,22.3,POR,Big,2637,50,-0.1,39,+0.5,50,+0.1%,30,+4.7,72,-0.4,52,-0.1%,55,-1.3,24,+0.8,19,+2.6%,25,+8.4
Malik Allen,29.3,NJN,Big,719,33,+1.5,83,-1.3,95,-2.2%,68,-4.5,98,-1.5,34,+2.3%,96,-28.5,45,+0.1,93,-4.6%,27,+8.0
Malik Allen,29.3,DAL,Big,313,87,-4.8,1,+3.5,95,-2.3%,0,+36.4,10,+0.9,94,-10.4%,24,+10.4,2,+2.4,81,-2.6%,0,+47.7
Ray Allen,32.3,BOS,Wing,2609,8,+5.6,16,+1.3,64,-0.4%,11,+11.8,69,-0.3,45,+0.6%,58,-2.5,8,+1.5,34,+1.2%,4,+22.5
Tony Allen,25.8,BOS,Wing,1239,82,-3.7,75,-0.8,75,-0.8%,72,-5.4,70,-0.3,87,-6.8%,77,-10.1,68,-0.5,70,-1.5%,60,-3.6
Rafer Alston,31.3,HOU,Point,2520,58,-0.8,29,+0.7,28,+0.9%,35,+3.2,66,-0.2,29,+3.1%,68,-6.5,13,+1.2,25,+2.0%,12,+13.6
Derek Anderson,33.3,CHA,Wing,336,46,+0.1,42,+0.3,25,+1.0%,61,-2.9,93,-1.0,47,+0.4%,97,-31.5,7,+1.5,38,+0.9%,20,+10.5
Carmelo Anthony,23.4,DEN,Forward,2791,7,+6.1,13,+1.5,35,+0.6%,12,+11.4,84,-0.7,74,-3.5%,74,-8.7,2,+2.1,10,+3.6%,5,+20.0
