Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Quincy Acy,22.1,TOR,Big,291,95,-3.8%,80,-2.1%,53,-0.1%,61,-0.7%,57,-0.8%,62,-0.3%,7,+3.2%,13,+2.9%
Jeff Adrien,26.7,CHA,Big,660,56,-0.4%,88,-2.7%,80,-1.4%,14,+2.1%,38,+0.7%,66,-0.4%,14,+2.4%,22,+2.0%
Arron Afflalo,27.0,ORL,Wing,2288,25,+1.5%,41,+0.7%,18,+1.3%,37,+0.5%,24,+1.8%,93,-1.2%,78,-1.3%,89,-2.5%
Cole Aldrich,24.0,HOU,Big,179,4,+4.3%,4,+3.9%,43,+0.3%,100,-5.8%,97,-5.6%,99,-2.4%,3,+4.0%,28,+1.7%
Cole Aldrich,24.0,SAC,Big,149,100,-8.9%,60,-0.5%,67,-0.8%,98,-5.0%,98,-5.8%,43,+0.2%,1,+6.1%,2,+6.3%
LaMarcus Aldridge,27.3,POR,Big,2782,66,-1.0%,59,-0.4%,20,+1.2%,18,+1.9%,12,+3.1%,95,-1.4%,80,-1.4%,91,-2.7%
Lavoy Allen,23.7,PHI,Big,1623,79,-1.7%,78,-1.9%,17,+1.3%,23,+1.4%,16,+2.7%,70,-0.5%,59,-0.3%,66,-0.8%
Ray Allen,37.3,MIA,Wing,1989,11,+2.7%,61,-0.5%,85,-1.8%,55,-0.4%,74,-2.1%,68,-0.4%,7,+3.1%,16,+2.7%
Tony Allen,30.8,MEM,Wing,2102,73,-1.3%,39,+0.8%,53,-0.1%,33,+0.8%,38,+0.7%,51,-0.0%,82,-1.5%,77,-1.5%
Al-Farouq Aminu,22.1,NOH,Wing,2049,82,-1.9%,48,+0.3%,49,+0.1%,38,+0.5%,39,+0.6%,48,+0.1%,73,-0.9%,66,-0.8%
Lou Amundson,29.9,MIN,Big,121,66,-1.0%,67,-1.0%,99,-4.2%,67,-1.0%,96,-5.3%,17,+0.9%,1,+5.3%,1,+6.3%
Lou Amundson,29.9,NOH,Big,205,80,-1.7%,71,-1.2%,51,-0.0%,13,+2.3%,20,+2.3%,90,-1.0%,53,-0.0%,69,-1.0%
Chris Andersen,34.3,MIA,Big,604,85,-2.2%,93,-3.8%,33,+0.6%,74,-1.5%,57,-0.8%,7,+1.3%,6,+3.3%,4,+4.6%
