Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Quincy Acy,22.1,TOR,Big,291,85,56.3%,84,56.3%,0,0.0%,0,85.0%,28,75%,17,74%,40,78%,0,0%
Jeff Adrien,26.7,CHA,Big,660,13,42.9%,15,42.9%,0,0.0%,39,66.3%,71,63%,81,53%,52,73%,0,0%
Arron Afflalo,27.0,ORL,Wing,2288,40,48.1%,79,49.0%,15,30.3%,87,86.0%,83,57%,66,53%,69,46%,46,96%
Cole Aldrich,24.0,HOU,Big,179,67,52.8%,67,52.8%,0,0.0%,0,42.9%,34,74%,5,80%,89,50%,0,0%
Cole Aldrich,24.0,SAC,Big,149,88,58.1%,88,58.1%,0,0.0%,0,66.7%,95,50%,93,47%,61,67%,0,0%
LaMarcus Aldridge,27.3,POR,Big,2782,43,48.6%,47,48.8%,0,16.7%,91,81.2%,90,54%,89,49%,84,57%,99,50%
Lavoy Allen,23.7,PHI,Big,1623,28,46.1%,29,46.2%,0,0.0%,52,70.7%,32,74%,77,55%,16,89%,0,0%
Ray Allen,37.3,MIA,Wing,1989,93,56.2%,76,48.7%,91,42.3%,93,89.0%,50,71%,62,54%,73,44%,52,95%
Tony Allen,30.8,MEM,Wing,2102,17,44.7%,49,45.8%,0,12.5%,24,72.2%,65,64%,56,56%,11,83%,3,100%
Al-Farouq Aminu,22.1,NOP,Wing,2049,40,48.0%,75,48.7%,3,21.1%,25,73.7%,46,72%,26,69%,21,76%,3,100%
Lou Amundson,29.9,MIN,Big,121,2,33.3%,2,33.3%,0,0.0%,0,22.2%,100,29%,96,40%,99,0%,0,0%
Lou Amundson,29.9,NOP,Big,205,10,41.5%,11,41.5%,0,0.0%,0,50.0%,22,76%,15,75%,0,100%,0,0%
Chris Andersen,34.3,MIA,Big,604,93,60.2%,90,58.6%,0,100.0%,42,68.2%,13,80%,10,78%,0,100%,67,100%
Alan Anderson,30.0,TOR,Wing,1406,29,46.4%,23,42.7%,39,33.8%,81,85.4%,70,62%,81,45%,72,46%,80,86%
James Anderson,23.6,HOU,Wing,229,24,45.8%,25,42.9%,34,33.3%,0,87.5%,56,68%,36,64%,90,29%,3,100%
Ryan Anderson,24.5,NOP,Big,2478,62,52.0%,30,46.3%,78,38.4%,97,84.4%,48,70%,96,41%,83,57%,92,96%
Carmelo Anthony,28.4,NYK,Forward,2475,67,50.5%,65,47.7%,78,38.5%,82,82.9%,96,39%,98,28%,94,28%,90,76%
Joel Anthony,30.2,MIA,Big,507,56,50.8%,57,50.8%,0,0.0%,17,57.7%,35,73%,26,70%,32,80%,0,0%
Trevor Ariza,27.3,WAS,Wing,1450,55,50.0%,45,45.4%,58,36.7%,64,82.1%,34,77%,40,63%,40,64%,44,96%
Darrell Arthur,24.6,MEM,Big,931,24,45.6%,25,45.6%,28,29.4%,74,76.2%,8,84%,31,68%,15,90%,67,100%
Omer Asik,26.3,HOU,Big,2453,74,54.0%,74,54.1%,0,0.0%,14,56.2%,49,70%,25,70%,72,63%,0,0%
