Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Quincy Acy,23.1,SAC,Big,744,54,-0.4,43,-1.6,47,-0.2%,20,+1.7%,14,-3.7,13,-2.8,41,-3.3
Steven Adams,20.3,OKC,Big,1115,43,-1.7,28,-3.6,91,+4.2%,71,-0.9%,89,+4.1,96,+4.3,30,-7.0
Jeff Adrien,27.7,CHA,Big,226,27,-3.9,2,-13.3,100,+10.7%,97,-3.7%,98,+7.7,99,+6.6,49,-0.2
Jeff Adrien,27.7,MIL,Big,676,65,+1.4,35,-2.6,76,+2.3%,72,-1.0%,96,+6.4,83,+2.3,91,+18.2
Arron Afflalo,28.0,ORL,Wing,2543,62,+0.8,82,+3.4,38,-0.9%,6,+3.1%,26,-2.2,32,-1.1,34,-5.7
Alexis Ajinca,25.5,NOP,Big,934,30,-3.4,23,-4.2,37,-0.9%,52,+0.1%,67,+1.2,46,-0.2,75,+8.0
Cole Aldrich,25.0,NYK,Big,210,23,-4.3,50,-0.8,72,+2.0%,5,+3.5%,57,+0.4,17,-2.2,93,+19.7
LaMarcus Aldridge,28.3,POR,Big,2496,92,+6.2,94,+6.5,34,-1.1%,37,+0.8%,74,+2.2,76,+1.6,52,+0.8
Lavoy Allen,24.7,PHI,Big,905,52,-0.6,46,-1.4,95,+5.1%,49,+0.3%,54,+0.2,89,+2.9,12,-16.1
Ray Allen,38.3,MIA,Wing,1897,55,-0.2,46,-1.3,81,+2.8%,9,+2.8%,45,-0.5,75,+1.6,10,-17.8
Tony Allen,31.8,MEM,Wing,1271,74,+2.5,70,+1.8,82,+2.9%,99,-4.2%,50,-0.2,95,+3.9,7,-22.5
Al-Farouq Aminu,23.1,NOP,Forward,2032,29,-3.4,27,-3.6,64,+1.2%,88,-2.0%,78,+2.6,83,+2.3,47,-0.8
Lou Amundson,30.9,NOP,Big,165,0,-19.3,0,-17.7,92,+4.2%,2,+4.5%,91,+4.4,45,-0.2,95,+22.8
Chris Andersen,35.3,MIA,Big,1368,45,-1.4,26,-3.8,94,+4.9%,35,+0.9%,67,+1.3,89,+2.9,14,-15.1
Alan Anderson,31.0,BKN,Wing,1622,64,+1.3,62,+0.9,55,+0.4%,32,+1.0%,67,+1.2,44,-0.2,82,+10.9
James Anderson,24.6,PHI,Wing,2289,44,-1.5,63,+1.1,33,-1.2%,69,-0.8%,20,-3.0,31,-1.1,24,-9.4
Ryan Anderson,25.5,NOP,Big,778,97,+8.5,97,+8.1,99,+7.4%,99,-4.6%,73,+2.0,98,+5.6,6,-23.9
Giannis Antetokounmpo,18.9,MIL,Forward,1796,90,+5.5,76,+2.4,71,+1.9%,84,-1.8%,74,+2.1,82,+2.2,45,-1.8
Carmelo Anthony,29.4,NYK,Forward,2971,97,+8.2,89,+5.0,72,+2.0%,81,-1.6%,93,+5.0,94,+3.7,64,+4.4
Joel Anthony,31.2,BOS,Big,128,24,-4.2,15,-6.1,5,-5.3%,13,+2.3%,52,+0.0,75,+1.6,28,-8.0
Pero Antic,31.3,ATL,Big,898,67,+1.6,48,-1.1,87,+3.8%,47,+0.3%,76,+2.3,72,+1.4,67,+4.8
Trevor Ariza,28.3,WAS,Wing,2715,85,+4.0,86,+4.2,21,-2.3%,94,-3.0%,84,+3.4,62,+0.8,92,+19.2
Darrell Arthur,25.6,DEN,Big,1143,43,-1.7,66,+1.2,10,-4.1%,30,+1.1%,6,-5.7,10,-3.4,18,-13.0
Omer Asik,27.3,HOU,Big,929,26,-3.9,63,+1.1,20,-2.4%,41,+0.6%,16,-3.4,20,-2.0,32,-6.4
D.J. Augustin,26.0,CHI,Point,1813,79,+3.1,76,+2.5,74,+2.1%,55,-0.0%,44,-0.5,12,-2.8,87,+14.7
Gustavo Ayon,28.6,ATL,Big,401,11,-7.3,7,-8.8,70,+1.9%,92,-2.6%,83,+3.2,95,+4.1,22,-10.1
Jeff Ayres,26.5,SAS,Big,855,72,+2.3,53,-0.1,88,+3.9%,39,+0.7%,69,+1.5,68,+1.0,52,+0.7
Chris Babb,23.7,BOS,Wing,106,4,-12.4,4,-10.4,1,-8.1%,97,-3.5%,10,-4.5,2,-7.0,97,+27.4
Luke Babbitt,24.4,NOP,Big,453,100,+16.8,100,+13.1,89,+4.0%,15,+2.1%,97,+7.3,82,+2.1,97,+26.6
Leandro Barbosa,30.9,PHX,Combo,366,44,-1.5,33,-3.0,77,+2.4%,18,+1.9%,35,-1.6,53,+0.3,19,-11.7
J.J. Barea,29.3,MIN,Combo,1413,6,-10.0,7,-8.5,47,-0.2%,4,+3.6%,9,-4.7,15,-2.6,29,-7.5
Andrea Bargnani,28.0,NYK,Big,1252,13,-7.0,20,-4.8,43,-0.5%,34,+0.9%,53,+0.1,65,+0.9,35,-5.1
Harrison Barnes,21.4,GSW,Forward,2097,7,-9.2,9,-7.6,29,-1.5%,9,+2.8%,26,-2.2,17,-2.2,51,+0.5
Matt Barnes,33.6,LAC,Forward,1701,94,+6.9,75,+2.2,74,+2.2%,93,-2.7%,99,+8.5,94,+3.8,96,+24.3
Will Barton,22.8,POR,Wing,310,2,-13.5,1,-15.3,6,-5.1%,36,+0.8%,14,-3.8,3,-5.6,91,+18.4
Brandon Bass,28.5,BOS,Big,2263,27,-3.8,56,+0.3,10,-4.0%,21,+1.6%,27,-2.0,4,-5.0,94,+21.4
Shane Battier,35.1,MIA,Wing,1456,66,+1.4,66,+1.3,20,-2.5%,90,-2.2%,56,+0.3,34,-1.0,83,+11.2
Nicolas Batum,24.9,POR,Wing,2951,93,+6.2,97,+8.0,36,-1.0%,63,-0.4%,76,+2.3,86,+2.6,43,-2.8
Jerryd Bayless,25.2,MEM,Combo,640,95,+7.0,77,+2.6,98,+5.9%,69,-0.8%,89,+4.2,77,+1.7,81,+10.5
Jerryd Bayless,25.2,BOS,Combo,1009,78,+3.0,72,+1.9,91,+4.1%,18,+1.9%,48,-0.3,70,+1.3,23,-9.8
Aron Baynes,26.9,SAS,Big,381,38,-2.3,34,-3.0,91,+4.1%,41,+0.6%,97,+6.6,95,+4.1,81,+10.6
Kent Bazemore,24.3,GSW,Wing,190,0,-27.0,0,-24.9,80,+2.7%,71,-0.9%,7,-5.4,19,-2.0,9,-19.6
Kent Bazemore,24.3,LAL,Wing,609,21,-4.7,63,+1.1,15,-3.1%,68,-0.7%,68,+1.4,29,-1.3,95,+21.7
Bradley Beal,20.3,WAS,Wing,2516,56,-0.0,51,-0.5,27,-1.7%,77,-1.3%,81,+2.8,46,-0.1,95,+21.8
Michael Beasley,24.8,MIA,Big,746,35,-2.8,27,-3.7,49,+0.0%,29,+1.2%,94,+5.5,94,+3.9,68,+5.0
Marco Belinelli,27.6,SAS,Wing,1942,79,+3.1,91,+5.4,55,+0.4%,45,+0.4%,76,+2.3,69,+1.2,70,+6.2
Anthony Bennett,20.6,CLE,Big,590,59,+0.3,28,-3.5,78,+2.5%,66,-0.6%,95,+5.9,82,+2.2,94,+21.1
