Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,25.1,NYK,Big,1141,25,51.9%,70,60%,76,28%,43,2%,68,30%,59,8%,27,2%,35,10%
Steven Adams,31.3,HOU,Big,784,39,54.9%,82,71%,78,29%,0,0%,65,29%,0,0%,0,0%,0,0%
Bam Adebayo,27.3,MIA,Big,2666,27,52.3%,11,27%,94,43%,92,13%,99,55%,51,5%,45,12%,44,17%
Ochai Agbaji,24.5,TOR,Wing,1711,86,59.1%,87,43%,17,10%,21,2%,10,11%,86,26%,13,19%,43,46%
Santi Aldama,23.8,MEM,Big,1634,56,57.7%,8,26%,61,24%,54,3%,55,26%,76,14%,85,34%,85,48%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,60,55.8%,43,23%,47,15%,56,5%,46,20%,76,22%,63,35%,65,57%
Grayson Allen,29.1,PHX,Wing,1532,90,60.1%,27,18%,39,14%,13,1%,23,15%,63,19%,83,48%,83,67%
Jarrett Allen,26.5,CLE,Big,2292,97,70.8%,81,71%,74,28%,33,1%,65,29%,18,0%,21,0%,18,1%
Jose Alvarado,26.6,NOP,Point,1332,33,49.6%,23,17%,44,23%,12,3%,23,26%,79,12%,79,45%,81,57%
Kyle Anderson,31.1,MIA,Big,444,23,51.6%,38,41%,93,42%,78,6%,94,48%,55,6%,35,5%,36,11%
Kyle Anderson,31.1,GSW,Big,508,18,50.7%,4,20%,96,45%,75,6%,96,50%,79,15%,48,14%,59,29%
Giannis Antetokounmpo,29.9,MIL,Big,2287,75,60.4%,72,61%,37,18%,97,17%,76,36%,16,0%,31,4%,26,4%
Cole Anthony,24.5,ORL,Point,1172,25,48.4%,38,21%,75,32%,75,11%,81,43%,44,6%,42,30%,33,36%
OG Anunoby,27.3,NYK,Forward,2701,69,56.2%,80,42%,17,11%,65,6%,22,17%,73,20%,31,21%,42,41%
Deni Avdija,23.8,POR,Forward,2166,62,55.4%,82,44%,46,19%,41,3%,33,22%,14,7%,54,28%,30,35%
Deandre Ayton,26.3,POR,Big,1205,52,57.3%,44,42%,81,32%,98,19%,97,51%,41,3%,30,3%,30,7%
Marcus Bagley,23.0,PHI,Forward,246,4,43.2%,93,47%,8,7%,16,1%,8,9%,74,20%,44,24%,50,44%
Marvin Bagley,25.6,WAS,Big,115,33,53.8%,61,51%,90,38%,47,2%,83,40%,45,4%,33,4%,33,9%
LaMelo Ball,23.2,CHA,Point,1501,35,49.7%,40,21%,52,25%,33,5%,44,30%,27,5%,73,44%,73,49%
Lonzo Ball,27.0,CHI,Wing,776,37,51.7%,3,8%,11,7%,53,5%,14,12%,60,18%,98,62%,96,80%
Mohamed Bamba,26.5,LAC,Big,316,39,54.9%,33,38%,22,15%,57,3%,24,18%,76,14%,79,31%,78,45%
Paolo Banchero,22.0,ORL,Big,1580,16,50.4%,24,31%,70,26%,96,17%,86,43%,36,2%,65,23%,53,25%
