Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Kyle Anderson,27.1,MEM,Forward,213,58,+0.8%,38,-1.3%,92,+3.8%,42,-0.7%,79,+3.1%,62,+1.0%,26,-2.8%,36,-1.8%
Giannis Antetokounmpo,25.9,MIL,Big,792,29,-2.7%,83,+5.0%,7,-6.3%,70,+1.7%,19,-4.6%,38,-0.8%,56,+0.4%,44,-0.4%
Carmelo Anthony,36.4,POR,Forward,143,11,-7.1%,1,-13.3%,17,-3.6%,91,+4.9%,66,+1.3%,63,+1.0%,99,+10.9%,98,+12.0%
Nicolas Batum,31.9,LAC,Wing,554,91,+11.4%,62,+1.9%,9,-5.9%,26,-2.5%,6,-8.4%,91,+3.8%,75,+2.8%,88,+6.5%
Bradley Beal,27.3,WAS,Wing,258,85,+6.9%,22,-3.4%,31,-1.6%,81,+2.5%,63,+0.9%,46,-0.2%,74,+2.6%,67,+2.5%
Davis Bertans,28.0,WAS,Forward,150,24,-3.0%,21,-3.6%,59,+0.6%,10,-4.5%,24,-3.9%,85,+2.8%,86,+4.6%,93,+7.4%
Patrick Beverley,32.3,LAC,Combo,314,10,-7.3%,54,+0.7%,80,+2.6%,58,+0.7%,80,+3.4%,26,-1.6%,30,-2.4%,17,-4.0%
Bojan Bogdanovic,31.5,UTA,Forward,389,86,+7.2%,64,+2.2%,51,-0.1%,59,+0.7%,61,+0.6%,17,-2.1%,44,-0.7%,30,-2.8%
Devin Booker,24.0,PHX,Wing,887,75,+4.2%,26,-3.0%,28,-2.1%,88,+4.3%,70,+2.2%,88,+3.4%,28,-2.6%,55,+0.9%
Reggie Bullock,29.6,NYK,Wing,162,57,+0.8%,44,-0.8%,16,-3.7%,48,-0.3%,23,-4.0%,10,-3.2%,95,+8.0%,81,+4.8%
Alec Burks,29.3,NYK,Wing,127,79,+5.4%,76,+4.2%,57,+0.0%,32,-1.8%,38,-1.8%,29,-1.3%,40,-1.1%,31,-2.3%
Jimmy Butler,31.1,MIA,Wing,150,6,-9.2%,0,-15.7%,100,+10.7%,50,-0.2%,100,+10.6%,95,+4.6%,58,+0.5%,82,+5.1%
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,87,+8.2%,66,+2.4%,10,-5.2%,70,+1.7%,26,-3.5%,14,-2.5%,80,+3.6%,60,+1.2%
Clint Capela,26.5,ATL,Big,568,66,+2.7%,80,+4.6%,50,-0.2%,5,-5.4%,13,-5.6%,74,+1.6%,45,-0.7%,56,+0.9%
Jordan Clarkson,28.4,UTA,Combo,296,9,-7.7%,31,-2.3%,52,-0.1%,50,-0.1%,53,-0.2%,42,-0.5%,76,+2.9%,66,+2.4%
Mike Conley,33.1,UTA,Point,175,77,+4.9%,66,+2.3%,70,+1.7%,34,-1.7%,54,+0.0%,34,-1.0%,38,-1.3%,32,-2.3%
Pat Connaughton,27.8,MIL,Wing,526,60,+1.4%,50,+0.3%,48,-0.3%,23,-2.6%,29,-2.9%,52,+0.4%,70,+2.2%,68,+2.6%
Robert Covington,29.9,POR,Big,228,93,+11.9%,78,+4.4%,46,-0.7%,65,+1.1%,57,+0.4%,75,+1.6%,6,-6.5%,13,-4.8%
Jae Crowder,30.3,PHX,Forward,728,67,+2.9%,43,-1.0%,47,-0.5%,40,-0.9%,43,-1.3%,66,+1.1%,62,+1.2%,66,+2.3%
Seth Curry,30.2,PHI,Wing,381,95,+13.7%,30,-2.4%,14,-4.2%,86,+3.3%,47,-0.9%,64,+1.0%,71,+2.3%,74,+3.3%
Anthony Davis,27.6,LAL,Big,186,64,+2.2%,5,-7.2%,78,+2.5%,89,+4.6%,91,+7.1%,35,-0.9%,62,+1.0%,50,+0.1%
