Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
LaMarcus Aldridge,23.3,POR,Big,236,97,+28.4,+34,90,+13.8,83,+4.6%,41,+0.6%,44,-0.3%,65,+4.1,95,-14.6,100,-18.3%,5,-4.0%,43,+0.3%,82,-9.1
Ray Allen,33.3,BOS,Wing,564,72,+8.5,+23,91,+14.0,77,+3.9%,34,+1.0%,100,+13.7%,38,-2.8,26,+5.5,18,+3.6%,11,-2.8%,28,+2.5%,92,-15.8
Rafer Alston,32.3,ORL,Point,739,32,-3.4,-8,29,-4.0,22,-3.1%,53,-0.3%,53,+0.7%,25,-5.6,54,-0.6,63,-0.7%,67,+1.1%,49,-0.3%,40,+1.6
Chris Andersen,30.3,DEN,Big,317,50,+2.4,+4,49,+0.9,26,-2.2%,78,-1.9%,92,+7.2%,28,-5.0,58,-1.5,84,-3.7%,78,+1.7%,16,+5.0%,36,+1.8
Carmelo Anthony,24.4,DEN,Forward,610,55,+4.1,+7,91,+14.1,92,+8.4%,47,+0.2%,28,-3.1%,82,+8.7,14,+10.0,20,+3.6%,18,-2.2%,78,-4.6%,10,+8.9
Trevor Ariza,23.3,LAL,Wing,720,31,-3.6,-6,33,-3.7,64,+2.0%,12,+2.7%,27,-3.3%,61,+2.6,47,-0.1,49,+0.5%,53,+0.2%,34,+1.2%,54,-1.3
J.J. Barea,24.4,DAL,Combo,207,91,+17.1,+39,96,+16.0,88,+6.9%,98,-7.1%,14,-6.0%,14,-8.7,56,-1.2,78,-2.8%,34,-1.1%,20,+4.3%,60,-2.1
Brandon Bass,23.5,DAL,Big,186,41,+0.4,+1,54,+2.1,9,-5.6%,97,-6.4%,33,-2.6%,97,+16.3,38,+1.7,30,+2.0%,68,+1.1%,72,-3.0%,32,+2.4
Tony Battie,32.7,ORL,Big,124,24,-5.6,-15,46,+0.6,35,-1.3%,8,+3.7%,83,+4.5%,91,+12.8,20,+6.2,50,+0.3%,15,-2.5%,32,+1.3%,34,+1.9
Shane Battier,30.1,HOU,Wing,495,35,-1.3,-3,63,+4.0,80,+4.2%,20,+2.1%,72,+2.6%,47,-0.2,27,+5.3,68,-1.1%,34,-1.1%,22,+3.9%,11,+8.2
Michael Beasley,19.8,MIA,Big,163,7,-24.3,-54,3,-17.0,1,-14.3%,46,+0.3%,95,+8.2%,45,-1.1,18,+7.3,57,-0.2%,44,-0.4%,45,+0.3%,3,+16.1
Mike Bibby,30.5,ATL,Point,387,84,+14.1,+20,87,+11.7,97,+10.3%,47,+0.1%,60,+1.4%,37,-2.8,64,-2.4,17,+3.7%,91,+3.5%,77,-4.4%,12,+7.9
Chauncey Billups,32.1,DEN,Combo,616,48,+1.5,+2,60,+3.2,72,+3.4%,69,-1.2%,3,-12.9%,98,+17.3,39,+1.7,24,+3.4%,57,+0.4%,69,-2.8%,41,+1.5
Steve Blake,28.7,POR,Point,229,36,-1.1,-1,92,+14.2,87,+5.7%,99,-8.1%,29,-3.0%,34,-3.5,7,+15.3,72,-1.7%,16,-2.3%,5,+9.9%,19,+4.6
Carlos Boozer,26.9,UTA,Big,185,22,-9.8,-19,32,-3.7,43,-0.2%,1,+7.4%,91,+5.7%,73,+6.0,21,+6.1,1,+11.5%,48,-0.0%,99,-17.1%,86,-12.4
Bruce Bowen,37.4,SAS,Wing,122,97,+25.3,+37,88,+12.4,91,+7.6%,32,+1.2%,85,+4.6%,52,+0.6,92,-12.8,86,-4.0%,99,+5.7%,81,-4.9%,70,-3.8
