Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Precious Achiuwa,23.1,TOR,Big,1113,22,52.4%,62,72%,21,32%,27,22%,16,32%,11,26%,26,30%,17,28%
Steven Adams,29.3,MEM,Big,1132,62,59.7%,21,63%,78,51%,11,0%,77,50%,0,0%,0,0%,0,0%
Bam Adebayo,25.3,MIA,Big,2594,28,54.3%,39,68%,64,47%,61,45%,65,47%,0,0%,0,11%,0,11%
Ochai Agbaji,22.5,UTA,Combo,1159,67,54.4%,22,56%,79,50%,56,44%,85,49%,89,48%,14,29%,55,37%
Santi Aldama,21.8,MEM,Big,1625,42,56.5%,40,68%,48,44%,50,38%,48,44%,56,36%,51,36%,58,36%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,27,50.4%,10,52%,37,38%,28,30%,23,35%,70,42%,40,34%,54,37%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,93,59.2%,85,70%,45,41%,91,57%,72,46%,31,35%,92,44%,85,41%
Grayson Allen,27.1,MIL,Wing,1968,79,57.3%,45,63%,24,34%,7,0%,13,32%,85,47%,69,38%,73,40%
Jarrett Allen,24.5,CLE,Big,2212,85,64.7%,79,75%,68,49%,39,32%,62,46%,0,0%,0,33%,0,10%
Jose Alvarado,24.6,NOP,Point,1285,35,50.0%,65,64%,11,36%,7,8%,7,33%,61,39%,23,32%,35,34%
Kyle Anderson,29.1,MIN,Forward,1954,59,55.1%,24,60%,92,52%,20,23%,90,49%,85,44%,66,38%,84,41%
Giannis Antetokounmpo,27.9,MIL,Big,2021,47,57.2%,76,75%,12,28%,47,37%,18,32%,0,20%,15,28%,16,28%
Thanasis Antetokounmpo,30.3,MIL,Big,113,1,40.6%,4,53%,71,50%,11,0%,43,43%,0,0%,0,0%,0,0%
Cole Anthony,22.5,ORL,Point,1524,52,51.8%,50,60%,70,47%,63,44%,67,46%,53,37%,58,37%,51,37%
OG Anunoby,25.3,TOR,Wing,2385,67,55.7%,61,65%,32,37%,76,44%,38,39%,79,45%,39,34%,67,39%
Ryan Arcidiacono,28.6,POR,Point,127,0,34.5%,0,0%,0,14%,0,0%,0,9%,0,0%,49,35%,42,35%
Deni Avdija,21.8,WAS,Forward,1998,22,49.4%,53,67%,22,32%,23,24%,20,31%,34,34%,10,29%,17,30%
Deandre Ayton,24.3,PHX,Big,2033,59,59.3%,91,79%,67,48%,65,48%,70,48%,0,0%,17,29%,19,29%
Udoka Azubuike,23.1,UTA,Big,309,99,83.6%,99,93%,84,53%,0,0%,89,53%,0,0%,0,0%,0,0%
Marvin Bagley,23.6,DET,Big,978,35,55.7%,63,72%,63,47%,52,40%,61,46%,29,32%,16,29%,23,30%
Patrick Baldwin Jr.,20.0,GSW,Forward,156,90,59.9%,98,86%,7,14%,83,50%,7,22%,0,42%,89,42%,90,42%
LaMelo Ball,21.2,CHA,Point,1267,43,51.3%,22,54%,13,37%,33,39%,17,37%,50,36%,74,38%,65,38%
Mohamed Bamba,24.5,ORL,Big,658,62,59.5%,35,67%,7,25%,62,45%,19,33%,0,38%,93,41%,89,41%
Paolo Banchero,20.0,ORL,Forward,2428,10,46.5%,30,62%,28,35%,58,39%,35,36%,29,33%,15,30%,15,30%
Desmond Bane,24.4,MEM,Wing,1837,78,57.0%,37,62%,70,45%,88,50%,80,46%,93,50%,76,39%,83,41%
Dalano Banton,23.0,TOR,Combo,229,22,48.5%,100,78%,4,23%,4,14%,1,21%,0,27%,8,27%,6,27%
Dominick Barlow,19.4,SAS,Big,340,26,53.6%,29,65%,5,24%,87,60%,18,32%,0,0%,0,0%,0,0%
Harrison Barnes,30.4,SAC,Forward,2658,62,55.6%,53,67%,46,40%,51,36%,48,39%,52,39%,60,36%,60,37%
Scottie Barnes,21.3,TOR,Forward,2668,20,49.2%,48,66%,51,41%,50,35%,47,39%,27,33%,7,27%,11,29%
RJ Barrett,22.4,NYK,Wing,2474,18,48.7%,24,59%,42,39%,23,28%,35,38%,13,33%,20,30%,17,31%
Will Barton,31.8,WAS,Wing,767,21,49.1%,11,52%,11,29%,53,40%,17,33%,93,50%,74,39%,82,41%
Will Barton,31.8,TOR,Combo,201,8,45.3%,16,54%,46,42%,3,10%,7,27%,0,63%,12,28%,36,35%
Charles Bassey,22.0,SAS,Big,438,81,63.3%,67,73%,61,47%,92,67%,77,50%,0,0%,0,25%,0,20%
Keita Bates-Diop,26.8,SAS,Forward,1410,72,57.1%,66,69%,44,39%,2,0%,39,37%,41,36%,93,43%,78,40%
Nicolas Batum,33.9,LAC,Forward,1699,82,58.1%,35,64%,35,38%,40,33%,33,35%,76,43%,54,36%,69,39%
