Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
LaMarcus Aldridge,25.3,POR,Big,258,23,-3.5%,48,0.0%,55,-0.4%,2,-26.1%,7,-10.4%,94,+30.8%,17,-10.7%,62,+1.8%
Ray Allen,35.3,BOS,Wing,360,98,+10.8%,99,+21.0%,16,-11.8%,91,+10.7%,69,+1.9%,92,+23.6%,31,-6.8%,64,+2.1%
Tony Allen,28.8,MEM,Combo,348,27,-3.0%,43,-0.9%,9,-14.0%,40,-2.2%,11,-8.6%,40,-2.1%,85,+9.8%,73,+5.5%
Ryan Anderson,22.5,ORL,Big,145,93,+7.6%,7,-10.1%,3,-19.2%,76,+5.7%,21,-5.2%,93,+27.4%,97,+19.3%,98,+20.6%
Carmelo Anthony,26.4,NYK,Wing,155,49,-1.1%,5,-12.2%,43,-2.8%,98,+17.9%,98,+11.0%,12,-19.6%,59,+0.9%,30,-4.9%
Joel Anthony,28.2,MIA,Big,572,51,-0.6%,27,-3.0%,67,+2.6%,50,-0.5%,57,+0.3%,63,+6.3%,50,-0.9%,57,+1.1%
Trevor Ariza,25.3,NOH,Wing,240,52,-0.6%,51,+0.2%,2,-20.0%,74,+5.0%,21,-5.6%,98,+42.9%,21,-9.2%,74,+5.6%
Darrell Arthur,22.6,MEM,Big,197,25,-3.3%,25,-3.3%,57,+0.1%,21,-6.7%,30,-2.8%,55,+3.5%,20,-9.5%,36,-3.1%
Omer Asik,24.3,CHI,Big,136,40,-2.1%,81,+5.2%,44,-2.7%,45,-1.5%,50,-0.6%,48,+1.0%,7,-16.1%,12,-11.8%
J.J. Barea,26.3,DAL,Combo,384,58,-0.1%,41,-1.0%,71,+4.2%,16,-9.4%,40,-1.8%,57,+3.7%,53,-0.5%,55,+0.9%
Matt Barnes,30.6,LAL,Wing,125,17,-4.7%,77,+4.4%,26,-7.1%,13,-10.2%,9,-9.5%,50,+1.2%,16,-11.5%,17,-8.9%
Brandon Bass,25.5,ORL,Big,138,7,-8.9%,59,+1.0%,97,+17.5%,47,-1.1%,88,+6.8%,13,-18.6%,11,-14.1%,7,-15.0%
Shane Battier,32.1,MEM,Forward,337,72,+1.7%,50,+0.1%,83,+8.3%,66,+3.1%,84,+5.5%,79,+12.6%,17,-11.1%,33,-4.4%
Nicolas Batum,21.9,POR,Forward,150,89,+6.7%,34,-2.0%,99,+22.8%,54,+0.2%,98,+11.9%,9,-24.0%,79,+8.6%,43,-1.4%
Marco Belinelli,24.6,NOH,Wing,171,36,-2.6%,22,-4.4%,18,-10.4%,17,-9.1%,6,-11.0%,59,+4.3%,98,+24.3%,93,+14.2%
Mike Bibby,32.5,MIA,Point,413,20,-4.5%,8,-8.7%,54,-0.9%,56,+0.5%,55,+0.1%,39,-3.5%,39,-3.7%,35,-4.1%
Steve Blake,30.7,LAL,Point,144,41,-2.0%,45,-0.5%,74,+4.7%,19,-7.5%,44,-1.6%,91,+22.9%,30,-6.8%,40,-1.8%
Keith Bogans,30.5,CHI,Wing,307,39,-2.4%,13,-7.3%,86,+9.6%,29,-4.9%,56,+0.2%,36,-4.8%,61,+1.3%,45,-0.8%
Matt Bonner,30.6,SAS,Big,122,44,-1.8%,17,-6.8%,37,-3.5%,74,+4.9%,48,-1.0%,34,-5.6%,60,+1.1%,42,-1.4%
Carlos Boozer,28.9,CHI,Big,506,61,+0.3%,9,-8.4%,89,+11.3%,77,+5.9%,87,+6.5%,16,-14.5%,68,+4.0%,49,-0.3%
