Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Arron Afflalo,22.0,DET,Wing,755,18,43.5%,24,52%,73,42%,76,42%,83,42%,0,10%,0,38%,0,21%
Blake Ahearn,23.4,MIA,Point,156,6,39.1%,2,29%,14,25%,0,0%,0,11%,0,27%,62,37%,28,33%
LaMarcus Aldridge,22.3,POR,Big,2637,47,48.4%,83,68%,84,46%,63,40%,77,43%,0,0%,0,25%,0,20%
Malik Allen,29.3,BKN,Big,719,46,48.4%,27,55%,21,30%,96,51%,91,47%,0,0%,0,100%,0,100%
Malik Allen,29.3,DAL,Big,313,47,48.4%,14,50%,37,36%,98,53%,93,48%,0,0%,0,0%,0,0%
Ray Allen,32.3,BOS,Wing,2609,83,54.0%,58,59%,32,33%,96,48%,85,43%,65,41%,76,40%,75,40%
Tony Allen,25.8,BOS,Wing,1239,29,46.3%,22,51%,40,34%,28,36%,24,35%,70,42%,13,28%,34,35%
Rafer Alston,31.3,HOU,Point,2520,38,47.3%,28,50%,61,42%,19,35%,31,38%,47,38%,40,35%,45,35%
Derek Anderson,33.3,CHA,Wing,336,73,51.9%,67,61%,93,50%,20,33%,35,36%,0,53%,59,37%,87,42%
Carmelo Anthony,23.4,DEN,Forward,2791,72,51.6%,82,65%,32,30%,92,44%,72,40%,24,33%,86,40%,76,39%
Joel Anthony,25.2,MIA,Big,461,40,47.4%,72,65%,33,35%,5,0%,13,27%,0,0%,0,0%,0,0%
Gilbert Arenas,25.8,WAS,Combo,423,34,45.6%,66,57%,74,43%,68,43%,76,43%,0,40%,12,27%,13,28%
Trevor Ariza,22.3,LAL,Wing,385,88,55.3%,94,70%,58,40%,5,24%,13,30%,0,42%,0,0%,0,33%
Darrell Armstrong,39.4,BKN,Combo,505,86,53.7%,22,45%,0,0%,78,44%,46,39%,100,63%,29,31%,91,42%
Hilton Armstrong,22.9,NOP,Big,663,29,45.9%,32,56%,16,28%,30,28%,14,28%,0,0%,0,0%,0,0%
Carlos Arroyo,28.3,ORL,Point,1216,69,50.3%,52,54%,91,50%,84,47%,91,48%,22,32%,58,37%,43,35%
Chucky Atkins,33.2,DEN,Combo,293,4,37.6%,12,43%,14,25%,4,25%,2,25%,0,45%,10,23%,11,27%
James Augustine,23.7,ORL,Big,106,74,52.4%,93,71%,0,0%,20,20%,2,14%,0,0%,0,0%,0,0%
Kelenna Azubuike,23.9,GSW,Wing,1680,63,50.7%,46,56%,65,41%,57,40%,65,40%,32,37%,51,35%,41,36%
Renaldo Balkman,23.3,NYK,Forward,895,50,48.6%,37,58%,0,0%,8,24%,0,14%,0,0%,0,17%,0,10%
Marcus Banks,25.9,MIA,Combo,239,100,61.2%,98,70%,92,50%,74,44%,92,44%,0,60%,83,40%,93,43%
Marcus Banks,25.9,PHX,Combo,240,78,51.3%,80,63%,0,0%,0,21%,0,20%,0,55%,43,33%,69,38%
Leandro Barbosa,24.9,PHX,Combo,2347,92,54.4%,74,61%,64,41%,40,39%,50,40%,93,48%,48,35%,71,39%
J.J. Barea,23.3,DAL,Point,414,63,50.0%,55,54%,6,15%,8,27%,2,21%,0,33%,84,42%,72,41%
Andrea Bargnani,22.0,TOR,Big,1827,25,44.7%,20,52%,36,35%,47,36%,33,36%,0,0%,55,35%,54,34%
Matt Barnes,27.6,GSW,Forward,1360,53,49.2%,43,59%,63,39%,60,39%,62,39%,56,40%,10,26%,20,31%
Earl Barron,26.2,MIA,Big,852,11,40.7%,18,51%,48,38%,54,38%,42,38%,0,0%,0,13%,0,10%
Brent Barry,35.8,SAS,Wing,520,100,61.9%,99,93%,15,27%,95,47%,53,39%,100,55%,58,37%,89,42%
Brandon Bass,22.5,DAL,Big,1508,58,50.5%,26,54%,82,45%,99,54%,96,49%,0,0%,0,0%,0,0%
Shane Battier,29.1,HOU,Forward,2901,87,54.7%,40,58%,87,45%,98,47%,97,46%,59,40%,67,37%,71,38%
Marco Belinelli,21.6,GSW,Wing,173,74,52.4%,13,46%,93,50%,70,41%,81,42%,0,50%,35,33%,71,40%
Charlie Bell,28.6,MIL,Combo,1522,32,45.3%,34,48%,78,45%,28,35%,32,37%,46,39%,24,30%,29,34%
Raja Bell,31.1,PHX,Wing,2633,85,54.0%,69,62%,19,28%,83,44%,78,42%,30,36%,97,43%,74,40%
Mike Bibby,29.5,ATL,Point,1098,58,49.8%,17,46%,48,40%,75,45%,77,45%,91,52%,38,35%,55,37%
Mike Bibby,29.5,SAC,Point,469,34,46.9%,77,58%,5,9%,41,38%,25,35%,47,38%,76,40%,66,39%
Andris Biedrins,21.6,GSW,Big,2072,99,62.7%,80,66%,47,38%,0,0%,43,38%,0,0%,0,0%,0,0%
Chauncey Billups,31.1,DET,Point,2519,88,53.5%,69,57%,75,44%,63,44%,72,44%,41,36%,86,43%,79,42%
Steve Blake,27.7,POR,Point,2415,75,50.8%,27,48%,91,50%,25,36%,39,39%,78,48%,74,39%,83,42%
Andray Blatche,21.2,WAS,Big,1579,45,48.2%,53,61%,26,32%,44,36%,25,34%,0,60%,0,0%,0,33%
