Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Ray Allen,29.3,OKC,Wing,434,48,0.5%,55,1.5%,100,1.8%,72,3.2%,34,8.9%,0,0.0%,28,3.1%
Carmelo Anthony,20.4,DEN,Forward,179,9,0.3%,27,0.8%,73,3.4%,100,8.9%,0,6.4%,0,0.0%,64,25.0%
Gilbert Arenas,22.8,WAS,Wing,450,76,0.7%,86,2.0%,76,2.6%,28,1.8%,66,10.8%,0,0.0%,0,0.0%
Carlos Arroyo,25.3,DET,Point,133,88,0.9%,41,1.4%,0,6.1%,18,0.8%,24,6.7%,0,0.0%,0,0.0%
Leandro Barbosa,21.9,PHX,Combo,110,0,0.0%,8,1.2%,67,3.2%,83,4.5%,83,10.8%,0,0.0%,0,0.0%
Brent Barry,32.8,SAS,Wing,536,41,0.4%,41,1.3%,34,3.4%,41,2.4%,28,8.7%,76,2.6%,34,5.4%
Jon Barry,35.3,HOU,Wing,180,0,0.0%,45,1.3%,45,3.2%,7,0.7%,86,13.0%,0,0.0%,97,35.3%
Shane Battier,26.1,MEM,Forward,118,64,1.8%,18,0.7%,36,5.2%,82,8.2%,73,14.6%,82,11.1%,73,30.0%
Mike Bibby,26.5,SAC,Point,201,71,0.5%,53,1.5%,88,2.0%,65,2.0%,65,9.8%,100,12.5%,0,0.0%
Chauncey Billups,28.1,DET,Combo,983,25,0.3%,17,1.2%,58,3.2%,33,2.6%,58,9.9%,0,0.0%,50,3.0%
Bruce Bowen,33.4,SAS,Wing,809,86,0.9%,7,0.6%,14,4.3%,21,1.3%,14,7.1%,0,0.0%,66,13.6%
Ryan Bowen,29.0,HOU,Forward,115,0,0.0%,91,2.5%,0,9.2%,45,5.7%,18,7.9%,100,25.0%,0,0.0%
Earl Boykins,28.4,DEN,Point,147,59,0.4%,35,1.2%,18,4.0%,35,1.4%,0,2.4%,0,0.0%,0,0.0%
Rasual Butler,25.4,MIA,Wing,175,31,0.3%,3,0.3%,3,5.7%,10,0.7%,38,9.0%,0,0.0%,55,10.0%
Marcus Camby,30.6,DEN,Big,186,95,4.7%,39,0.8%,76,4.3%,0,2.4%,100,28.3%,0,0.0%,41,27.3%
Vince Carter,27.8,BKN,Wing,180,0,0.0%,90,2.2%,69,2.7%,93,4.8%,97,16.7%,0,0.0%,62,13.0%
Tyson Chandler,22.1,CHI,Big,174,83,3.9%,5,0.2%,46,5.4%,90,15.6%,32,13.5%,78,5.0%,59,33.3%
Jason Collins,25.9,BKN,Big,128,0,0.0%,29,0.7%,44,5.6%,32,6.8%,49,15.4%,0,0.0%,10,7.7%
Nick Collison,24.0,OKC,Big,211,34,1.3%,24,0.7%,5,8.4%,80,12.2%,24,13.0%,95,11.1%,34,22.7%
Samuel Dalembert,24.5,PHI,Big,192,46,2.1%,20,0.5%,71,4.5%,54,10.1%,95,26.9%,0,0.0%,93,50.0%
Erick Dampier,29.3,DAL,Big,302,63,3.1%,54,1.0%,15,7.5%,98,17.3%,46,14.9%,0,0.0%,29,21.4%
Antonio Daniels,29.6,OKC,Combo,324,0,0.0%,42,1.6%,100,1.6%,17,1.4%,33,8.9%,0,0.0%,58,3.4%
Marquis Daniels,23.8,DAL,Combo,158,83,1.0%,50,1.7%,33,3.9%,100,8.5%,100,12.4%,0,0.0%,0,0.0%
Antonio Davis,36.0,CHI,Big,171,32,1.2%,49,1.0%,61,5.1%,49,9.6%,29,13.4%,0,0.0%,20,18.2%
Dale Davis,35.6,IND,Big,314,27,1.1%,78,1.4%,66,4.8%,83,12.5%,44,14.8%,73,4.8%,51,30.0%
Ricky Davis,25.1,BOS,Wing,235,52,0.5%,83,1.8%,31,3.7%,48,2.5%,55,9.6%,0,0.0%,0,0.0%
Juan Dixon,26.1,WAS,Combo,217,0,0.0%,33,1.4%,50,3.4%,8,1.3%,67,10.1%,0,0.0%,75,4.5%
Keyon Dooling,24.5,MIA,Point,255,35,0.2%,24,1.2%,12,5.7%,6,0.5%,18,6.1%,0,0.0%,0,0.0%
Chris Duhon,22.2,CHI,Point,162,0,0.0%,0,0.5%,100,1.6%,82,3.7%,82,12.2%,0,0.0%,65,6.3%
Tim Duncan,28.5,SAS,Big,862,71,3.3%,17,0.4%,100,3.0%,68,11.5%,88,22.9%,76,4.9%,83,44.2%
Reggie Evans,24.5,OKC,Big,208,20,0.8%,59,1.1%,27,6.4%,88,14.6%,98,27.4%,0,0.0%,100,55.6%
Michael Finley,31.7,DAL,Wing,495,0,0.0%,66,1.5%,66,2.8%,55,2.9%,48,9.4%,0,0.0%,38,7.7%
Danny Fortson,28.6,OKC,Big,105,12,0.5%,76,1.4%,0,13.7%,20,5.9%,66,17.4%,0,0.0%,93,50.0%
Jeff Foster,27.8,IND,Big,230,66,3.1%,66,1.3%,54,5.2%,100,20.4%,85,21.5%,0,0.0%,73,38.9%
Pau Gasol,24.3,MEM,Big,131,61,2.9%,27,0.7%,80,4.1%,78,12.2%,12,12.0%,0,0.0%,20,18.2%
Manu Ginobili,27.3,SAS,Wing,769,45,0.4%,72,1.7%,21,3.9%,52,2.6%,93,15.1%,83,3.5%,76,19.0%
Ben Gordon,21.6,CHI,Wing,150,72,0.7%,48,1.4%,7,5.0%,69,3.1%,7,6.9%,86,5.9%,0,0.0%
Richard Hamilton,26.7,DET,Wing,1077,17,0.2%,21,0.9%,72,2.7%,62,3.0%,21,8.3%,0,0.0%,24,3.0%
Othella Harrington,30.8,CHI,Big,104,0,0.0%,12,0.4%,12,7.5%,17,5.8%,2,9.8%,0,0.0%,0,0.0%
Udonis Haslem,24.4,MIA,Big,544,10,0.5%,32,0.7%,85,3.7%,44,9.1%,78,18.7%,59,2.3%,59,33.3%
Brendan Haywood,24.9,WAS,Big,293,80,3.8%,98,2.1%,59,5.2%,73,11.7%,37,14.0%,0,0.0%,27,20.0%
Kirk Hinrich,23.8,CHI,Combo,214,75,1.0%,75,2.3%,83,2.9%,0,0.9%,17,8.3%,100,9.1%,83,7.1%
Robert Horry,34.2,SAS,Big,618,41,1.8%,88,1.5%,83,3.7%,41,8.7%,20,12.6%,71,3.9%,59,33.3%
Josh Howard,24.5,DAL,Forward,429,36,0.9%,36,1.1%,27,5.4%,73,8.1%,82,15.4%,64,3.7%,36,13.0%
Larry Hughes,25.8,WAS,Combo,402,67,1.0%,67,2.1%,75,3.1%,67,3.9%,92,12.4%,75,3.0%,100,26.5%
Lindsey Hunter,33.9,DET,Combo,352,92,1.2%,100,2.8%,8,5.7%,58,3.2%,25,8.4%,0,0.0%,67,4.0%
Steven Hunter,23.0,PHX,Big,209,93,4.5%,2,0.2%,56,5.2%,51,9.7%,0,7.8%,0,0.0%,49,28.6%
Andre Iguodala,20.8,PHI,Wing,193,93,1.5%,100,3.5%,55,3.0%,90,4.6%,59,9.7%,0,0.0%,0,0.0%
Allen Iverson,29.4,PHI,Point,237,65,0.5%,76,2.0%,94,1.6%,0,0.0%,12,5.6%,0,0.0%,0,0.0%
Jim Jackson,34.1,PHX,Combo,466,58,0.9%,0,1.0%,42,3.7%,50,2.9%,75,10.4%,83,4.3%,42,2.9%
Stephen Jackson,26.6,IND,Wing,471,79,0.7%,97,2.5%,28,3.8%,24,1.6%,17,8.2%,0,0.0%,100,42.9%
Jerome James,29.0,OKC,Big,294,78,3.8%,44,0.9%,32,6.3%,71,11.6%,56,15.6%,85,7.7%,15,15.4%
Mike James,29.4,HOU,Combo,170,50,0.7%,25,1.4%,25,4.5%,25,1.6%,8,7.3%,0,0.0%,0,0.0%
Antawn Jamison,28.4,WAS,Wing,378,59,0.6%,14,0.8%,90,2.0%,79,4.4%,72,11.3%,0,0.0%,83,22.9%
Al Jefferson,19.8,BOS,Big,121,90,4.3%,95,1.6%,29,6.4%,95,16.3%,90,23.6%,0,0.0%,39,25.0%
Richard Jefferson,24.4,BKN,Wing,139,0,0.0%,24,1.0%,17,4.1%,100,5.8%,31,8.7%,0,0.0%,90,26.3%
Jared Jeffries,22.9,WAS,Forward,244,73,1.9%,73,1.6%,18,5.8%,91,8.6%,27,9.6%,0,0.0%,18,4.3%
Anthony Johnson,30.1,IND,Point,309,94,1.0%,82,2.1%,41,3.3%,29,1.4%,88,12.4%,0,0.0%,0,0.0%
Joe Johnson,23.3,PHX,Wing,351,66,0.6%,38,1.3%,83,2.3%,34,2.3%,24,8.7%,0,0.0%,48,8.0%
Damon Jones,28.2,MIA,Point,501,0,0.0%,6,0.7%,76,2.2%,12,0.5%,41,7.1%,94,2.1%,59,3.2%
Eddie Jones,33.0,MIA,Wing,601,83,0.8%,52,1.4%,10,4.4%,31,2.2%,79,11.4%,0,0.0%,72,14.6%
Fred Jones,25.6,IND,Wing,210,59,0.6%,79,1.7%,93,2.0%,3,0.6%,83,11.6%,0,0.0%,0,0.0%
James Jones,24.1,IND,Forward,181,82,2.0%,82,1.7%,64,3.6%,9,2.4%,36,10.1%,0,0.0%,55,20.0%
Jason Kidd,31.6,BKN,Point,182,0,0.0%,94,2.5%,24,4.0%,100,5.3%,100,16.5%,0,0.0%,100,17.4%
Kyle Korver,23.6,PHI,Wing,140,34,0.4%,28,1.0%,0,5.8%,38,2.3%,10,7.0%,0,0.0%,86,25.0%
Nenad Krstic,21.3,BKN,Big,154,17,0.8%,7,0.3%,51,5.4%,29,6.7%,34,13.8%,0,0.0%,37,23.5%
Raef LaFrentz,28.4,BOS,Big,185,76,3.7%,93,1.6%,24,6.6%,5,3.7%,49,15.4%,0,0.0%,32,22.2%
Christian Laettner,35.2,MIA,Big,130,0,0.0%,56,1.1%,41,6.0%,2,2.9%,27,13.1%,0,0.0%,44,27.8%
Rashard Lewis,25.2,OKC,Forward,311,27,0.5%,9,0.4%,91,3.1%,27,3.7%,45,10.7%,0,0.0%,45,18.8%
Shawn Marion,26.5,PHX,Forward,631,91,2.1%,45,1.5%,82,3.2%,64,7.7%,91,17.8%,73,5.1%,100,43.8%
Kenyon Martin,26.8,DEN,Big,163,39,1.7%,80,1.4%,39,6.1%,7,4.1%,39,14.2%,83,7.1%,12,11.1%
Antonio McDyess,30.2,DET,Big,493,56,2.8%,71,1.3%,22,7.1%,56,10.2%,83,19.6%,61,2.7%,71,37.1%
Tracy McGrady,25.4,HOU,Wing,301,97,1.8%,76,1.7%,59,2.8%,83,4.4%,90,14.5%,90,6.3%,55,10.0%
Andre Miller,28.6,DEN,Combo,183,33,0.3%,92,2.5%,17,4.6%,75,4.2%,42,9.7%,92,5.6%,92,15.4%
Brad Miller,28.6,SAC,Big,138,29,1.2%,10,0.3%,34,6.1%,20,5.9%,5,9.8%,0,0.0%,0,0.0%
Mike Miller,24.7,MEM,Wing,108,90,1.0%,0,0.0%,79,2.3%,0,0.0%,76,11.4%,0,0.0%,0,0.0%
