Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Damian Jones,27.3,UTA,Big,285,30,+2.2,45,+0.3,16,+3.0%,80,+1.1%,34,+1.7,23,+1.6,55,-1.4
Tyus Jones,26.5,MEM,Combo,1918,8,+5.8,17,+4.1,4,+5.4%,52,+0.1%,20,+3.2,22,+1.7,29,+7.4
Derrick Jones Jr.,25.7,CHI,Big,845,82,-3.6,91,-5.8,6,+4.8%,7,-2.2%,33,+1.8,5,+3.7,86,-13.9
DeAndre Jordan,34.3,DEN,Big,568,4,+7.2,9,+5.8,20,+2.5%,22,-1.1%,38,+1.3,18,+2.0,72,-6.8
Cory Joseph,31.2,DET,Combo,1184,68,-2.1,69,-2.2,27,+2.0%,82,+1.2%,69,-1.6,37,+0.7,86,-13.8
Frank Kaminsky,29.6,ATL,Big,132,38,+1.6,11,+5.1,87,-3.0%,68,+0.6%,78,-2.5,87,-2.3,45,+2.3
Zach LaVine,27.6,CHI,Wing,2768,41,+1.3,16,+4.1,85,-2.8%,74,+0.8%,83,-3.1,87,-2.2,61,-2.6
Caris LeVert,28.2,CLE,Wing,2206,55,-0.5,57,-0.8,17,+2.9%,41,-0.3%,14,+3.6,7,+3.2,50,+0.2
Alex Len,29.4,SAC,Big,132,99,-11.2,99,-11.8,23,+2.3%,26,-0.9%,100,-12.8,100,-5.7,99,-46.3
Kawhi Leonard,31.3,LAC,Forward,1745,62,-1.2,45,+0.3,90,-3.3%,72,+0.8%,81,-2.9,50,+0.1,89,-16.3
Meyers Leonard,30.7,MIL,Big,100,0,+13.1,1,+10.6,36,+1.2%,34,-0.6%,74,-2.2,91,-3.1,27,+7.8
Damian Lillard,32.3,POR,Point,2105,59,-0.8,53,-0.7,66,-0.8%,92,+2.0%,42,+0.8,42,+0.4,48,+1.1
Kevon Looney,26.7,GSW,Big,1961,43,+1.0,60,-1.2,86,-2.9%,76,+1.0%,72,-2.0,93,-3.3,23,+9.8
Brook Lopez,34.6,MIL,Big,2367,97,-9.3,82,-3.7,97,-5.7%,84,+1.3%,96,-6.3,95,-3.5,83,-12.5
Robin Lopez,34.6,CLE,Big,243,3,+7.6,7,+6.4,48,+0.5%,0,-7.8%,40,+1.0,5,+3.9,87,-14.1
Kevin Love,34.1,CLE,Big,820,30,+2.3,15,+4.3,72,-1.4%,19,-1.2%,83,-3.0,64,-0.7,86,-13.6
Kevin Love,34.1,MIA,Big,414,90,-5.5,63,-1.4,92,-3.8%,21,-1.1%,39,+1.2,30,+1.1,53,-0.7
Kyle Lowry,36.6,MIA,Point,1706,68,-2.0,59,-1.1,65,-0.7%,61,+0.4%,85,-3.6,82,-1.9,75,-7.6
Trey Lyles,27.0,SAC,Big,1212,59,-0.8,52,-0.6,9,+4.0%,41,-0.3%,60,-0.7,25,+1.4,86,-14.0
Wesley Matthews,36.0,MIL,Wing,771,50,+0.1,90,-5.6,61,-0.5%,71,+0.7%,61,-0.8,74,-1.4,35,+5.3
CJ McCollum,31.1,NOP,Combo,2647,12,+5.0,12,+4.6,72,-1.3%,73,+0.8%,64,-1.1,41,+0.5,81,-11.3
TJ McConnell,30.6,IND,Point,1491,79,-3.3,80,-3.6,16,+3.0%,46,-0.1%,57,-0.5,49,+0.1,62,-2.9
Doug McDermott,30.8,SAS,Forward,1311,43,+1.0,49,-0.2,33,+1.4%,49,+0.0%,37,+1.3,31,+1.0,50,+0.1
JaVale McGee,34.8,DAL,Big,318,40,+1.3,82,-3.7,5,+4.9%,0,-5.8%,54,-0.2,8,+3.1,93,-18.5
Rodney McGruder,31.3,DET,Wing,491,47,+0.6,41,+0.6,30,+1.6%,74,+0.9%,51,+0.1,25,+1.4,76,-8.1
Khris Middleton,31.2,MIL,Forward,792,56,-0.5,46,+0.2,52,+0.1%,65,+0.6%,47,+0.4,39,+0.5,56,-1.4
Patty Mills,34.2,BKN,Combo,536,4,+7.4,12,+5.0,6,+4.8%,12,-1.7%,2,+7.1,13,+2.4,9,+18.7
Marcus Morris,33.2,LAC,Big,1822,40,+1.3,7,+6.5,99,-6.1%,91,+1.8%,93,-4.9,93,-3.4,68,-5.6
Markieff Morris,33.2,BKN,Big,275,78,-3.3,45,+0.3,100,-7.0%,35,-0.5%,94,-5.6,98,-4.7,60,-2.4
Dejounte Murray,26.1,ATL,Combo,2686,58,-0.7,13,+4.6,98,-5.8%,41,-0.3%,76,-2.3,75,-1.4,63,-3.0
Jamal Murray,25.7,DEN,Combo,2128,57,-0.7,61,-1.2,48,+0.4%,42,-0.3%,18,+3.3,35,+0.9,16,+13.1
Mike Muscala,31.3,OKC,Big,621,77,-3.1,84,-4.2,51,+0.1%,87,+1.5%,59,-0.6,45,+0.3,69,-6.2
Mike Muscala,31.3,BOS,Big,297,46,+0.7,76,-3.1,80,-2.1%,18,-1.3%,3,+7.0,11,+2.5,5,+21.2
Larry Nance Jr.,29.8,NOP,Big,1368,78,-3.2,85,-4.5,11,+3.6%,71,+0.7%,11,+4.1,20,+1.8,24,+9.2
Raul Neto,30.5,CLE,Combo,413,8,+5.9,9,+5.8,9,+4.0%,31,-0.7%,66,-1.4,19,+1.9,90,-16.6
Georges Niang,29.4,PHI,Forward,1489,44,+0.8,26,+2.9,26,+2.1%,27,-0.9%,49,+0.2,37,+0.7,66,-3.8
Nerlens Noel,28.6,DET,Big,136,7,+6.4,17,+4.1,5,+4.9%,16,-1.4%,82,-3.0,15,+2.2,97,-27.0
Jusuf Nurkic,28.2,POR,Big,1387,93,-6.5,72,-2.5,99,-6.0%,58,+0.3%,84,-3.4,86,-2.2,62,-2.7
Victor Oladipo,30.5,MIA,Combo,1100,50,+0.1,67,-2.0,51,+0.1%,43,-0.2%,65,-1.2,68,-1.1,54,-0.8
Kelly Olynyk,31.5,UTA,Big,1942,59,-0.8,40,+0.7,59,-0.4%,22,-1.0%,52,+0.0,25,+1.4,77,-8.6
Kelly Oubre,26.9,CHA,Wing,1546,34,+1.8,50,-0.3,33,+1.4%,43,-0.3%,7,+5.0,16,+2.1,20,+11.0
Chris Paul,37.5,PHX,Point,1886,52,-0.0,52,-0.6,38,+1.1%,32,-0.6%,42,+0.8,23,+1.6,69,-6.1
Cameron Payne,28.2,PHX,Point,939,34,+1.8,32,+1.9,42,+0.8%,79,+1.1%,20,+3.1,28,+1.2,27,+7.8
Mason Plumlee,32.7,CHA,Big,1595,5,+7.0,2,+9.9,91,-3.6%,40,-0.3%,45,+0.7,74,-1.4,15,+13.1
Mason Plumlee,32.7,LAC,Big,449,44,+0.9,16,+4.2,7,+4.7%,27,-0.9%,27,+2.4,27,+1.3,34,+5.6
Jakob Poeltl,27.0,SAS,Big,1198,66,-1.7,22,+3.5,93,-3.8%,77,+1.0%,81,-2.9,95,-3.5,24,+9.5
Jakob Poeltl,27.0,TOR,Big,706,98,-9.9,87,-5.1,89,-3.1%,80,+1.1%,93,-4.8,59,-0.4,96,-24.2
Otto Porter,29.4,TOR,Wing,139,22,+3.3,24,+3.2,0,+15.4%,1,-4.2%,0,+12.7,2,+5.6,3,+27.1
Bobby Portis,27.7,MIL,Big,1795,9,+5.6,25,+3.0,25,+2.1%,8,-2.0%,24,+2.7,17,+2.1,45,+2.4
Kristaps Porzingis,27.2,WAS,Big,2119,69,-2.1,74,-2.6,88,-3.1%,15,-1.4%,76,-2.3,76,-1.5,62,-2.9
Dwight Powell,31.3,DAL,Big,1449,70,-2.2,53,-0.6,82,-2.3%,65,+0.6%,41,+1.0,40,+0.5,47,+1.3
Norman Powell,29.4,LAC,Wing,1535,30,+2.3,54,-0.7,15,+3.1%,21,-1.1%,24,+2.6,19,+1.9,45,+2.4
Taurean Prince,28.6,MIN,Forward,1182,37,+1.6,60,-1.1,46,+0.6%,68,+0.6%,51,+0.1,68,-1.0,28,+7.5
Julius Randle,27.9,NYK,Forward,2733,10,+5.6,34,+1.4,62,-0.6%,44,-0.2%,32,+2.0,62,-0.6,13,+14.9
Josh Richardson,29.1,SAS,Combo,980,64,-1.4,84,-4.4,70,-1.2%,61,+0.4%,6,+5.3,36,+0.8,5,+21.8
Josh Richardson,29.1,NOP,Combo,509,88,-5.0,95,-7.8,1,+7.0%,17,-1.3%,52,-0.0,29,+1.1,79,-9.7
Austin Rivers,30.3,MIN,Wing,1011,9,+5.7,27,+2.8,4,+5.4%,44,-0.2%,7,+4.9,10,+2.6,23,+9.9
Derrick Rose,34.1,NYK,Point,332,81,-3.5,89,-5.4,13,+3.4%,6,-2.2%,11,+4.0,6,+3.6,49,+0.6
Terrence Ross,31.7,ORL,Wing,939,51,+0.0,46,+0.1,18,+2.8%,68,+0.6%,88,-4.1,54,-0.1,96,-23.4
Terrence Ross,31.7,PHX,Wing,379,1,+12.4,0,+13.9,100,-6.5%,93,+2.0%,63,-0.9,95,-3.6,4,+23.5
Terry Rozier,28.6,CHA,Combo,2221,26,+2.7,21,+3.7,50,+0.3%,60,+0.4%,26,+2.5,54,-0.1,15,+13.6
Ricky Rubio,32.0,CLE,Combo,556,87,-4.6,92,-6.2,20,+2.5%,33,-0.6%,32,+1.9,12,+2.4,67,-4.6
D'Angelo Russell,26.7,MIN,Point,1777,38,+1.6,21,+3.6,79,-2.0%,44,-0.2%,47,+0.5,80,-1.7,18,+12.2
D'Angelo Russell,26.7,LAL,Point,525,77,-3.1,87,-5.1,40,+1.0%,75,+0.9%,20,+3.1,53,-0.0,8,+19.2
Domantas Sabonis,26.5,SAC,Big,2728,42,+1.1,25,+3.1,92,-3.7%,61,+0.4%,55,-0.4,72,-1.3,32,+6.4
Dario Saric,28.6,PHX,Big,465,11,+5.2,21,+3.8,96,-4.9%,54,+0.1%,50,+0.2,98,-4.5,1,+37.1
Dario Saric,28.6,OKC,Big,267,99,-11.3,97,-10.1,55,-0.1%,34,-0.5%,80,-2.8,34,+0.9,91,-17.5
Dennis Schroder,29.1,LAL,Point,1974,61,-1.1,47,+0.1,73,-1.4%,47,-0.0%,40,+1.0,30,+1.1,58,-2.0
Pascal Siakam,28.6,TOR,Forward,2651,55,-0.4,55,-0.7,86,-2.9%,95,+2.3%,91,-4.5,90,-2.9,70,-6.2
Ben Simmons,26.3,BKN,Point,1104,60,-0.9,63,-1.4,24,+2.3%,33,-0.6%,88,-4.2,61,-0.5,92,-17.9
Marcus Smart,28.7,BOS,Point,1954,22,+3.4,8,+6.0,46,+0.6%,79,+1.1%,53,-0.1,46,+0.3,59,-2.3
Ish Smith,34.3,DEN,Point,300,81,-3.6,79,-3.4,70,-1.2%,53,+0.1%,88,-4.1,88,-2.5,76,-8.0
Klay Thompson,32.7,GSW,Wing,2277,65,-1.5,68,-2.0,55,-0.1%,14,-1.5%,62,-0.9,44,+0.3,75,-8.0
Karl-Anthony Towns,27.0,MIN,Big,957,82,-3.7,68,-2.1,94,-3.9%,38,-0.4%,71,-2.0,80,-1.7,51,-0.2
PJ Tucker,37.5,PHI,Big,1919,37,+1.6,39,+0.8,73,-1.5%,42,-0.3%,46,+0.6,65,-0.9,23,+9.8
Myles Turner,26.6,IND,Big,1825,74,-2.7,55,-0.7,62,-0.6%,73,+0.8%,53,-0.1,73,-1.4,27,+7.8
Jonas Valanciunas,30.5,NOP,Big,1966,33,+1.9,23,+3.4,95,-4.4%,24,-1.0%,93,-5.0,80,-1.7,89,-15.4
Fred VanVleet,28.7,TOR,Point,2532,45,+0.7,36,+1.2,69,-1.1%,84,+1.4%,55,-0.3,50,+0.1,55,-1.3
Noah Vonleh,27.2,BOS,Big,120,4,+7.3,29,+2.5,22,+2.4%,90,+1.8%,13,+3.7,60,-0.5,4,+22.6
Nikola Vucevic,32.0,CHI,Big,2743,17,+4.1,4,+8.3,99,-6.2%,78,+1.1%,92,-4.6,99,-4.9,32,+6.6
Kemba Walker,32.5,DAL,Combo,122,72,-2.5,37,+1.0,96,-4.8%,99,+3.3%,90,-4.3,100,-6.1,7,+19.7
John Wall,32.2,LAC,Point,753,34,+1.8,56,-0.8,15,+3.1%,14,-1.6%,44,+0.7,31,+1.0,61,-2.6
TJ Warren,29.2,BKN,Forward,468,37,+1.6,19,+3.9,71,-1.2%,25,-0.9%,15,+3.5,12,+2.4,36,+5.1
TJ Warren,29.2,PHX,Big,178,99,-10.7,91,-5.8,98,-5.7%,99,+3.9%,87,-3.9,100,-6.0,2,+28.3
Russell Westbrook,34.0,LAL,Combo,1487,11,+5.3,11,+5.0,28,+1.7%,47,-0.0%,28,+2.3,31,+1.0,39,+4.0
Russell Westbrook,34.0,LAC,Point,633,84,-4.2,93,-6.6,90,-3.4%,9,-1.9%,61,-0.8,81,-1.8,31,+7.0
Andrew Wiggins,27.7,GSW,Forward,1188,84,-4.2,64,-1.5,69,-1.1%,46,-0.1%,57,-0.4,71,-1.2,36,+5.1
Justise Winslow,26.6,POR,Forward,764,94,-6.7,97,-9.1,19,+2.6%,41,-0.3%,51,+0.1,69,-1.1,26,+8.1
Christian Wood,27.1,DAL,Big,1715,25,+2.8,28,+2.7,32,+1.5%,65,+0.6%,27,+2.4,40,+0.5,24,+9.3
Delon Wright,30.5,WAS,Combo,1217,86,-4.3,97,-8.8,17,+2.9%,28,-0.8%,15,+3.6,29,+1.1,18,+12.3
Thaddeus Young,34.4,TOR,Big,781,12,+4.9,31,+2.1,59,-0.4%,16,-1.4%,8,+4.7,52,+0.0,3,+26.8
Cody Zeller,30.1,MIA,Big,216,6,+6.8,1,+10.6,89,-3.3%,72,+0.8%,99,-10.0,84,-2.0,99,-45.6
Ivica Zubac,25.6,LAC,Big,2168,56,-0.5,41,+0.6,97,-5.2%,57,+0.2%,69,-1.6,85,-2.0,39,+4.2
Gary Payton II,29.9,POR,Wing,255,2,+8.6,2,+9.9,11,+3.7%,99,+3.5%,62,-0.9,36,+0.8,79,-9.8
Gary Payton II,29.9,GSW,Wing,123,37,+1.6,56,-0.8,41,+0.9%,66,+0.6%,6,+5.0,7,+3.3,35,+5.5
Chris Boucher,29.8,TOR,Big,1493,54,-0.2,44,+0.4,50,+0.3%,64,+0.5%,63,-0.9,72,-1.3,43,+2.7
Torrey Craig,31.9,PHX,Forward,1936,2,+8.6,3,+9.3,40,+1.0%,16,-1.4%,54,-0.2,50,+0.1,57,-1.8
Monte Morris,27.3,WAS,Point,1693,21,+3.5,12,+4.8,74,-1.5%,81,+1.1%,40,+1.0,59,-0.4,32,+6.9
Kyle Kuzma,27.3,WAS,Forward,2238,89,-5.3,78,-3.4,35,+1.3%,62,+0.4%,82,-2.9,53,-0.0,89,-16.5
