Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Quincy Acy,24.1,NYK,Big,1179,90,-5.2,86,-1.4,26,+0.8%,81,-8.9,61,-0.2,74,-3.8%,48,-0.0,86,-1.2,54,-0.3%,86,-14.3
Jordan Adams,20.3,MEM,Wing,185,68,-1.7,29,+0.7,100,-4.0%,8,+14.6,63,-0.3,76,-4.0%,46,+1.0,45,+0.1,100,-9.6%,26,+8.1
Steven Adams,21.3,OKC,Big,1767,56,-0.4,52,-0.1,64,-0.4%,37,+2.8,22,+0.5,50,-0.3%,23,+10.1,75,-0.7,60,-0.7%,64,-4.5
Jeff Adrien,28.7,MIN,Big,189,82,-4.0,17,+1.3,38,+0.3%,17,+8.9,93,-1.1,61,-1.7%,72,-8.6,4,+2.0,4,+5.6%,8,+16.8
Arron Afflalo,29.0,DEN,Wing,1746,46,+0.7,22,+1.0,29,+0.6%,22,+6.9,22,+0.5,19,+4.9%,22,+11.2,33,+0.4,56,-0.4%,38,+3.9
Arron Afflalo,29.0,POR,Wing,747,36,+1.8,8,+2.0,79,-0.9%,6,+15.9,60,-0.2,85,-5.9%,32,+6.2,2,+2.6,11,+3.7%,3,+26.8
Alexis Ajinca,26.5,NOP,Big,873,44,+0.8,75,-0.9,52,-0.1%,75,-6.6,40,+0.2,50,-0.2%,51,-1.0,84,-1.1,65,-1.0%,75,-9.1
Furkan Aldemir,23.2,PHI,Big,488,4,+8.7,12,+1.7,14,+1.4%,20,+7.7,19,+0.6,19,+4.9%,46,+1.0,17,+1.0,18,+2.5%,21,+9.5
Cole Aldrich,26.0,NYK,Big,915,57,-0.4,76,-1.0,5,+2.2%,84,-10.4,17,+0.7,31,+2.5%,47,+0.5,93,-1.6,35,+1.0%,92,-19.2
LaMarcus Aldridge,29.3,POR,Big,2508,31,+2.3,27,+0.7,49,+0.0%,29,+5.0,16,+0.7,31,+2.5%,12,+17.8,55,-0.1,12,+3.4%,62,-3.7
Lavoy Allen,25.7,IND,Big,1025,61,-0.8,27,+0.7,48,+0.0%,31,+4.4,70,-0.4,73,-3.4%,63,-4.9,11,+1.3,15,+2.9%,14,+12.1
Tony Allen,32.8,MEM,Wing,1631,97,-8.6,79,-1.1,72,-0.7%,72,-5.7,72,-0.5,66,-2.4%,73,-9.0,62,-0.3,27,+1.6%,52,-0.9
Al-Farouq Aminu,24.1,DAL,Forward,1277,86,-4.6,88,-1.6,79,-0.9%,89,-12.4,80,-0.7,54,-0.7%,69,-7.4,85,-1.1,37,+0.9%,89,-16.6
Lou Amundson,31.9,NYK,Big,856,93,-6.6,9,+2.0,22,+1.1%,9,+13.3,57,-0.1,32,+2.4%,40,+3.4,3,+2.2,4,+5.2%,6,+20.4
Chris Andersen,36.3,MIA,Big,1127,84,-4.3,61,-0.4,8,+2.0%,71,-5.6,34,+0.3,62,-1.7%,43,+1.7,71,-0.6,12,+3.3%,74,-8.8
Alan Anderson,32.0,BKN,Wing,1713,95,-7.3,51,-0.0,57,-0.2%,48,-0.0,50,-0.0,71,-3.1%,27,+8.3,50,+0.0,66,-1.1%,60,-2.9
Kyle Anderson,21.1,SAS,Wing,316,12,+5.3,46,+0.1,18,+1.2%,66,-4.0,37,+0.2,9,+8.1%,81,-12.8,67,-0.5,85,-2.9%,61,-3.0
Ryan Anderson,26.5,NOP,Big,1653,5,+7.8,31,+0.6,35,+0.5%,32,+4.2,23,+0.5,4,+10.5%,22,+10.6,43,+0.1,58,-0.6%,46,+0.7
Giannis Antetokounmpo,19.9,MIL,Forward,2507,51,+0.2,58,-0.3,93,-2.1%,32,+4.1,11,+1.0,86,-6.0%,7,+25.2,88,-1.3,92,-4.3%,80,-11.2
Carmelo Anthony,30.4,NYK,Forward,1424,26,+2.9,56,-0.2,85,-1.3%,59,-2.3,89,-0.9,73,-3.7%,80,-11.9,26,+0.7,28,+1.6%,37,+4.2
Joel Anthony,32.2,DET,Big,367,88,-4.7,89,-1.6,56,-0.1%,82,-9.4,54,-0.1,39,+1.5%,50,-0.8,90,-1.4,50,-0.1%,78,-10.5
