Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,20.3,OKC,Big,300,98,70.5%,98,70.5%,0,0.0%,0,34.8%,28,74%,33,69%,9,100%,0,0%
LaMarcus Aldridge,28.3,POR,Big,440,33,45.8%,26,44.9%,0,66.7%,85,80.0%,98,46%,87,47%,89,45%,98,50%
Ray Allen,38.3,MIA,Wing,526,66,53.9%,39,44.8%,64,40.2%,93,91.4%,47,59%,89,33%,95,7%,58,91%
Tony Allen,31.8,MEM,Wing,230,42,48.6%,89,53.8%,0,0.0%,0,76.2%,63,54%,39,50%,18,71%,0,0%
Chris Andersen,35.3,MIA,Big,316,80,57.9%,85,58.9%,0,0.0%,30,68.4%,59,67%,37,67%,0,0%,0,0%
Alan Anderson,31.0,BKN,Wing,257,39,48.4%,84,53.3%,18,29.0%,0,66.7%,66,52%,39,50%,68,25%,74,78%
Pero Antic,31.3,ATL,Big,169,0,20.2%,0,23.5%,0,12.0%,0,62.5%,4,86%,78,50%,9,100%,74,100%
Trevor Ariza,28.3,WAS,Wing,407,92,59.7%,82,51.9%,79,44.6%,21,77.8%,29,77%,63,48%,13,83%,5,100%
Omer Asik,27.3,HOU,Big,162,46,48.5%,48,48.5%,0,0.0%,0,100.0%,80,56%,57,60%,96,0%,0,0%
D.J. Augustin,26.0,CHI,Point,140,0,34.0%,0,30.4%,18,26.9%,0,89.5%,79,24%,95,0%,47,20%,68,57%
Harrison Barnes,21.4,GSW,Forward,141,18,47.7%,9,37.5%,82,40.0%,0,57.1%,18,82%,0,100%,64,40%,0,100%
Matt Barnes,33.6,LAC,Forward,400,27,50.0%,73,55.3%,27,30.5%,0,68.4%,9,86%,9,75%,0,90%,64,94%
Shane Battier,35.1,MIA,Wing,191,100,66.0%,58,50.0%,88,47.4%,0,80.0%,13,83%,39,50%,97,0%,5,100%
Nicolas Batum,24.9,POR,Wing,458,68,55.0%,95,56.8%,36,35.0%,0,80.0%,79,46%,84,37%,82,16%,68,86%
Bradley Beal,20.3,WAS,Wing,454,45,48.9%,24,43.1%,67,41.5%,43,79.2%,76,47%,39,50%,66,27%,82,73%
Marco Belinelli,27.6,SAS,Wing,308,79,57.8%,50,47.8%,97,48.4%,0,94.4%,11,84%,24,70%,16,75%,5,100%
Patrick Beverley,25.3,HOU,Combo,202,27,45.0%,18,42.9%,22,31.8%,0,70.0%,18,63%,9,57%,18,40%,45,86%
Andray Blatche,27.2,BKN,Big,171,28,45.6%,37,46.4%,0,0.0%,100,83.3%,89,50%,74,54%,96,0%,0,0%
Trevor Booker,25.9,WAS,Big,141,41,48.1%,43,48.1%,0,0.0%,0,66.7%,83,54%,98,29%,39,83%,0,0%
Carlos Boozer,31.9,CHI,Big,120,13,42.6%,17,42.6%,0,0.0%,0,88.9%,48,70%,0,86%,76,62%,0,0%
Chris Bosh,29.6,MIA,Big,684,78,57.2%,78,55.5%,67,40.5%,55,74.5%,35,72%,54,61%,65,65%,74,100%
Caron Butler,33.6,OKC,Wing,413,13,42.9%,3,28.6%,39,36.2%,29,78.6%,26,77%,18,71%,63,29%,47,95%
Jimmy Butler,24.1,CHI,Wing,217,24,43.9%,26,43.2%,21,30.0%,0,78.3%,42,68%,34,56%,18,71%,71,83%
Jose Calderon,32.1,DAL,Point,191,79,54.6%,26,45.2%,94,47.8%,0,100.0%,42,33%,47,25%,68,13%,47,64%
DeMarre Carroll,27.3,ATL,Wing,245,76,57.3%,79,51.9%,76,42.9%,0,63.6%,39,70%,37,55%,50,33%,5,100%
Vince Carter,36.8,DAL,Wing,190,74,56.6%,26,43.2%,97,48.4%,0,78.6%,50,58%,95,0%,39,45%,63,87%
Mario Chalmers,27.5,MIA,Point,528,42,50.0%,47,47.1%,47,36.6%,0,75.0%,16,49%,26,31%,11,33%,16,87%
Norris Cole,25.1,MIA,Combo,393,82,51.4%,73,47.2%,44,35.9%,0,92.3%,9,65%,27,33%,18,40%,9,100%
Darren Collison,26.2,LAC,Combo,222,9,40.6%,55,44.9%,0,9.1%,25,84.6%,45,44%,18,41%,0,43%,9,100%
Nick Collison,33.0,OKC,Big,172,15,42.9%,2,39.1%,0,40.0%,0,75.0%,11,82%,37,67%,9,100%,74,100%
Mike Conley,26.1,MEM,Point,266,16,44.6%,95,54.7%,0,11.1%,33,76.9%,74,25%,68,16%,5,44%,100,0%
Jamal Crawford,33.6,LAC,Combo,301,36,46.0%,36,43.3%,33,32.9%,100,87.8%,27,49%,27,33%,36,38%,82,71%
Stephen Curry,25.6,GSW,Point,296,74,54.4%,68,49.2%,71,40.0%,67,88.1%,68,27%,74,13%,58,14%,74,45%
Samuel Dalembert,33.5,DAL,Big,134,35,45.8%,33,45.8%,0,0.0%,0,66.7%,70,64%,48,64%,0,0%,0,0%
Glen Davis,27.8,LAC,Big,143,83,58.3%,83,58.3%,0,0.0%,0,0.0%,0,90%,4,83%,9,100%,0,0%
DeMar DeRozan,24.2,TOR,Wing,281,8,41.0%,11,39.4%,30,33.3%,79,89.9%,92,33%,74,40%,61,29%,95,33%
Boris Diaw,31.5,SAS,Big,595,74,56.1%,72,54.0%,83,40.9%,35,69.6%,72,61%,67,57%,93,38%,74,100%
Tim Duncan,37.5,SAS,Big,750,63,52.3%,65,52.7%,0,0.0%,65,76.0%,46,70%,24,75%,63,65%,0,0%
Mike Dunleavy,33.1,CHI,Wing,162,84,58.5%,53,48.1%,85,46.2%,0,66.7%,18,80%,68,44%,3,100%,5,100%
Kevin Durant,25.1,OKC,Forward,813,45,51.4%,45,50.8%,45,35.2%,100,81.0%,73,60%,64,47%,45,57%,91,84%
Monta Ellis,28.0,DAL,Wing,249,29,46.8%,18,43.0%,48,37.5%,71,86.7%,89,35%,79,38%,89,11%,87,67%
Derek Fisher,39.2,OKC,Combo,262,0,39.0%,0,32.0%,11,29.4%,0,100.0%,0,67%,82,0%,0,43%,36,90%
Kevin Garnett,37.5,BKN,Big,249,65,53.2%,74,54.1%,0,0.0%,0,73.9%,11,82%,17,75%,30,88%,0,0%
Marc Gasol,28.8,MEM,Big,299,7,40.9%,9,40.9%,0,0.0%,80,79.4%,57,68%,30,71%,59,67%,0,0%
Paul George,23.5,IND,Wing,779,53,51.5%,42,46.2%,55,39.2%,36,78.9%,68,51%,87,37%,47,35%,76,78%
Taj Gibson,28.4,CHI,Big,153,76,56.1%,80,56.1%,0,0.0%,60,75.0%,37,72%,35,68%,43,80%,0,0%
Manu Ginobili,36.3,SAS,Wing,585,63,53.0%,47,47.7%,58,39.8%,64,86.2%,71,48%,82,37%,53,32%,84,68%
Drew Gooden,32.1,WAS,Big,145,2,36.8%,11,41.2%,0,0.0%,0,75.0%,78,57%,100,25%,9,100%,0,0%
Marcin Gortat,29.7,WAS,Big,381,52,49.2%,54,49.2%,0,0.0%,20,65.9%,63,66%,28,73%,80,56%,0,0%
Danny Granger,30.5,LAC,Forward,116,0,34.4%,0,35.7%,0,22.2%,0,77.8%,64,67%,100,33%,55,50%,0,100%
Danny Green,26.4,SAS,Wing,521,97,64.4%,76,51.7%,91,48.0%,0,77.8%,34,75%,26,64%,42,42%,55,91%
Draymond Green,23.7,GSW,Forward,225,73,55.2%,91,64.5%,18,29.6%,0,79.2%,27,79%,36,67%,18,80%,0,100%
Blake Griffin,24.6,LAC,Big,476,57,50.2%,59,51.1%,0,14.3%,50,74.0%,67,64%,43,65%,74,62%,74,100%
James Harden,24.2,HOU,Wing,263,21,43.5%,21,43.0%,15,28.8%,86,90.0%,97,31%,92,31%,92,10%,92,60%
Devin Harris,30.7,DAL,Combo,173,100,55.6%,82,48.8%,100,45.5%,0,87.5%,100,13%,73,11%,91,0%,100,30%
Udonis Haslem,33.4,MIA,Big,152,9,41.9%,13,41.9%,0,0.0%,0,60.0%,52,69%,50,63%,43,80%,0,0%
Gerald Henderson,25.9,CHA,Wing,119,3,37.8%,58,50.0%,0,0.0%,0,64.7%,53,57%,39,50%,29,63%,0,0%
Roy Hibbert,26.9,IND,Big,541,24,44.9%,28,45.2%,0,0.0%,75,77.2%,74,59%,76,53%,70,65%,0,0%
Nene Hilario,31.1,WAS,Big,321,37,46.3%,35,46.3%,0,0.0%,0,34.6%,33,73%,17,75%,57,72%,0,0%
George Hill,27.5,IND,Point,682,68,52.3%,79,50.5%,41,36.0%,11,72.9%,21,49%,16,33%,11,33%,37,78%
Kirk Hinrich,32.8,CHI,Combo,167,45,47.3%,27,43.2%,56,36.8%,0,50.0%,91,35%,82,0%,73,9%,9,100%
Dwight Howard,27.9,HOU,Big,231,72,54.7%,76,54.7%,0,0.0%,15,62.5%,100,38%,96,35%,85,47%,0,0%
Serge Ibaka,24.1,OKC,Big,580,87,60.9%,87,61.2%,0,38.5%,70,76.5%,20,78%,65,57%,28,98%,74,100%
Andre Iguodala,29.8,GSW,Wing,246,82,58.1%,68,51.1%,0,53.3%,0,59.4%,58,56%,32,56%,68,25%,61,88%
