Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Precious Achiuwa,24.1,NYK,Big,181,0,38.5%,71,14.9%,24,1.2%,21,14.3%
Bam Adebayo,26.3,MIA,Big,254,0,68.0%,47,11.3%,71,2.4%,74,28.6%
Nickeil Alexander-Walker,25.2,MIN,Wing,374,0,100.0%,18,3.6%,25,0.7%,86,50.0%
Jarrett Allen,25.5,CLE,Big,126,21,69.2%,91,22.2%,100,5.3%,41,20.0%
Jose Alvarado,25.6,NOP,Point,104,0,100.0%,14,2.9%,0,0.0%,100,100.0%
Kyle Anderson,30.1,MIN,Forward,227,0,83.3%,48,6.6%,56,1.0%,0,0.0%
OG Anunoby,26.3,NYK,Forward,324,0,61.5%,24,4.3%,68,1.2%,44,20.0%
Paolo Banchero,21.0,ORL,Big,260,43,75.5%,56,13.3%,53,2.0%,53,22.7%
Nicolas Batum,34.9,PHI,Wing,197,0,62.5%,25,4.7%,46,1.1%,0,0.0%
Bradley Beal,30.3,PHX,Combo,153,0,80.0%,50,4.9%,11,0.3%,72,33.3%
Malik Beasley,26.9,MIL,Combo,126,0,0.0%,0,0.0%,0,0.0%,89,0.0%
Patrick Beverley,35.3,MIL,Wing,209,0,91.7%,89,14.0%,75,1.8%,79,33.3%
Devin Booker,27.0,PHX,Point,165,86,95.1%,93,15.8%,100,4.8%,14,8.3%
Christian Braun,22.5,DEN,Wing,202,0,68.8%,93,14.8%,0,0.2%,50,22.2%
Jaylen Brown,27.0,BOS,Wing,706,0,66.0%,86,11.9%,96,2.8%,36,11.1%
Jalen Brunson,27.2,NYK,Point,517,29,77.5%,86,13.7%,93,4.2%,71,35.3%
Alec Burks,32.3,NYK,Wing,114,50,82.8%,100,26.8%,68,1.5%,68,26.7%
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,0,100.0%,14,2.3%,21,0.7%,0,0.0%
Wendell Carter,24.5,ORL,Big,185,0,72.7%,29,10.0%,65,2.4%,41,20.0%
Amir Coffey,26.4,LAC,Forward,102,0,0.0%,0,0.0%,20,0.5%,96,0.0%
Mike Conley,36.1,MIN,Point,472,0,71.4%,36,4.0%,36,1.7%,29,16.7%
Pat Connaughton,30.8,MIL,Wing,122,0,100.0%,21,4.0%,64,1.5%,93,100.0%
Anthony Davis,30.6,LAL,Big,248,64,80.6%,62,14.0%,71,2.4%,76,29.4%
Donte DiVincenzo,26.7,NYK,Wing,465,67,86.2%,36,5.6%,50,1.2%,71,27.3%
Luka Doncic,24.7,DAL,Point,898,14,76.8%,79,13.1%,79,3.2%,50,26.0%
Luguentz Dort,24.5,OKC,Wing,349,0,84.2%,64,8.2%,71,1.6%,39,12.5%
Kevin Durant,35.1,PHX,Big,167,79,82.4%,76,16.7%,88,3.6%,29,15.4%
Anthony Edwards,22.2,MIN,Combo,647,33,81.4%,89,12.0%,67,1.6%,28,16.3%
Joel Embiid,29.6,PHI,Big,286,93,86.4%,97,23.6%,76,2.8%,38,18.6%
Dante Exum,28.3,DAL,Wing,117,0,66.7%,32,5.3%,29,0.8%,0,0.0%
Daniel Gafford,25.1,DAL,Big,445,7,63.1%,88,21.9%,44,1.9%,26,15.2%
Darius Garland,23.8,CLE,Point,426,0,81.0%,43,4.1%,50,2.1%,64,28.6%
Paul George,33.5,LAC,Forward,222,0,84.0%,32,5.1%,100,3.5%,84,40.0%
Josh Giddey,21.1,OKC,Forward,179,0,87.5%,36,5.1%,44,0.7%,0,0.0%
Shai Gilgeous-Alexander,25.3,OKC,Point,396,43,80.8%,71,12.7%,86,3.3%,21,9.4%
Rudy Gobert,31.3,MIN,Big,510,14,67.5%,100,29.3%,68,2.4%,65,25.6%
Aaron Gordon,28.1,DEN,Big,444,71,82.1%,26,9.4%,38,1.5%,32,16.7%
Eric Gordon,34.9,PHX,Wing,116,0,87.5%,43,6.7%,93,2.8%,0,0.0%
Josh Green,23.0,DAL,Forward,378,0,70.6%,56,7.9%,24,0.5%,32,14.3%
Rui Hachimura,25.7,LAL,Forward,185,0,50.0%,76,10.2%,28,0.5%,0,0.0%
Tyrese Haliburton,23.7,IND,Point,521,0,84.2%,21,3.7%,21,1.5%,93,50.0%
Tim Hardaway Jr.,31.6,DAL,Wing,161,0,50.0%,50,7.5%,18,0.5%,57,25.0%
James Harden,34.2,LAC,Combo,241,83,90.6%,94,13.3%,100,3.3%,67,30.8%
Gary Harris,29.1,ORL,Wing,158,0,100.0%,0,0.0%,7,0.3%,96,0.0%
Tobias Harris,31.3,PHI,Forward,251,0,83.3%,20,3.2%,8,0.2%,0,0.0%
Josh Hart,28.7,NYK,Forward,547,29,72.9%,92,12.7%,84,1.5%,64,28.6%
Isaiah Hartenstein,25.5,NYK,Big,387,0,86.4%,38,10.7%,9,0.8%,0,0.0%
Sam Hauser,25.9,BOS,Forward,265,0,100.0%,8,1.3%,4,0.2%,0,0.0%
Tyler Herro,23.8,MIA,Combo,255,0,94.1%,44,4.8%,89,2.4%,33,16.7%
Haywood Highsmith,26.9,MIA,Forward,171,0,66.7%,28,4.5%,0,0.0%,88,50.0%
Jrue Holiday,33.4,BOS,Combo,718,0,95.5%,39,4.6%,28,0.8%,44,22.2%
Justin Holiday,34.6,DEN,Combo,146,0,50.0%,28,2.9%,33,1.0%,0,0.0%
Chet Holmgren,21.5,OKC,Big,343,50,75.8%,32,10.2%,62,2.4%,56,23.1%
Al Horford,37.4,BOS,Big,574,0,63.6%,3,2.9%,6,0.8%,62,25.0%
Brandon Ingram,26.2,NOP,Wing,207,0,91.7%,82,11.6%,89,2.1%,43,18.2%
Kyrie Irving,31.6,DAL,Combo,879,67,84.9%,61,6.2%,56,1.4%,56,26.9%
Jonathan Isaac,26.1,ORL,Forward,140,0,100.0%,12,2.6%,32,0.6%,0,0.0%
Isaiah Jackson,21.8,IND,Big,130,0,60.0%,94,22.5%,94,4.7%,82,33.3%
Reggie Jackson,33.5,DEN,Combo,111,0,100.0%,0,0.0%,78,1.7%,89,0.0%
LeBron James,38.8,LAL,Forward,244,71,81.8%,96,15.3%,64,1.2%,80,35.0%
Jaime Jaquez Jr.,22.7,MIA,Wing,179,0,84.6%,68,9.5%,32,0.8%,82,37.5%
Isaiah Joe,24.3,OKC,Wing,172,0,0.0%,0,0.0%,43,1.1%,96,0.0%
Nikola Jokic,28.7,DEN,Big,481,100,90.1%,59,13.4%,91,4.2%,97,45.7%
Herbert Jones,25.1,NOP,Forward,200,0,85.7%,84,10.7%,76,1.3%,36,16.7%
Derrick Jones Jr.,26.7,DAL,Forward,646,43,73.3%,64,8.3%,40,0.7%,64,28.6%
Nikola Jovic,20.4,MIA,Big,160,0,85.7%,12,6.7%,21,1.2%,82,33.3%
Maxi Kleber,31.8,DAL,Big,218,0,66.7%,0,2.6%,29,1.2%,0,0.0%
Luke Kornet,28.3,BOS,Big,119,0,83.3%,85,20.8%,41,1.5%,0,0.0%
Caris LeVert,29.2,CLE,Wing,257,0,69.6%,71,9.9%,57,1.4%,75,30.0%
Damian Lillard,33.3,MIL,Point,155,100,97.4%,100,17.9%,43,1.8%,43,17.6%
Dereck Lively II,19.7,DAL,Big,459,0,58.3%,82,18.3%,82,3.0%,79,30.0%
Brook Lopez,35.6,MIL,Big,199,0,53.3%,24,8.6%,15,1.1%,21,14.3%
Kyle Lowry,37.6,PHI,Combo,204,0,80.0%,72,9.1%,72,1.6%,50,25.0%
Terance Mann,27.0,LAC,Wing,187,0,100.0%,61,8.0%,4,0.2%,0,0.0%
Naji Marshall,25.8,NOP,Wing,104,0,100.0%,29,5.0%,14,0.4%,0,0.0%
Caleb Martin,28.1,MIA,Forward,222,0,71.4%,40,5.5%,60,1.1%,72,33.3%
Tyrese Maxey,23.0,PHI,Point,311,57,91.2%,57,6.9%,64,2.3%,86,45.5%
Miles McBride,23.1,NYK,Combo,334,0,90.0%,33,4.2%,6,0.3%,39,20.0%
CJ McCollum,32.1,NOP,Combo,212,0,100.0%,17,1.0%,17,0.4%,0,0.0%
TJ McConnell,31.6,IND,Point,339,0,86.7%,29,3.8%,57,2.2%,79,42.9%
