Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
LaMarcus Aldridge,29.3,POR,Big,208,0,34.4%,16,48%,19,21%,40,27%,16,25%,0,0%,0,33%,0,27%
Tony Allen,32.8,MEM,Wing,278,54,50.0%,37,56%,83,50%,63,43%,89,45%,0,17%,0,0%,0,14%
Al-Farouq Aminu,24.1,DAL,Forward,148,100,66.1%,100,75%,22,13%,0,0%,11,13%,0,57%,0,75%,0,64%
Alan Anderson,32.0,BKN,Wing,141,100,74.4%,91,80%,63,40%,71,44%,77,43%,0,71%,0,63%,0,67%
Giannis Antetokounmpo,19.9,MIL,Forward,200,22,36.6%,22,46%,67,27%,44,28%,56,27%,0,0%,0,0%,0,0%
Pero Antic,32.3,ATL,Big,195,21,43.0%,2,36%,0,0%,14,0%,0,0%,0,75%,29,21%,64,34%
Trevor Ariza,29.3,HOU,Forward,653,67,52.8%,56,67%,33,14%,33,18%,22,17%,50,42%,75,35%,100,38%
Leandro Barbosa,31.9,GSW,Combo,217,56,49.4%,44,50%,50,38%,56,45%,72,42%,0,43%,0,36%,67,38%
J.J. Barea,30.3,DAL,Combo,152,50,48.2%,56,56%,83,47%,61,50%,78,48%,0,0%,0,29%,0,27%
Harrison Barnes,22.4,GSW,Forward,678,44,49.2%,67,72%,78,33%,78,32%,89,32%,0,32%,100,42%,80,35%
Matt Barnes,34.6,LAC,Wing,404,29,46.0%,57,61%,0,0%,86,50%,14,29%,17,31%,20,23%,13,27%
Nicolas Batum,25.9,POR,Wing,208,14,43.6%,6,45%,37,30%,20,30%,17,30%,0,29%,40,34%,37,33%
Jerryd Bayless,26.2,MIL,Combo,108,0,35.9%,11,33%,94,60%,22,29%,50,37%,0,0%,0,50%,0,25%
Kent Bazemore,25.3,ATL,Wing,299,40,46.4%,71,65%,51,38%,0,0%,9,27%,0,18%,0,30%,3,22%
Bradley Beal,21.3,WAS,Wing,416,34,46.3%,26,51%,60,39%,46,36%,43,37%,75,42%,36,34%,57,37%
Marco Belinelli,28.6,SAS,Combo,108,100,72.1%,100,100%,0,0%,61,50%,83,50%,0,25%,100,52%,92,48%
Bojan Bogdanovic,25.5,BKN,Forward,205,33,48.3%,78,73%,44,20%,67,30%,44,27%,0,33%,50,33%,40,33%
Andrew Bogut,29.9,GSW,Big,438,74,56.0%,74,70%,26,26%,14,0%,14,24%,0,0%,0,0%,0,0%
Avery Bradley,23.9,BOS,Combo,132,22,43.0%,61,60%,11,20%,50,44%,56,38%,0,50%,0,20%,25,26%
Corey Brewer,28.7,HOU,Wing,417,49,47.9%,46,59%,49,33%,11,19%,11,28%,25,32%,0,30%,20,32%
Aaron Brooks,29.8,CHI,Point,120,20,40.9%,7,47%,27,30%,0,22%,7,26%,0,0%,60,33%,64,33%
