Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,26.0,DEN,Wing,228,63,+1.7%,67,+3.3%,90,+13.2%,50,+0.5%,85,+6.9%,63,+6.7%,32,-3.6%,39,-1.7%
Lavoy Allen,22.7,PHI,Big,234,85,+6.6%,63,+2.6%,63,+3.5%,86,+9.0%,84,+6.9%,90,+25.0%,65,+4.2%,83,+8.1%
Ray Allen,36.3,BOS,Wing,610,61,+1.7%,70,+3.8%,32,-4.9%,43,-0.8%,29,-2.4%,71,+9.4%,41,-2.2%,52,+1.5%
Tony Allen,29.8,MEM,Wing,170,92,+9.1%,68,+3.4%,75,+7.1%,57,+1.5%,75,+4.3%,20,-13.3%,100,+33.3%,98,+20.7%
Ryan Anderson,23.5,ORL,Big,172,75,+4.7%,14,-7.3%,13,-9.6%,51,+0.6%,34,-2.0%,93,+33.3%,87,+14.4%,93,+15.7%
Carmelo Anthony,27.4,NYK,Forward,203,96,+10.7%,100,+35.3%,0,-38.1%,99,+26.8%,64,+2.3%,83,+16.7%,6,-17.2%,16,-7.6%
Joel Anthony,29.2,MIA,Big,319,24,-2.8%,6,-10.3%,52,+0.3%,84,+7.7%,74,+4.2%,59,+5.5%,29,-4.0%,41,-0.9%
Omer Asik,25.3,CHI,Big,128,34,-1.9%,72,+4.0%,4,-16.8%,41,-1.5%,12,-6.4%,78,+15.0%,62,+3.8%,74,+6.1%
Leandro Barbosa,28.9,IND,Wing,214,7,-6.5%,21,-4.4%,71,+6.0%,56,+1.4%,66,+3.0%,31,-7.7%,2,-25.7%,2,-20.0%
Matt Barnes,31.6,LAL,Wing,173,40,-1.2%,54,+1.2%,24,-7.2%,37,-2.6%,20,-4.8%,47,+1.0%,43,-1.5%,49,+0.5%
Brandon Bass,26.5,BOS,Big,603,24,-2.9%,33,-1.7%,89,+11.5%,25,-4.6%,60,+1.6%,41,-2.6%,16,-10.2%,15,-7.7%
Shane Battier,33.1,MIA,Wing,761,59,+1.3%,28,-2.7%,40,-2.0%,83,+7.4%,65,+2.8%,34,-5.4%,37,-2.8%,28,-3.9%
Mike Bibby,33.5,NYK,Point,108,43,-0.8%,11,-7.6%,28,-6.1%,77,+5.8%,48,+0.3%,89,+24.8%,28,-5.0%,72,+5.7%
Steve Blake,31.7,LAL,Point,298,20,-4.0%,8,-8.2%,19,-8.6%,42,-0.9%,20,-4.8%,33,-6.1%,81,+12.0%,75,+6.2%
Eric Bledsoe,21.9,LAC,Combo,184,98,+12.4%,95,+12.5%,15,-9.0%,95,+19.0%,79,+6.2%,51,+2.5%,79,+10.8%,85,+8.7%
Matt Bonner,31.6,SAS,Big,156,28,-2.6%,39,-0.8%,2,-19.3%,80,+7.0%,7,-8.0%,24,-11.2%,28,-4.8%,18,-7.2%
Carlos Boozer,29.9,CHI,Big,200,76,+4.8%,59,+2.2%,68,+5.3%,93,+12.0%,93,+9.8%,97,+44.4%,9,-13.0%,30,-3.7%
Chris Bosh,27.6,MIA,Big,438,46,-0.6%,66,+3.0%,41,-1.9%,33,-3.2%,27,-2.6%,54,+4.4%,25,-6.0%,37,-2.4%
