Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Arron Afflalo,22.0,DET,Wing,755,60,+1.1,+3,40,-2.0,14,-3.4%,47,+0.2%,69,+1.5%,90,+4.5,78,-3.2,86,-2.2%,11,-1.7%,95,-3.9%,14,+4.9
Blake Ahearn,23.4,MIA,Point,156,1,-16.9,-14,3,-12.4,1,-9.3%,3,+3.5%,75,+1.8%,100,+14.9,13,+4.5,96,-4.8%,11,-1.7%,2,+5.8%,18,+4.3
LaMarcus Aldridge,22.3,POR,Big,2637,76,+4.3,+11,82,+4.1,74,+1.2%,88,-1.8%,65,+1.0%,17,-3.3,50,-0.1,27,+1.1%,29,-0.7%,97,-4.5%,61,-0.7
Malik Allen,29.3,NJN,Big,719,43,-1.8,-4,52,-0.3,62,+0.5%,71,-0.8%,47,-0.2%,5,-6.7,33,+1.5,19,+1.6%,29,-0.7%,70,-1.4%,78,-2.6
Malik Allen,29.3,DAL,Big,313,84,+5.5,+11,62,+0.7,52,-0.1%,35,+0.8%,75,+1.9%,32,-1.7,87,-4.8,78,-1.7%,91,+2.2%,49,+0.3%,23,+3.6
Ray Allen,32.3,BOS,Wing,2609,64,+1.7,+1,94,+7.3,97,+4.5%,95,-2.5%,16,-2.5%,15,-3.9,8,+5.6,20,+1.6%,4,-2.3%,56,-0.2%,47,+0.7
Tony Allen,25.8,BOS,Wing,1239,50,-0.6,-0,26,-4.3,28,-1.8%,6,+2.6%,79,+2.1%,87,+4.1,82,-3.7,70,-1.1%,88,+1.9%,28,+1.7%,37,+1.5
Rafer Alston,31.3,HOU,Point,2520,75,+4.0,+10,77,+3.2,65,+0.8%,74,-0.9%,49,-0.0%,65,+1.3,58,-0.8,49,-0.0%,23,-1.0%,60,-0.6%,78,-2.7
Derek Anderson,33.3,CHA,Wing,336,7,-10.9,-22,5,-10.8,4,-6.1%,35,+0.7%,50,-0.0%,83,+3.5,46,+0.1,58,-0.5%,79,+1.3%,40,+0.8%,13,+5.2
Carmelo Anthony,23.4,DEN,Forward,2791,26,-4.7,-11,67,+1.4,69,+1.0%,38,+0.6%,78,+2.0%,27,-2.1,7,+6.1,8,+2.9%,22,-1.1%,48,+0.3%,47,+0.6
Joel Anthony,25.2,MIA,Big,461,19,-6.5,-10,30,-3.5,17,-2.9%,43,+0.3%,80,+2.2%,57,+0.4,21,+3.0,75,-1.5%,50,+0.1%,2,+7.0%,28,+2.7
Gilbert Arenas,25.8,WAS,Combo,423,48,-0.8,-2,28,-3.9,24,-2.3%,12,+2.0%,52,+0.2%,93,+5.5,77,-3.2,80,-1.8%,52,+0.1%,70,-1.4%,25,+3.0
Trevor Ariza,22.3,LAL,Wing,385,18,-6.7,-15,13,-7.1,29,-1.7%,18,+1.6%,32,-1.3%,39,-1.0,53,-0.3,24,+1.2%,70,+0.8%,24,+2.0%,71,-1.8
Darrell Armstrong,39.4,NJN,Combo,505,44,-1.6,-4,26,-4.3,65,+0.8%,8,+2.4%,14,-2.8%,52,-0.1,75,-2.7,72,-1.2%,73,+1.0%,18,+2.6%,74,-2.1
Hilton Armstrong,22.9,NOH,Big,663,9,-10.1,-25,12,-7.2,18,-2.8%,6,+2.6%,84,+2.5%,49,-0.3,22,+2.9,26,+1.1%,94,+2.8%,40,+0.8%,6,+7.6
Carlos Arroyo,28.3,ORL,Point,1216,52,-0.2,-1,80,+3.6,47,-0.4%,71,-0.8%,61,+0.7%,84,+3.5,16,+3.8,15,+1.9%,50,+0.1%,18,+2.5%,84,-3.8
Chucky Atkins,33.2,DEN,Combo,293,22,-5.5,-14,16,-6.1,5,-5.2%,71,-0.8%,13,-2.9%,93,+5.2,57,-0.6,63,-0.7%,6,-2.2%,91,-3.3%,54,+0.0
James Augustine,23.7,ORL,Big,106,6,-11.2,-29,7,-9.3,0,-9.9%,35,+0.8%,99,+7.6%,100,+12.4,30,+1.8,10,+2.5%,95,+2.9%,100,-10.7%,0,+15.5
Kelenna Azubuike,23.9,GSW,Wing,1680,34,-3.0,-8,38,-2.4,22,-2.4%,59,-0.4%,66,+1.1%,79,+2.8,41,+0.6,39,+0.5%,48,+0.0%,36,+1.1%,35,+1.6
Renaldo Balkman,23.3,NYK,Forward,895,78,+4.6,+10,71,+2.1,63,+0.5%,30,+1.0%,91,+3.8%,33,-1.6,74,-2.5,94,-3.7%,82,+1.4%,9,+3.8%,8,+6.9
Marcus Banks,25.9,PHX,Combo,240,0,-18.5,-44,4,-11.9,5,-5.4%,43,+0.4%,8,-3.6%,63,+1.0,6,+6.6,22,+1.3%,18,-1.4%,1,+7.1%,86,-4.0
Marcus Banks,25.9,MIA,Combo,239,90,+7.5,+15,95,+7.5,97,+4.6%,85,-1.5%,7,-3.9%,94,+5.6,47,+0.0,9,+2.7%,83,+1.6%,94,-3.7%,49,+0.6
Leandro Barbosa,24.9,PHX,Combo,2347,14,-8.1,-17,44,-1.5,36,-1.3%,60,-0.4%,31,-1.3%,43,-0.7,6,+6.6,10,+2.5%,38,-0.3%,30,+1.6%,29,+2.4
J.J. Barea,23.3,DAL,Point,414,78,+4.5,+10,51,-0.5,24,-2.2%,82,-1.3%,56,+0.4%,42,-0.8,89,-5.1,60,-0.6%,43,-0.1%,96,-4.4%,53,+0.2
Andrea Bargnani,22.0,TOR,Big,1827,57,+0.7,+2,69,+1.8,60,+0.4%,85,-1.5%,28,-1.5%,24,-2.4,36,+1.1,20,+1.5%,42,-0.2%,48,+0.3%,82,-3.4
