Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,23.3,OKC,Big,156,86,+12.2,49,+0.9,97,+9.5%,97,-6.4%,96,+13.9,88,+5.5,91,+50.2
LaMarcus Aldridge,31.3,SAS,Big,535,7,-18.2,12,-13.3,48,+0.3%,28,+1.9%,25,-6.0,23,-4.7,50,-0.1
Al-Farouq Aminu,26.1,POR,Big,111,70,+5.7,85,+9.8,64,+2.8%,50,-0.1%,76,+5.4,78,+4.5,53,+1.8
Kyle Anderson,23.1,SAS,Wing,150,34,-4.8,41,-1.6,29,-4.2%,37,+1.3%,33,-3.7,19,-5.2,66,+13.6
Ryan Anderson,28.5,HOU,Big,328,30,-6.0,23,-8.7,82,+5.1%,41,+0.8%,50,+0.2,63,+2.2,34,-19.7
Giannis Antetokounmpo,21.9,MIL,Forward,242,53,+1.9,50,+1.0,95,+9.2%,64,-1.8%,46,-1.0,69,+2.9,32,-23.4
Trevor Ariza,31.3,HOU,Forward,412,11,-15.8,2,-17.0,54,+0.8%,45,+0.5%,8,-10.5,48,-0.6,6,-62.1
Kent Bazemore,27.3,ATL,Wing,149,82,+10.9,92,+13.8,50,+0.5%,61,-1.6%,62,+1.9,50,-0.2,65,+12.5
Bradley Beal,23.3,WAS,Wing,464,90,+14.0,95,+19.3,51,+0.7%,63,-1.8%,33,-3.9,71,+3.4,13,-46.7
Patrick Beverley,28.3,HOU,Point,323,57,+2.3,24,-8.2,84,+5.7%,83,-3.6%,71,+4.5,66,+2.6,59,+7.5
Bojan Bogdanovic,27.5,WAS,Forward,230,23,-9.1,21,-9.6,26,-5.2%,6,+5.3%,54,+0.7,11,-6.4,89,+46.8
Avery Bradley,25.9,BOS,Combo,604,42,-1.6,72,+6.8,46,-0.5%,34,+1.3%,60,+1.6,81,+4.7,30,-23.9
Malcolm Brogdon,23.9,MIL,Combo,177,24,-7.7,44,-0.4,13,-7.1%,40,+1.1%,2,-13.1,15,-5.4,8,-56.7
Jaylen Brown,20.0,BOS,Wing,168,52,+1.5,42,-1.5,67,+3.2%,44,+0.6%,24,-6.4,49,-0.3,17,-42.8
Jimmy Butler,27.1,CHI,Wing,238,71,+5.7,41,-2.9,100,+15.8%,99,-8.2%,93,+12.7,100,+15.4,12,-47.9
Clint Capela,22.5,HOU,Big,285,25,-7.4,18,-11.3,86,+7.0%,89,-4.5%,70,+4.3,83,+4.9,37,-17.4
DeMarre Carroll,30.3,TOR,Forward,149,47,-0.5,46,+0.6,24,-5.4%,73,-2.9%,48,-0.5,52,-0.1,46,-3.9
Vince Carter,39.8,MEM,Wing,194,35,-4.5,30,-6.3,57,+1.5%,42,+0.8%,59,+1.5,91,+6.8,2,-69.0
Ian Clark,25.7,GSW,Combo,174,4,-18.5,10,-13.9,24,-5.4%,21,+2.9%,9,-10.2,3,-8.5,46,-1.8
Mike Conley,29.1,MEM,Point,222,81,+10.8,27,-7.2,99,+11.6%,89,-4.9%,94,+12.8,93,+7.2,99,+100.0
Jamal Crawford,36.6,LAC,Wing,162,98,+23.9,93,+14.2,71,+3.7%,8,+4.5%,90,+9.2,76,+4.3,81,+35.8
Jae Crowder,26.3,BOS,Forward,557,28,-6.3,63,+3.3,34,-2.9%,76,-3.1%,35,-3.2,68,+2.9,15,-45.7
Stephen Curry,28.6,GSW,Point,598,100,+27.7,100,+25.1,72,+4.1%,80,-3.4%,87,+8.6,98,+8.8,36,-17.4
DeMar DeRozan,27.2,TOR,Wing,372,51,+1.5,26,-7.5,74,+4.3%,75,-2.9%,50,+0.0,67,+2.8,24,-31.0
Matthew Dellavedova,26.1,MIL,Point,156,41,-2.3,28,-6.4,76,+4.6%,10,+4.3%,68,+3.8,37,-2.0,76,+30.9
Boris Diaw,34.5,UTA,Big,184,59,+2.9,71,+6.4,39,-1.9%,19,+3.0%,49,-0.2,34,-2.5,74,+28.3
Kevin Durant,28.1,GSW,Forward,529,91,+14.5,87,+11.7,61,+2.4%,43,+0.7%,97,+14.2,95,+7.5,87,+43.8
James Ennis,26.3,MEM,Forward,158,7,-18.3,2,-16.9,80,+5.0%,54,-0.8%,44,-1.5,72,+3.7,11,-48.5
Derrick Favors,25.3,UTA,Big,194,41,-2.1,77,+8.5,43,-1.3%,47,+0.3%,27,-5.5,18,-5.3,69,+16.7
Raymond Felton,32.4,LAC,Combo,102,37,-3.8,55,+1.6,6,-9.0%,2,+5.6%,85,+7.5,37,-1.7,96,+71.1
Channing Frye,33.5,CLE,Big,111,87,+12.7,98,+19.9,1,-11.9%,2,+5.8%,24,-6.4,6,-7.6,72,+22.9
Marc Gasol,31.8,MEM,Big,238,85,+12.1,91,+13.5,11,-7.2%,87,-4.4%,41,-2.3,59,+1.5,20,-39.3
Pau Gasol,36.3,SAS,Big,364,77,+8.5,54,+1.6,41,-1.6%,48,+0.2%,89,+9.0,59,+1.4,80,+33.3
Paul George,26.5,IND,Forward,171,1,-25.0,7,-14.9,5,-9.2%,0,+6.8%,0,-42.5,4,-8.4,0,-145.0
Taj Gibson,31.4,OKC,Big,118,97,+18.6,96,+19.4,77,+4.7%,46,+0.5%,100,+17.8,63,+2.3,98,+95.2
Manu Ginobili,39.3,SAS,Wing,282,46,-0.8,38,-3.9,35,-2.6%,24,+2.3%,36,-2.8,30,-3.0,54,+3.8
Rudy Gobert,24.4,UTA,Big,231,22,-9.2,8,-14.6,60,+2.0%,49,+0.1%,65,+3.2,73,+3.8,39,-16.9
Eric Gordon,27.9,HOU,Wing,355,96,+17.8,99,+24.5,7,-8.3%,37,+1.2%,84,+7.2,46,-0.9,92,+52.4
