Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Arron Afflalo,24.0,DEN,Wing,118,11,+6.0%,72,-3.4%,13,+4.4%,67,-2.0%,36,+2.4%,48,+0.0%,42,+1.1%,41,+1.1%
LaMarcus Aldridge,24.3,POR,Big,225,91,-6.2%,95,-11.0%,2,+10.0%,42,+1.2%,6,+11.1%,80,-2.1%,33,+2.0%,49,-0.1%
Ray Allen,34.3,BOS,Wing,922,37,+1.9%,76,-3.9%,12,+4.5%,35,+2.7%,14,+7.2%,66,-1.2%,71,-2.1%,71,-3.3%
Tony Allen,27.8,BOS,Wing,379,74,-2.8%,47,+0.1%,80,-2.9%,57,-0.7%,76,-3.6%,14,+2.1%,39,+1.3%,24,+3.5%
Lou Amundson,26.9,PHX,Big,172,82,-3.6%,49,-0.1%,27,+2.3%,71,-3.0%,59,-0.7%,62,-0.9%,38,+1.6%,44,+0.7%
Chris Andersen,31.3,DEN,Big,115,86,-4.3%,38,+1.6%,13,+4.5%,79,-3.9%,47,+0.5%,42,+0.3%,74,-2.4%,63,-2.1%
Carmelo Anthony,25.4,DEN,Wing,252,95,-9.8%,45,+0.6%,100,-9.7%,50,+0.2%,97,-9.5%,10,+2.6%,5,+6.3%,7,+8.9%
Carlos Arroyo,30.3,MIA,Point,110,12,+5.6%,8,+6.9%,29,+1.7%,82,-4.3%,69,-2.6%,7,+2.9%,96,-7.2%,81,-4.3%
Leandro Barbosa,26.9,PHX,Wing,227,87,-4.5%,63,-2.1%,44,+0.8%,56,-0.7%,53,+0.1%,65,-1.0%,25,+3.0%,33,+2.0%
Matt Barnes,29.6,ORL,Wing,325,10,+6.2%,66,-2.4%,92,-5.1%,14,+6.4%,44,+1.3%,66,-1.1%,28,+2.3%,40,+1.2%
Nicolas Batum,20.9,POR,Wing,138,84,-4.0%,90,-8.2%,3,+8.7%,17,+6.0%,0,+14.7%,95,-4.7%,66,-1.8%,90,-6.5%
Jerryd Bayless,21.2,POR,Combo,156,94,-8.1%,70,-2.9%,43,+0.8%,82,-4.3%,75,-3.5%,13,+2.2%,16,+4.2%,10,+6.4%
Michael Beasley,20.8,MIA,Forward,131,35,+2.2%,8,+6.7%,37,+1.1%,76,-3.4%,67,-2.3%,96,-5.4%,43,+1.0%,82,-4.4%
Mike Bibby,31.5,ATL,Point,291,71,-2.2%,18,+4.7%,74,-1.8%,16,+6.2%,21,+4.4%,94,-4.2%,90,-4.9%,97,-9.1%
Chauncey Billups,33.1,DEN,Combo,206,43,+1.2%,53,-0.7%,93,-5.6%,71,-2.9%,96,-8.5%,4,+3.5%,7,+5.7%,6,+9.2%
Matt Bonner,29.6,SAS,Big,169,63,-0.8%,18,+4.8%,25,+2.5%,89,-6.2%,78,-3.7%,89,-3.1%,32,+2.0%,55,-1.1%
Carlos Boozer,27.9,UTA,Big,400,3,+10.5%,6,+7.3%,78,-2.6%,88,-5.5%,93,-8.1%,54,-0.2%,44,+1.0%,43,+0.8%
Shannon Brown,23.9,LAL,Combo,296,38,+1.8%,41,+1.3%,66,-1.0%,63,-1.6%,70,-2.6%,73,-1.5%,26,+2.8%,39,+1.2%
Kobe Bryant,31.2,LAL,Wing,921,25,+3.9%,36,+1.6%,30,+1.7%,49,+0.3%,40,+2.0%,36,+0.5%,85,-4.1%,74,-3.6%
Caron Butler,29.6,DAL,Wing,195,67,-1.2%,21,+4.4%,90,-4.8%,27,+4.1%,57,-0.6%,97,-5.9%,31,+2.1%,76,-3.7%
Andrew Bynum,22.0,LAL,Big,546,45,+1.1%,48,+0.0%,34,+1.2%,34,+3.0%,24,+4.2%,47,+0.0%,86,-4.2%,80,-4.2%
Marcus Camby,35.6,POR,Big,177,62,-0.7%,93,-9.6%,21,+2.7%,3,+11.9%,1,+14.6%,26,+1.2%,93,-6.2%,85,-5.0%
Vince Carter,32.8,ORL,Wing,477,52,+0.4%,75,-3.8%,40,+0.9%,20,+4.6%,18,+5.4%,56,-0.5%,61,-1.1%,58,-1.6%
Mario Chalmers,23.5,MIA,Combo,130,97,-10.9%,92,-9.2%,28,+2.2%,9,+8.0%,8,+10.2%,90,-3.1%,30,+2.1%,53,-1.0%
Jarron Collins,30.9,PHX,Big,112,24,+4.1%,37,+1.6%,89,-4.2%,2,+12.0%,13,+7.7%,88,-3.0%,94,-6.4%,97,-9.4%
Nick Collison,29.0,OKC,Big,121,80,-3.3%,96,-12.0%,86,-3.9%,32,+3.0%,61,-0.9%,6,+2.9%,3,+10.1%,0,+13.0%
Jamal Crawford,29.6,ATL,Combo,323,77,-3.1%,34,+2.2%,36,+1.1%,87,-5.5%,83,-4.4%,20,+1.7%,48,+0.4%,29,+2.2%
Erick Dampier,34.3,DAL,Big,118,32,+2.6%,26,+3.6%,42,+0.8%,62,-1.6%,60,-0.7%,87,-2.6%,55,-0.2%,67,-2.8%
Glen Davis,23.8,BOS,Big,467,39,+1.6%,68,-2.6%,34,+1.3%,60,-1.2%,52,+0.1%,61,-0.9%,23,+3.4%,28,+2.5%
Carlos Delfino,27.2,MIL,Wing,224,3,+9.1%,35,+1.8%,51,-0.1%,48,+0.4%,50,+0.3%,91,-3.2%,41,+1.1%,62,-2.1%
Luol Deng,24.5,CHI,Forward,201,8,+6.7%,80,-5.3%,26,+2.3%,93,-8.2%,88,-5.8%,0,+7.1%,17,+4.0%,2,+11.1%
Boris Diaw,27.5,CHA,Big,151,93,-8.0%,2,+14.9%,91,-4.8%,24,+4.3%,55,-0.5%,100,-13.9%,56,-0.5%,98,-14.4%
Goran Dragic,23.5,PHX,Combo,214,53,+0.4%,43,+1.3%,57,-0.5%,86,-5.0%,87,-5.5%,39,+0.3%,18,+3.9%,18,+4.2%
Jared Dudley,24.3,PHX,Wing,364,73,-2.5%,65,-2.3%,70,-1.6%,74,-3.1%,85,-4.7%,18,+1.8%,10,+5.2%,9,+7.0%
Tim Duncan,33.5,SAS,Big,371,60,-0.2%,98,-13.9%,23,+2.7%,10,+7.9%,8,+10.5%,67,-1.2%,14,+4.5%,25,+3.3%
Kevin Durant,21.1,OKC,Wing,230,39,+1.6%,39,+1.4%,10,+5.1%,73,-3.0%,38,+2.1%,34,+0.6%,83,-4.1%,73,-3.5%
Maurice Evans,31.0,ATL,Wing,126,9,+6.4%,64,-2.2%,65,-0.9%,54,-0.3%,61,-1.2%,32,+0.8%,27,+2.6%,24,+3.4%
Jordan Farmar,22.9,LAL,Point,270,68,-1.5%,56,-1.1%,77,-2.2%,58,-0.9%,71,-3.1%,68,-1.3%,8,+5.4%,19,+4.2%
Raymond Felton,25.3,CHA,Point,129,4,+8.9%,0,+15.7%,45,+0.6%,55,-0.4%,51,+0.1%,79,-2.0%,100,-13.9%,100,-15.9%
Rudy Fernandez,24.6,POR,Wing,108,24,+3.9%,4,+8.4%,73,-1.8%,51,-0.0%,65,-1.8%,97,-5.8%,57,-0.8%,91,-6.5%
Kyrylo Fesenko,22.9,UTA,Big,177,89,-5.1%,51,-0.5%,46,+0.5%,33,+3.0%,29,+3.5%,45,+0.1%,78,-3.1%,70,-3.0%
Derek Fisher,35.2,LAL,Point,749,46,+0.8%,32,+2.3%,35,+1.2%,66,-1.7%,55,-0.5%,40,+0.3%,69,-2.1%,61,-1.8%
Channing Frye,26.5,PHX,Big,426,88,-4.5%,77,-4.3%,11,+5.0%,65,-1.6%,30,+3.4%,34,+0.7%,51,+0.2%,42,+0.9%
Kevin Garnett,33.5,BOS,Big,763,36,+2.0%,14,+5.9%,55,-0.3%,61,-1.6%,66,-1.9%,57,-0.5%,79,-3.5%,78,-4.0%
Pau Gasol,29.3,LAL,Big,910,83,-4.0%,24,+3.9%,50,+0.1%,81,-4.2%,80,-4.0%,19,+1.8%,64,-1.7%,47,+0.1%
Taj Gibson,24.4,CHI,Big,143,97,-11.2%,33,+2.3%,97,-7.4%,83,-4.8%,99,-12.3%,1,+6.3%,19,+3.7%,3,+10.0%
Manu Ginobili,32.3,SAS,Wing,351,66,-1.1%,73,-3.6%,66,-1.0%,19,+5.0%,25,+3.9%,55,-0.5%,53,+0.1%,51,-0.3%
Marcin Gortat,25.7,ORL,Big,190,61,-0.4%,13,+6.1%,49,+0.2%,92,-7.7%,92,-7.5%,33,+0.7%,46,+0.8%,37,+1.5%
Jeff Green,23.2,OKC,Forward,216,7,+7.5%,3,+12.7%,22,+2.7%,91,-6.8%,81,-4.1%,11,+2.4%,98,-11.1%,94,-8.6%
Udonis Haslem,29.4,MIA,Big,141,34,+2.4%,99,-14.0%,87,-4.1%,7,+8.6%,19,+4.6%,2,+6.1%,24,+3.3%,5,+9.4%
Brendan Haywood,29.9,DAL,Big,133,72,-2.3%,81,-5.3%,67,-1.1%,23,+4.4%,31,+3.3%,28,+1.2%,45,+0.9%,32,+2.0%
Nene Hilario,27.1,DEN,Big,168,15,+4.8%,69,-2.8%,82,-3.3%,22,+4.4%,45,+1.2%,9,+2.6%,59,-1.0%,35,+1.6%
George Hill,23.5,SAS,Combo,343,18,+4.7%,58,-1.4%,62,-0.8%,70,-2.4%,72,-3.2%,61,-0.8%,9,+5.4%,15,+4.6%
Grant Hill,37.1,PHX,Wing,449,45,+1.0%,28,+2.8%,58,-0.6%,41,+1.4%,46,+0.8%,71,-1.5%,71,-2.2%,75,-3.7%
Kirk Hinrich,28.8,CHI,Combo,195,85,-4.3%,9,+6.3%,14,+4.0%,99,-11.5%,92,-7.6%,37,+0.4%,45,+0.9%,39,+1.3%
Al Horford,23.4,ATL,Big,386,87,-4.4%,55,-0.9%,39,+0.9%,87,-5.3%,82,-4.4%,23,+1.6%,20,+3.7%,12,+5.3%
Dwight Howard,23.9,ORL,Big,494,34,+2.3%,88,-7.8%,53,-0.2%,11,+7.8%,13,+7.6%,46,+0.0%,52,+0.2%,46,+0.2%
Serge Ibaka,20.1,OKC,Big,132,90,-5.4%,85,-6.4%,98,-7.8%,24,+4.4%,74,-3.4%,74,-1.7%,1,+11.5%,3,+9.9%
Ersan Ilyasova,22.5,MIL,Big,150,70,-1.8%,20,+4.5%,92,-5.2%,75,-3.2%,94,-8.4%,18,+2.0%,34,+1.9%,22,+3.8%
Stephen Jackson,31.6,CHA,Wing,155,29,+3.1%,1,+15.3%,24,+2.6%,97,-9.0%,89,-6.3%,50,-0.2%,97,-8.8%,96,-9.0%
LeBron James,24.8,CLE,Forward,459,82,-3.9%,97,-12.3%,3,+7.9%,21,+4.5%,3,+12.5%,16,+2.1%,73,-2.3%,50,-0.2%
Antawn Jamison,33.4,CLE,Forward,373,69,-1.6%,92,-9.0%,38,+1.0%,1,+12.1%,2,+13.1%,24,+1.4%,91,-5.5%,79,-4.0%
Richard Jefferson,29.4,SAS,Forward,331,64,-0.9%,82,-5.5%,45,+0.6%,8,+8.1%,12,+8.7%,22,+1.6%,88,-4.8%,71,-3.2%
Brandon Jennings,20.1,MIL,Combo,248,6,+7.6%,61,-1.5%,6,+7.3%,69,-2.3%,18,+5.0%,82,-2.2%,62,-1.3%,72,-3.4%
Joe Johnson,28.3,ATL,Wing,440,98,-11.2%,82,-5.5%,76,-2.1%,44,+0.6%,63,-1.6%,17,+2.0%,11,+5.0%,8,+7.0%
Jason Kidd,36.6,DAL,Point,243,100,-11.9%,97,-12.8%,61,-0.8%,0,+12.1%,5,+11.3%,3,+5.1%,80,-3.6%,36,+1.5%
Kyle Korver,28.6,UTA,Wing,209,22,+4.4%,83,-5.5%,20,+2.9%,45,+0.6%,29,+3.5%,38,+0.3%,36,+1.7%,31,+2.1%
Nenad Krstic,26.3,OKC,Big,129,19,+4.5%,3,+10.5%,7,+6.1%,64,-1.6%,20,+4.5%,75,-1.7%,99,-13.3%,99,-15.0%
Ty Lawson,22.0,DEN,Combo,115,76,-3.0%,74,-3.7%,8,+6.0%,34,+2.9%,11,+9.0%,86,-2.6%,76,-2.7%,86,-5.3%
Rashard Lewis,30.2,ORL,Big,511,79,-3.2%,71,-3.0%,82,-3.2%,15,+6.3%,33,+3.1%,69,-1.4%,40,+1.3%,50,-0.1%
Robin Lopez,21.6,PHX,Big,100,5,+7.7%,40,+1.4%,69,-1.6%,77,-3.8%,87,-5.4%,15,+2.1%,34,+1.9%,20,+4.0%
Shawn Marion,31.5,DAL,Forward,148,92,-7.1%,62,-2.1%,24,+2.5%,39,+1.8%,23,+4.3%,78,-2.0%,55,-0.3%,64,-2.3%
Kenyon Martin,31.8,DEN,Big,204,18,+4.7%,71,-3.2%,87,-4.1%,13,+6.7%,34,+2.6%,44,+0.2%,49,+0.4%,45,+0.6%
