Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Jeff Adrien,24.7,GSW,Big,159,0,80.0%,8,6.1%,17,0.8%,90,33.3%
Arron Afflalo,25.0,DEN,Wing,2270,77,83.6%,57,9.3%,32,0.8%,26,16.4%
Alexis Ajinca,22.5,TOR,Big,240,0,73.3%,19,8.2%,35,1.1%,15,12.5%
Cole Aldrich,22.0,OKC,Big,101,0,0.0%,0,0.0%,2,0.5%,99,0.0%
LaMarcus Aldridge,25.3,POR,Big,3202,84,79.1%,47,12.6%,91,2.7%,55,23.4%
Malik Allen,32.3,ORL,Big,159,0,50.0%,0,0.0%,21,0.9%,99,0.0%
Ray Allen,35.3,BOS,Wing,2883,92,88.1%,21,5.8%,73,1.5%,81,28.8%
Tony Allen,28.8,MEM,Combo,1474,22,75.3%,94,15.6%,20,1.2%,45,20.9%
Al-Farouq Aminu,20.1,LAC,Wing,1391,46,77.1%,76,12.2%,36,0.9%,54,22.6%
Lou Amundson,27.9,GSW,Big,664,2,41.3%,73,17.4%,68,1.8%,53,22.9%
Chris Andersen,32.3,DEN,Big,708,31,63.5%,97,28.5%,98,3.3%,65,25.5%
David Andersen,30.4,NOP,Big,191,0,66.7%,14,7.2%,41,1.2%,33,20.0%
David Andersen,30.4,TOR,Big,140,0,100.0%,10,6.4%,6,0.6%,90,33.3%
James Anderson,21.6,SAS,Wing,268,0,75.0%,52,9.0%,0,0.0%,79,28.6%
Ryan Anderson,22.5,ORL,Big,1342,88,80.4%,23,9.0%,10,0.7%,27,17.0%
Carmelo Anthony,26.4,DEN,Forward,1762,78,82.3%,86,16.8%,92,2.3%,55,21.9%
Carmelo Anthony,26.4,NYK,Wing,975,90,87.2%,87,14.6%,93,2.1%,83,29.9%
Joel Anthony,28.2,MIA,Big,1410,30,63.2%,70,17.0%,35,1.1%,0,0.0%
Gilbert Arenas,28.8,ORL,Combo,1027,12,72.8%,41,9.1%,41,1.5%,51,21.6%
Gilbert Arenas,28.8,WAS,Combo,708,59,83.1%,29,7.8%,82,2.1%,31,18.5%
Trevor Ariza,25.3,NOP,Wing,2589,20,70.1%,74,11.8%,31,0.8%,51,22.4%
Hilton Armstrong,25.9,WAS,Big,398,0,60.9%,42,12.3%,69,1.8%,97,37.5%
Carlos Arroyo,31.3,BOS,Combo,170,0,91.7%,78,13.5%,55,1.6%,0,0.0%
Carlos Arroyo,31.3,MIA,Point,962,46,81.8%,12,3.0%,24,1.1%,84,28.6%
Darrell Arthur,22.6,MEM,Big,1573,94,83.5%,23,9.0%,27,1.0%,57,23.7%
Omer Asik,24.3,CHI,Big,926,7,50.0%,100,32.6%,47,1.4%,12,10.2%
D.J. Augustin,23.0,CHA,Point,2739,91,90.5%,67,9.2%,74,2.2%,78,26.9%
Luke Babbitt,21.4,POR,Forward,107,0,40.0%,14,4.9%,75,1.6%,96,50.0%
Leandro Barbosa,27.9,TOR,Combo,1348,41,80.8%,37,8.8%,31,1.3%,61,22.4%
J.J. Barea,26.3,DAL,Combo,1593,66,84.3%,67,11.4%,57,1.6%,80,29.9%
Andrea Bargnani,25.0,TOR,Big,2344,92,82.0%,50,13.1%,78,2.0%,60,24.9%
Matt Barnes,30.6,LAL,Wing,983,49,77.6%,79,12.8%,61,1.2%,82,29.7%
Earl Barron,29.2,PHX,Big,170,0,61.1%,56,14.5%,45,1.3%,61,25.0%
Brandon Bass,25.5,ORL,Big,1956,90,81.4%,63,15.7%,29,1.0%,35,20.2%
Tony Battie,34.7,PHI,Big,361,0,57.1%,9,6.3%,13,0.8%,90,33.3%
Shane Battier,32.1,HOU,Wing,1808,5,64.5%,33,6.8%,66,1.4%,45,20.7%
Shane Battier,32.1,MEM,Forward,531,0,88.2%,12,4.9%,80,1.8%,0,0.0%
Nicolas Batum,21.9,POR,Forward,2500,90,84.5%,33,7.5%,76,1.7%,84,28.6%
Jerryd Bayless,22.2,NOP,Point,142,0,76.5%,97,16.7%,52,1.7%,97,44.4%
Jerryd Bayless,22.2,TOR,Combo,1289,44,81.0%,90,15.3%,80,2.1%,55,21.8%
Michael Beasley,21.8,MIN,Forward,2350,37,75.3%,55,11.0%,45,1.1%,86,29.1%
Rodrigue Beaubois,22.7,DAL,Wing,481,42,76.7%,26,6.2%,89,1.9%,79,28.6%
Marco Belinelli,24.6,NOP,Wing,1922,52,78.0%,31,6.5%,79,1.5%,36,19.1%
Charlie Bell,31.6,GSW,Wing,123,0,50.0%,0,0.0%,50,1.1%,100,0.0%
Raja Bell,34.1,UTA,Wing,2080,94,88.8%,15,5.0%,69,1.4%,0,0.0%
Mike Bibby,32.5,ATL,Point,1670,2,63.0%,14,3.1%,21,1.1%,95,35.7%
Mike Bibby,32.5,MIA,Point,556,0,57.1%,9,2.4%,10,0.8%,91,33.3%
Andris Biedrins,24.6,GSW,Big,1390,0,32.3%,4,4.7%,33,1.1%,84,30.8%
Chauncey Billups,34.1,DEN,Combo,1641,98,92.3%,82,14.6%,88,2.3%,14,14.6%
Chauncey Billups,34.1,NYK,Combo,662,95,90.2%,88,15.1%,90,2.3%,4,11.1%
DeJuan Blair,21.5,SAS,Big,1639,33,64.5%,33,10.8%,28,1.0%,67,26.2%
Steve Blake,30.7,LAL,Point,1487,96,92.3%,10,2.4%,5,0.6%,0,0.0%
Andray Blatche,24.2,WAS,Big,2163,78,77.9%,51,13.1%,63,1.6%,40,20.9%
Eric Bledsoe,20.9,LAC,Combo,1794,17,74.8%,55,9.7%,37,1.4%,86,31.3%
Keith Bogans,30.5,CHI,Wing,1455,6,65.6%,12,4.4%,24,0.7%,0,0.0%
Andrew Bogut,25.9,MIL,Big,2293,4,44.2%,34,10.9%,89,2.6%,26,16.9%
Matt Bonner,30.6,SAS,Big,1390,65,74.4%,2,3.8%,14,0.8%,43,21.4%
Trevor Booker,22.9,WAS,Forward,976,10,64.0%,92,17.6%,25,0.9%,90,31.1%
Carlos Boozer,28.9,CHI,Big,1876,49,70.1%,52,13.4%,45,1.3%,79,28.8%
Chris Bosh,26.6,MIA,Big,2776,91,81.6%,79,18.2%,78,2.0%,38,20.5%
Earl Boykins,34.4,MIL,Point,805,57,83.8%,41,6.7%,90,2.4%,9,4.2%
Avery Bradley,19.9,BOS,Combo,121,0,33.3%,16,6.5%,73,2.0%,88,33.3%
Elton Brand,31.6,PHI,Big,2801,79,78.0%,39,11.7%,61,1.6%,37,20.5%
Corey Brewer,24.7,DAL,Wing,135,0,70.6%,89,15.4%,21,0.7%,13,12.5%
Corey Brewer,24.7,MIN,Wing,1330,23,70.6%,93,16.4%,26,0.7%,26,16.5%
Ronnie Brewer,25.6,CHI,Forward,1722,12,64.9%,78,13.9%,20,0.9%,73,25.4%
