Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,31.3,HOU,Big,784,46,-0.5%,25,-2.5%,37,-1.4%,71,+3.2%,51,-0.0%,56,+0.7%,84,+2.7%,84,+2.2%
Kyle Anderson,31.1,GSW,Big,508,7,-4.5%,88,+3.7%,7,-6.0%,25,-4.2%,7,-5.6%,33,-2.3%,8,-5.1%,7,-4.4%
Kyle Anderson,31.1,MIA,Big,444,32,-1.3%,54,+0.3%,17,-3.8%,3,-15.9%,5,-6.3%,73,+2.8%,45,-0.7%,65,+0.7%
Giannis Antetokounmpo,29.9,MIL,Big,2287,96,+4.1%,98,+6.6%,35,-1.6%,73,+3.6%,58,+0.6%,85,+4.9%,40,-1.0%,66,+0.8%
Harrison Barnes,32.4,SAS,Big,2224,87,+2.2%,67,+1.1%,82,+3.1%,86,+6.9%,90,+4.3%,85,+5.0%,56,+0.1%,76,+1.5%
Nicolas Batum,35.9,LAC,Forward,1344,24,-2.0%,25,-2.5%,30,-2.2%,43,-1.4%,28,-2.2%,75,+3.2%,30,-1.8%,47,-0.4%
Bradley Beal,31.3,PHX,Wing,1699,68,+0.7%,97,+6.3%,50,-0.3%,60,+1.0%,54,+0.2%,37,-1.7%,43,-0.9%,38,-1.1%
Malik Beasley,27.9,DET,Wing,2272,75,+1.2%,34,-1.4%,67,+1.6%,64,+1.9%,74,+1.9%,97,+8.3%,67,+0.9%,88,+2.8%
Bismack Biyombo,32.2,SAS,Big,511,63,+0.5%,60,+0.6%,94,+6.3%,92,+10.4%,98,+7.2%,94,+6.6%,50,-0.3%,79,+1.8%
Devin Booker,28.0,PHX,Combo,2780,57,+0.1%,58,+0.5%,45,-0.7%,66,+2.2%,52,+0.1%,24,-3.5%,63,+0.6%,44,-0.7%
Malcolm Brogdon,31.9,WAS,Combo,563,76,+1.2%,96,+6.1%,29,-2.4%,17,-6.4%,18,-3.4%,72,+2.7%,57,+0.1%,64,+0.6%
Jaylen Brown,28.0,BOS,Wing,2154,87,+2.2%,44,-0.5%,29,-2.5%,75,+3.9%,47,-0.4%,27,-3.0%,96,+4.7%,90,+3.1%
Alec Burks,33.3,MIA,Wing,859,74,+1.1%,18,-3.4%,60,+0.9%,70,+3.0%,65,+1.2%,94,+6.5%,62,+0.5%,88,+2.8%
Jimmy Butler,35.1,MIA,Forward,765,83,+1.9%,73,+1.9%,27,-2.5%,6,-11.7%,13,-4.0%,82,+4.3%,71,+1.4%,84,+2.3%
