Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,20.3,OKC,Big,300,59,-1.6,77,-1.9,9,+4.1%,83,-22.8,86,-1.5,36,+4.6%,73,-23.3,55,-0.3,6,+9.0%,83,-25.8
LaMarcus Aldridge,28.3,POR,Big,440,89,-9.6,98,-7.2,92,-4.7%,98,-47.3,34,+0.6,73,-6.3%,20,+31.7,98,-6.5,80,-5.4%,98,-72.6
Ray Allen,38.3,MIA,Wing,526,50,+0.3,33,+1.3,47,+0.3%,36,+9.8,30,+0.7,46,+2.5%,47,+1.4,47,+0.1,53,-0.4%,40,+6.7
Tony Allen,31.8,MEM,Wing,230,43,+2.3,30,+1.8,89,-4.2%,26,+17.7,11,+2.2,79,-10.6%,7,+48.9,66,-0.8,92,-8.2%,57,-3.5
Chris Andersen,35.3,MIA,Big,316,67,-3.8,69,-1.5,58,-0.7%,68,-11.5,81,-1.3,95,-23.8%,81,-30.6,69,-1.0,34,+2.7%,67,-12.3
Alan Anderson,31.0,BKN,Wing,257,86,-8.8,50,-0.1,26,+2.1%,53,+1.0,40,+0.5,29,+7.0%,48,0.0,53,-0.2,56,-0.9%,45,+3.5
Pero Antic,31.3,ATL,Big,169,97,-14.7,60,-0.8,68,-1.5%,48,+4.0,63,-0.4,53,+0.5%,44,+3.6,56,-0.4,67,-2.7%,44,+4.0
Trevor Ariza,28.3,WAS,Wing,407,72,-5.6,92,-4.1,95,-5.0%,90,-31.1,98,-3.9,96,-28.8%,92,-47.8,60,-0.5,71,-3.4%,74,-16.7
Omer Asik,27.3,HOU,Big,162,52,-0.2,65,-1.1,50,-0.1%,71,-13.6,50,+0.1,3,+27.3%,85,-34.9,64,-0.8,59,-1.3%,59,-6.2
D.J. Augustin,26.0,CHI,Point,140,92,-11.0,81,-2.4,63,-1.1%,97,-42.3,98,-4.2,78,-9.3%,95,-52.3,25,+1.7,40,+2.0%,64,-11.4
Harrison Barnes,21.4,GSW,Forward,141,47,+0.9,53,-0.2,31,+1.7%,57,-4.1,19,+1.2,44,+2.6%,22,+26.8,74,-1.5,15,+7.2%,82,-25.0
Matt Barnes,33.6,LAC,Forward,400,31,+4.2,18,+2.8,24,+2.2%,27,+16.6,84,-1.4,74,-7.7%,97,-63.9,9,+4.2,23,+5.0%,12,+48.4
Shane Battier,35.1,MIA,Wing,191,45,+1.7,79,-2.2,43,+0.7%,88,-28.4,70,-0.5,9,+18.8%,71,-20.5,68,-0.9,31,+3.5%,81,-23.9
