Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Arron Afflalo,26.0,DEN,Wing,228,43,0.4%,16,1.0%,84,2.7%,30,2.1%,30,7.5%,0,0.0%,38,10.0%
Lavoy Allen,22.7,PHI,Big,234,64,2.7%,96,2.0%,21,5.7%,70,9.9%,64,18.0%,0,0.0%,6,8.3%
Ray Allen,36.3,BOS,Wing,610,22,0.2%,51,1.4%,73,3.1%,19,1.5%,76,11.9%,0,0.0%,27,5.9%
Tony Allen,29.8,MEM,Wing,170,97,2.4%,92,2.5%,5,5.8%,100,5.6%,41,8.2%,0,0.0%,86,25.0%
Ryan Anderson,23.5,ORL,Big,172,11,0.7%,38,0.8%,32,5.1%,21,5.4%,2,9.0%,0,0.0%,0,0.0%
Carmelo Anthony,27.4,NYK,Forward,203,0,0.3%,38,1.4%,0,4.2%,88,6.4%,38,15.1%,88,15.4%,38,26.7%
Joel Anthony,29.2,MIA,Big,319,62,2.7%,32,0.8%,28,5.5%,49,7.6%,4,9.7%,60,4.0%,64,31.3%
Omer Asik,25.3,CHI,Big,128,91,4.5%,6,0.4%,43,4.5%,30,6.5%,45,15.8%,0,0.0%,13,10.0%
Leandro Barbosa,28.9,IND,Wing,214,30,0.3%,14,0.9%,38,4.1%,38,2.4%,43,8.5%,0,0.0%,43,11.1%
Matt Barnes,31.6,LAL,Wing,173,86,1.4%,95,2.6%,0,7.0%,92,4.9%,81,13.5%,0,0.0%,59,15.4%
Brandon Bass,26.5,BOS,Big,603,19,0.9%,51,1.1%,72,3.6%,6,4.5%,19,12.2%,68,5.6%,66,31.4%
Shane Battier,33.1,MIA,Wing,761,73,1.0%,54,1.4%,35,4.1%,32,2.2%,27,7.4%,84,1.8%,70,19.5%
Mike Bibby,33.5,NYK,Point,108,0,0.0%,0,0.4%,59,2.5%,88,2.8%,94,14.0%,0,0.0%,100,25.0%
Steve Blake,31.7,LAL,Point,298,71,0.3%,29,1.2%,47,3.1%,82,2.6%,35,7.8%,0,0.0%,71,5.3%
Eric Bledsoe,21.9,LAC,Combo,184,60,0.9%,100,3.1%,10,4.9%,100,9.0%,50,8.0%,0,0.0%,0,0.0%
Matt Bonner,31.6,SAS,Big,156,30,1.3%,19,0.6%,11,6.5%,0,0.8%,6,11.2%,0,0.0%,81,36.4%
Carlos Boozer,29.9,CHI,Big,200,6,0.5%,55,1.2%,62,4.0%,9,4.7%,89,22.4%,89,9.1%,91,46.2%
Chris Bosh,27.6,MIA,Big,438,45,1.8%,28,0.7%,98,2.0%,60,9.3%,60,17.7%,85,8.0%,21,16.0%
Avery Bradley,20.9,BOS,Combo,247,100,1.3%,50,1.6%,50,3.9%,50,1.5%,30,6.6%,0,0.0%,0,0.0%
Elton Brand,32.6,PHI,Big,355,74,3.2%,77,1.5%,38,4.9%,32,6.5%,9,11.2%,0,0.0%,49,25.0%
Corey Brewer,25.7,DEN,Wing,112,70,0.9%,89,2.4%,41,4.0%,95,5.0%,11,5.4%,0,0.0%,38,10.0%
Kobe Bryant,33.2,LAL,Wing,475,24,0.2%,57,1.5%,78,2.8%,59,3.2%,46,8.6%,89,3.0%,32,8.3%
Caron Butler,31.6,LAC,Wing,266,41,0.4%,27,1.1%,57,3.5%,22,1.6%,62,10.8%,0,0.0%,62,16.7%
Andrew Bynum,24.0,LAL,Big,450,87,4.2%,11,0.5%,96,2.0%,62,9.4%,57,17.7%,89,9.1%,85,39.1%
Vince Carter,34.8,DAL,Wing,106,76,1.1%,81,2.2%,32,4.3%,89,4.7%,97,18.2%,0,0.0%,73,20.0%
Mario Chalmers,25.5,MIA,Point,801,82,0.4%,53,1.6%,24,4.0%,59,1.8%,65,9.4%,0,0.0%,76,8.1%
Tyson Chandler,29.1,NYK,Big,166,57,2.5%,94,2.0%,64,3.8%,94,13.2%,68,19.1%,0,0.0%,17,12.5%
Norris Cole,23.0,MIA,Point,142,0,0.0%,76,2.1%,0,7.2%,24,0.9%,0,4.7%,0,0.0%,82,9.1%
Darren Collison,24.2,IND,Point,195,0,0.0%,88,3.4%,65,2.4%,35,1.6%,18,6.4%,0,0.0%,0,0.0%
Nick Collison,31.0,OKC,Big,319,17,0.9%,87,1.6%,9,7.1%,74,10.2%,15,11.7%,0,0.0%,26,19.0%
Mike Conley,24.1,MEM,Point,276,0,0.0%,6,1.0%,41,3.2%,41,1.6%,47,8.4%,0,0.0%,0,0.0%
Glen Davis,25.8,ORL,Big,190,40,1.8%,34,0.8%,94,2.3%,83,11.7%,13,11.6%,0,0.0%,49,25.0%
Luol Deng,26.5,CHI,Wing,227,95,2.2%,24,1.0%,92,1.9%,70,3.6%,95,17.4%,0,0.0%,84,23.5%
Boris Diaw,29.5,SAS,Big,342,9,0.6%,81,1.5%,68,3.7%,55,8.7%,17,12.1%,72,6.7%,53,27.3%
Keyon Dooling,31.5,BOS,Combo,197,80,1.2%,40,1.5%,0,7.4%,20,0.6%,20,6.3%,0,0.0%,0,0.0%
Tim Duncan,35.5,SAS,Big,460,77,3.5%,47,1.0%,89,2.8%,45,7.2%,87,22.0%,94,11.5%,30,20.0%
Kevin Durant,23.1,OKC,Forward,834,88,1.6%,63,1.6%,75,2.3%,0,1.8%,50,15.9%,0,0.0%,63,35.9%
Devin Ebanks,22.0,LAL,Wing,118,100,3.1%,32,1.1%,27,4.6%,95,5.0%,51,9.8%,0,0.0%,73,20.0%
Reggie Evans,31.5,LAC,Big,197,43,1.8%,98,2.2%,15,6.4%,72,9.9%,98,29.1%,98,20.0%,94,47.4%
Kenneth Faried,21.9,DEN,Big,191,51,2.1%,53,1.1%,70,3.7%,89,12.2%,77,19.9%,0,0.0%,68,31.6%
Derrick Favors,20.3,UTA,Big,109,72,3.2%,85,1.6%,53,4.3%,91,12.3%,81,21.1%,0,0.0%,40,22.2%
Landry Fields,23.3,NYK,Wing,105,0,0.0%,49,1.4%,95,1.8%,81,4.2%,73,11.5%,0,0.0%,0,0.0%
Derek Fisher,37.2,OKC,Point,419,59,0.3%,65,1.8%,18,4.0%,12,0.6%,41,7.9%,0,0.0%,0,0.0%
Randy Foye,28.1,LAC,Wing,286,54,0.6%,22,1.0%,76,3.0%,11,1.2%,14,6.5%,95,4.8%,51,12.5%
Danilo Gallinari,23.2,DEN,Forward,219,50,0.9%,13,1.0%,63,2.4%,38,3.7%,0,10.4%,0,0.0%,13,21.1%
Kevin Garnett,35.5,BOS,Big,733,55,2.3%,83,1.5%,87,2.9%,11,4.7%,94,23.3%,57,3.6%,60,29.7%
Marc Gasol,26.8,MEM,Big,260,70,3.0%,4,0.4%,60,4.1%,38,6.8%,26,12.8%,0,0.0%,26,19.0%
Pau Gasol,31.3,LAL,Big,439,68,2.9%,21,0.6%,74,3.4%,51,8.1%,49,16.4%,60,4.0%,70,33.3%
Rudy Gay,25.2,MEM,Forward,279,13,0.4%,50,1.5%,88,2.1%,25,3.2%,13,13.2%,75,10.0%,25,22.2%
Paul George,21.5,IND,Wing,368,57,0.6%,84,2.3%,49,3.8%,84,4.5%,92,15.9%,0,0.0%,68,17.4%
Taj Gibson,26.4,CHI,Big,137,85,4.1%,66,1.3%,19,5.9%,77,10.3%,38,15.7%,0,0.0%,36,21.4%
Manu Ginobili,34.3,SAS,Wing,386,38,0.4%,38,1.2%,62,3.4%,41,2.4%,68,10.9%,0,0.0%,30,6.3%
Danny Granger,28.5,IND,Wing,418,46,0.5%,8,0.7%,68,3.2%,73,3.6%,57,10.1%,92,4.3%,95,25.9%
Danny Green,24.4,SAS,Wing,283,92,1.9%,41,1.2%,54,3.6%,8,0.9%,86,14.3%,0,0.0%,0,0.0%
Blake Griffin,22.6,LAC,Big,391,36,1.5%,100,2.3%,51,4.3%,17,5.2%,43,15.7%,72,6.7%,38,21.7%
Richard Hamilton,33.7,CHI,Wing,170,0,0.0%,0,0.3%,46,3.9%,86,4.6%,19,6.6%,0,0.0%,0,0.0%
Tyler Hansbrough,26.0,IND,Big,152,23,1.1%,79,1.5%,26,5.7%,47,7.4%,36,15.6%,79,7.1%,17,12.5%
James Harden,22.2,OKC,Wing,621,19,0.2%,86,2.3%,30,4.4%,43,2.5%,84,14.3%,0,0.0%,86,25.0%
Al Harrington,31.7,DEN,Big,162,2,0.3%,36,0.8%,77,3.3%,4,3.8%,23,12.8%,87,8.3%,4,7.1%
Devin Harris,28.7,UTA,Point,119,94,0.9%,24,1.1%,6,4.5%,0,0.0%,12,5.6%,0,0.0%,0,0.0%
