Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
LaMarcus Aldridge,29.3,POR,Big,208,81,3.0%,12,0.4%,84,3.1%,65,9.3%,33,15.1%,98,16.7%,81,40.0%
Tony Allen,32.8,MEM,Wing,278,97,2.2%,100,4.0%,20,4.3%,94,5.3%,69,12.8%,0,0.0%,100,38.5%
Al-Farouq Aminu,24.1,DAL,Forward,148,100,2.8%,89,2.8%,44,3.6%,100,9.3%,78,12.7%,0,0.0%,56,21.1%
Alan Anderson,32.0,BKN,Wing,141,23,0.4%,26,1.3%,60,2.9%,31,1.6%,49,11.3%,0,0.0%,86,33.3%
Giannis Antetokounmpo,19.9,MIL,Forward,200,89,2.5%,0,0.7%,56,3.4%,67,5.4%,100,14.4%,0,0.0%,67,21.4%
Pero Antic,32.3,ATL,Big,195,19,0.8%,19,0.5%,2,8.4%,7,4.0%,19,14.4%,93,10.0%,42,23.1%
Trevor Ariza,29.3,HOU,Forward,653,0,0.2%,78,1.9%,67,3.0%,33,3.0%,67,12.5%,0,0.0%,78,23.4%
Leandro Barbosa,31.9,GSW,Combo,217,50,0.3%,50,1.0%,28,4.7%,89,3.8%,33,8.0%,0,0.0%,83,6.7%
J.J. Barea,30.3,DAL,Combo,152,0,0.0%,56,1.1%,44,4.4%,83,3.3%,78,11.3%,0,0.0%,78,6.3%
Harrison Barnes,22.4,GSW,Forward,678,33,0.9%,44,1.1%,78,2.8%,78,6.5%,11,8.5%,89,7.1%,44,13.3%
Matt Barnes,34.6,LAC,Wing,404,74,1.2%,89,2.1%,3,5.3%,83,4.1%,66,12.2%,86,2.6%,37,10.0%
Nicolas Batum,25.9,POR,Wing,208,11,0.3%,3,0.2%,86,2.4%,60,2.8%,91,16.6%,0,0.0%,77,30.0%
Jerryd Bayless,26.2,MIL,Combo,108,100,1.1%,33,0.9%,22,4.8%,78,3.0%,67,10.5%,0,0.0%,0,0.0%
