Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
LaMarcus Aldridge,29.3,POR,Big,208,49,+0.7,2,-22.7,92,+8.3%,77,-2.1%,97,+20.3,97,+8.3,100,+122.6
Tony Allen,32.8,MEM,Wing,278,52,+1.0,44,-0.4,39,-1.5%,65,-1.3%,44,-0.9,2,-6.4,88,+36.3
Al-Farouq Aminu,24.1,DAL,Forward,148,81,+9.4,52,+1.6,91,+8.3%,64,-1.2%,82,+7.2,83,+4.2,65,+11.5
Alan Anderson,32.0,BKN,Wing,141,82,+9.7,73,+6.2,63,+2.3%,48,+0.2%,27,-3.6,23,-2.6,46,-2.5
Giannis Antetokounmpo,19.9,MIL,Forward,200,11,-9.9,30,-4.2,31,-2.8%,29,+1.6%,17,-6.0,7,-4.6,48,+1.9
Pero Antic,32.3,ATL,Big,195,37,-2.0,27,-4.5,55,+1.1%,28,+1.7%,23,-4.9,54,+0.5,9,-39.3
Trevor Ariza,29.3,HOU,Forward,653,23,-5.2,68,+5.4,16,-6.0%,3,+4.3%,20,-5.4,6,-5.5,56,+6.1
Leandro Barbosa,31.9,GSW,Combo,217,65,+4.3,46,-0.0,77,+5.0%,86,-3.4%,95,+14.0,92,+6.5,86,+33.0
J.J. Barea,30.3,DAL,Combo,152,89,+11.6,67,+5.3,73,+3.8%,30,+1.5%,77,+5.6,65,+1.5,77,+23.1
Harrison Barnes,22.4,GSW,Forward,678,12,-8.8,24,-6.1,22,-4.4%,74,-2.0%,45,-0.6,26,-2.4,65,+11.1
Matt Barnes,34.6,LAC,Wing,404,67,+4.5,63,+4.1,69,+3.4%,75,-2.1%,57,+1.1,76,+3.2,23,-16.5
Nicolas Batum,25.9,POR,Wing,208,48,+0.5,76,+6.8,26,-3.3%,97,-6.7%,18,-6.0,81,+3.9,0,-93.3
Jerryd Bayless,26.2,MIL,Combo,108,84,+10.0,81,+7.7,44,-0.8%,36,+1.1%,54,+0.3,60,+0.7,40,-4.9
