Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Alex Abrines,24.3,OKC,Wing,106,0,100.0%,0,0.0%,20,0.4%,94,0.0%
Steven Adams,24.3,OKC,Big,199,0,69.2%,10,6.1%,63,2.4%,0,0.0%
LaMarcus Aldridge,32.3,SAS,Big,175,100,97.6%,98,22.9%,85,3.4%,66,27.3%
Al-Farouq Aminu,27.1,POR,Big,130,0,100.0%,2,1.9%,32,1.3%,0,0.0%
Giannis Antetokounmpo,22.9,MIL,Forward,279,20,69.1%,100,18.6%,73,2.4%,67,26.9%
Carmelo Anthony,33.4,OKC,Big,193,0,73.3%,12,6.5%,51,2.0%,0,0.0%
OG Anunoby,20.3,TOR,Forward,237,0,72.7%,47,8.8%,13,0.8%,0,0.0%
Trevor Ariza,32.3,HOU,Wing,579,30,74.2%,54,8.1%,46,1.1%,14,8.3%
Aron Baynes,30.9,BOS,Big,372,0,72.2%,22,7.4%,39,1.5%,0,0.0%
Bradley Beal,24.3,WAS,Wing,215,0,87.0%,31,7.0%,57,1.2%,23,12.5%
Marco Belinelli,31.6,PHI,Wing,272,90,87.1%,37,7.2%,89,2.3%,77,37.5%
Jordan Bell,22.8,GSW,Big,133,0,50.0%,66,13.3%,20,0.7%,0,0.0%
Eric Bledsoe,27.9,MIL,Point,223,0,70.0%,77,9.8%,69,2.7%,8,11.1%
Bojan Bogdanovic,28.5,IND,Forward,233,0,60.0%,40,8.4%,27,0.8%,93,57.1%
Corey Brewer,31.7,OKC,Wing,151,0,100.0%,40,7.4%,9,0.3%,0,0.0%
Malcolm Brogdon,24.9,MIL,Combo,185,0,80.0%,25,3.6%,81,2.4%,81,100.0%
Jaylen Brown,21.0,BOS,Wing,581,0,64.0%,43,7.4%,74,1.7%,17,9.5%
Alec Burks,26.3,UTA,Wing,112,0,85.7%,97,14.5%,29,0.8%,83,44.4%
Jimmy Butler,28.1,MIN,Wing,170,0,83.3%,74,11.4%,60,1.4%,23,12.5%
Clint Capela,23.5,HOU,Big,518,8,47.3%,76,14.2%,44,1.7%,56,21.7%
Ian Clark,26.7,NOP,Combo,166,0,100.0%,0,0.0%,6,0.5%,94,0.0%
Jordan Clarkson,25.4,CLE,Combo,243,0,100.0%,13,1.0%,25,1.2%,81,100.0%
Darren Collison,30.2,IND,Point,213,0,75.0%,8,7.1%,23,1.3%,62,40.0%
Quinn Cook,24.6,GSW,Point,130,0,83.3%,23,7.3%,31,1.3%,92,66.7%
Robert Covington,26.9,PHI,Forward,280,0,75.0%,0,4.6%,33,0.9%,0,0.0%
Jamal Crawford,37.6,MIN,Wing,116,0,76.9%,80,11.8%,49,1.2%,0,0.0%
Jae Crowder,27.3,UTA,Forward,320,0,64.3%,67,11.1%,7,0.7%,40,15.4%
Stephen Curry,29.6,GSW,Point,552,100,95.7%,31,7.3%,54,2.3%,77,43.5%
Anthony Davis,24.6,NOP,Big,357,77,82.8%,51,11.4%,100,5.7%,76,32.0%
DeMar DeRozan,28.2,TOR,Wing,352,50,80.8%,89,13.0%,83,1.9%,74,35.7%
Goran Dragic,31.5,MIA,Point,155,0,68.2%,85,13.1%,38,1.9%,31,27.3%
Kevin Durant,29.1,GSW,Forward,805,100,90.1%,73,11.9%,93,3.0%,33,10.3%
Wayne Ellington,29.9,MIA,Wing,100,0,100.0%,29,5.7%,0,0.0%,86,50.0%
Joel Embiid,23.6,PHI,Big,278,38,70.5%,71,13.9%,98,5.1%,78,33.3%
Dante Exum,22.3,UTA,Combo,110,0,75.0%,69,9.1%,94,3.1%,0,0.0%
Derrick Favors,26.3,UTA,Big,284,15,48.5%,93,20.7%,29,1.1%,39,17.6%
Rudy Gay,31.2,SAS,Big,158,0,55.6%,17,7.2%,24,0.9%,46,20.0%
Paul George,27.5,OKC,Wing,250,80,86.1%,86,12.5%,100,3.5%,60,31.3%
Taj Gibson,32.4,MIN,Big,122,0,100.0%,27,8.7%,0,0.0%,95,50.0%
