Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Arron Afflalo,22.0,DET,Wing,755,18,43.5%,54,46.4%,0,20.0%,62,81.0%,57,62%,77,41%,16,78%,84,86%
Blake Ahearn,23.4,MIA,Point,156,6,39.1%,0,18.8%,28,32.3%,100,96.6%,0,85%,8,50%,98,0%,5,100%
LaMarcus Aldridge,22.3,POR,Big,2637,47,48.4%,50,48.4%,0,20.0%,77,76.2%,63,65%,29,70%,64,62%,75,100%
Malik Allen,29.3,BKN,Big,719,46,48.4%,45,47.9%,0,100.0%,0,90.9%,18,76%,99,24%,16,85%,75,100%
Malik Allen,29.3,DAL,Big,313,47,48.4%,48,48.4%,0,0.0%,0,91.7%,36,70%,99,20%,28,80%,0,0%
Ray Allen,32.3,BOS,Wing,2609,83,54.0%,70,48.8%,72,40.1%,99,90.7%,48,65%,53,51%,48,56%,88,80%
Tony Allen,25.8,BOS,Wing,1239,29,46.3%,41,45.3%,36,34.7%,45,76.9%,74,56%,65,47%,45,58%,3,100%
Rafer Alston,31.3,HOU,Point,2520,38,47.3%,36,42.8%,45,35.4%,12,71.5%,41,46%,38,31%,88,13%,50,85%
Derek Anderson,33.3,CHA,Wing,336,73,51.9%,30,43.5%,87,42.2%,32,75.0%,61,61%,43,55%,91,25%,47,95%
Carmelo Anthony,23.4,DEN,Forward,2791,72,51.6%,83,50.8%,76,39.3%,66,78.6%,77,59%,58,59%,70,52%,53,96%
Joel Anthony,25.2,MIA,Big,461,40,47.4%,39,47.4%,0,0.0%,35,62.2%,89,56%,26,70%,98,14%,0,0%
Gilbert Arenas,25.8,WAS,Combo,423,34,45.6%,72,47.9%,13,28.2%,26,76.6%,76,37%,78,30%,50,33%,92,50%
Trevor Ariza,22.3,LAL,Wing,385,88,55.3%,95,56.3%,0,33.3%,17,71.2%,21,76%,8,73%,22,75%,3,100%
Darrell Armstrong,39.4,BKN,Combo,505,86,53.7%,28,41.0%,84,41.1%,0,64.3%,10,74%,48,40%,20,45%,18,96%
Hilton Armstrong,22.9,NOP,Big,663,29,45.9%,29,45.9%,0,0.0%,31,61.3%,98,44%,92,46%,95,38%,0,0%
Carlos Arroyo,28.3,ORL,Point,1216,69,50.3%,78,49.6%,43,35.1%,79,86.0%,94,24%,98,2%,61,24%,92,59%
Chucky Atkins,33.2,DEN,Combo,293,4,37.6%,2,32.4%,9,27.0%,0,50.0%,6,75%,28,50%,30,40%,22,94%
James Augustine,23.7,ORL,Big,106,74,52.4%,74,52.4%,0,0.0%,0,33.3%,9,82%,6,80%,1,100%,0,0%
Kelenna Azubuike,23.9,GSW,Wing,1680,63,50.7%,73,49.2%,41,35.8%,21,72.8%,44,66%,42,55%,53,54%,38,97%
Renaldo Balkman,23.3,NYK,Forward,895,50,48.6%,77,50.6%,0,10.0%,0,44.4%,82,58%,65,55%,0,100%,8,100%
Marcus Banks,25.9,MIA,Combo,239,100,61.2%,100,58.5%,93,42.9%,0,73.3%,68,41%,100,0%,40,38%,46,87%
Marcus Banks,25.9,PHX,Combo,240,78,51.3%,32,41.9%,67,38.3%,0,72.7%,12,74%,28,50%,50,33%,20,94%
Leandro Barbosa,24.9,PHX,Combo,2347,92,54.4%,94,51.2%,73,39.3%,68,82.4%,20,64%,24,52%,26,41%,24,94%
J.J. Barea,23.3,DAL,Point,414,63,50.0%,53,45.3%,74,40.9%,62,82.8%,56,39%,44,26%,77,17%,69,78%
Andrea Bargnani,22.0,TOR,Big,1827,25,44.7%,11,40.8%,57,34.5%,93,84.2%,13,78%,21,72%,48,70%,95,95%
Matt Barnes,27.6,GSW,Forward,1360,53,49.2%,80,50.8%,20,31.1%,57,76.6%,42,72%,52,60%,43,65%,55,96%
Earl Barron,26.2,MIA,Big,852,11,40.7%,14,41.6%,0,10.0%,65,72.5%,26,73%,77,56%,22,83%,75,100%
Brent Barry,35.8,SAS,Wing,520,100,61.9%,98,58.1%,89,42.3%,0,94.7%,6,88%,1,86%,50,55%,33,98%
Brandon Bass,22.5,DAL,Big,1508,58,50.5%,62,50.7%,0,0.0%,91,83.2%,88,56%,88,49%,71,60%,0,0%
Shane Battier,29.1,HOU,Forward,2901,87,54.7%,78,50.6%,71,38.1%,40,74.3%,33,76%,70,54%,67,55%,60,96%
Marco Belinelli,21.6,GSW,Wing,173,74,52.4%,21,41.9%,84,41.9%,0,60.0%,13,81%,20,67%,46,57%,3,100%
Charlie Bell,28.6,MIL,Combo,1522,32,45.3%,26,41.0%,29,33.5%,47,80.3%,24,61%,40,48%,34,39%,44,88%
Raja Bell,31.1,PHX,Wing,2633,85,54.0%,42,45.3%,74,40.1%,91,86.8%,7,88%,13,71%,17,78%,34,98%
Mike Bibby,29.5,ATL,Point,1098,58,49.8%,52,45.1%,55,36.9%,44,79.7%,11,61%,31,33%,23,41%,25,93%
Mike Bibby,29.5,SAC,Point,469,34,46.9%,20,41.2%,66,39.3%,23,75.9%,20,56%,22,38%,25,39%,14,96%
Andris Biedrins,21.6,GSW,Big,2072,99,62.7%,99,62.7%,0,0.0%,33,62.0%,32,71%,22,72%,46,70%,0,0%
Chauncey Billups,31.1,DET,Point,2519,88,53.5%,64,47.9%,81,41.6%,98,91.8%,73,33%,50,25%,86,14%,89,61%
Steve Blake,27.7,POR,Point,2415,75,50.8%,16,40.6%,83,42.1%,27,76.6%,17,59%,41,28%,38,32%,30,92%
Andray Blatche,21.2,WAS,Big,1579,45,48.2%,47,48.2%,0,33.3%,48,67.4%,94,52%,85,52%,85,51%,75,100%
Mark Blount,31.9,MIA,Big,1503,44,47.8%,37,46.9%,82,38.6%,40,63.8%,12,79%,28,70%,23,82%,75,100%
Keith Bogans,27.5,ORL,Wing,2167,84,54.0%,85,52.3%,48,36.4%,22,73.1%,11,83%,26,65%,56,52%,44,96%
Andrew Bogut,22.9,MIL,Big,2697,64,51.3%,67,51.6%,0,0.0%,24,58.7%,79,60%,52,62%,78,57%,0,0%
Matt Bonner,27.6,SAS,Big,748,61,50.8%,57,50.0%,54,34.4%,99,90.0%,13,79%,91,46%,33,77%,75,100%
Josh Boone,22.9,BKN,Big,1737,86,55.3%,86,55.3%,0,0.0%,8,46.0%,28,73%,25,70%,7,93%,0,0%
Calvin Booth,31.5,PHI,Big,200,3,34.6%,4,34.6%,0,0.0%,0,60.0%,2,89%,6,80%,1,100%,0,0%
Carlos Boozer,25.9,UTA,Big,2820,85,54.7%,84,54.7%,0,0.0%,70,73.7%,34,71%,33,69%,40,73%,0,0%
Chris Bosh,23.6,TOR,Big,2416,55,49.9%,55,49.7%,89,39.1%,94,84.6%,75,61%,69,57%,61,63%,75,100%
Bruce Bowen,36.4,SAS,Wing,2434,67,51.4%,14,39.2%,90,42.5%,4,65.2%,4,90%,9,72%,12,80%,3,100%
Ryan Bowen,31.9,NOP,Forward,600,68,51.2%,88,51.8%,0,0.0%,0,54.2%,13,84%,8,80%,7,92%,0,0%
Earl Boykins,31.4,CHA,Point,535,8,39.6%,13,37.8%,15,30.0%,60,82.5%,64,37%,17,44%,59,24%,94,58%
Elton Brand,28.6,LAC,Big,270,26,45.1%,26,45.1%,0,0.0%,80,78.7%,77,61%,41,67%,75,58%,0,0%
Corey Brewer,21.7,MIN,Wing,1757,5,38.2%,10,38.4%,2,23.3%,56,79.2%,77,54%,68,45%,40,60%,97,71%
Ronnie Brewer,22.6,UTA,Wing,2078,93,57.4%,99,58.7%,8,26.2%,43,76.6%,31,72%,16,70%,20,77%,60,91%
Primoz Brezec,28.1,CHA,Big,264,10,39.5%,9,39.5%,0,0.0%,0,60.0%,61,65%,87,50%,29,78%,0,0%
Aaron Brooks,22.8,HOU,Point,520,63,50.0%,83,50.0%,30,33.0%,67,83.9%,39,48%,81,17%,50,26%,33,90%
Andre Brown,26.5,MEM,Big,227,69,51.6%,69,51.6%,0,0.0%,5,44.7%,55,66%,57,61%,29,78%,0,0%
Devin Brown,28.8,CLE,Wing,1728,27,45.5%,33,44.7%,22,32.1%,32,75.0%,64,59%,52,52%,66,47%,35,98%
Kwame Brown,25.6,LAL,Big,488,67,51.5%,67,51.5%,0,0.0%,0,38.3%,21,75%,14,74%,18,83%,0,0%
Kwame Brown,25.6,MEM,Big,150,16,42.3%,17,42.3%,0,0.0%,0,40.0%,29,73%,23,71%,34,75%,0,0%
P.J. Brown,38.0,BOS,Big,167,9,39.4%,10,40.6%,0,0.0%,0,70.0%,73,62%,97,33%,14,86%,0,0%
Shannon Brown,21.9,CLE,Wing,189,6,39.3%,6,36.5%,18,30.8%,0,55.6%,83,52%,70,43%,85,33%,77,88%
Kobe Bryant,29.2,LAL,Wing,3187,64,50.7%,71,49.0%,54,37.4%,83,83.9%,94,40%,85,37%,89,31%,98,68%
Greg Buckner,31.1,MIN,Combo,511,30,45.3%,60,44.8%,20,30.6%,0,86.4%,18,64%,20,53%,14,47%,26,93%
Caron Butler,27.6,WAS,Wing,2306,60,50.5%,74,49.2%,51,36.9%,97,90.1%,92,44%,63,47%,82,37%,100,55%
Rasual Butler,28.4,NOP,Wing,821,23,45.0%,12,38.9%,25,33.3%,68,81.5%,8,86%,6,77%,18,77%,45,95%
