Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Quincy Acy,23.1,SAC,Big,744,43,49.6%,53,50.5%,0,25.0%,33,66.7%,46,70%,45,65%,32,80%,60,100%
Steven Adams,20.3,OKC,Big,1115,35,48.5%,36,48.5%,0,0.0%,16,56.8%,83,60%,82,54%,20,86%,0,0%
Jeff Adrien,27.7,CHA,Big,226,47,50.0%,47,50.0%,0,0.0%,0,54.5%,99,47%,95,44%,1,100%,0,0%
Jeff Adrien,27.7,MIL,Big,676,56,51.1%,58,51.1%,0,0.0%,40,68.5%,50,69%,42,66%,40,77%,0,0%
Arron Afflalo,28.0,ORL,Wing,2543,66,52.3%,58,47.0%,93,43.3%,63,81.4%,60,63%,40,61%,48,50%,69,89%
Alexis Ajinca,25.5,NOP,Big,934,82,55.1%,83,55.3%,0,0.0%,95,83.9%,44,71%,61,60%,23,85%,0,0%
Cole Aldrich,25.0,NYK,Big,210,74,53.7%,73,53.7%,0,0.0%,0,90.5%,94,55%,57,62%,95,44%,0,0%
LaMarcus Aldridge,28.3,POR,Big,2496,22,46.0%,19,46.1%,0,25.0%,93,82.2%,82,60%,84,52%,70,63%,99,67%
Lavoy Allen,24.7,PHI,Big,905,19,45.7%,22,46.5%,0,18.2%,39,68.4%,54,68%,63,60%,51,73%,60,100%
Ray Allen,38.3,MIA,Wing,1897,93,56.2%,89,53.3%,67,38.9%,97,91.7%,35,73%,57,52%,47,51%,32,96%
Tony Allen,31.8,MEM,Wing,1271,62,51.6%,89,53.2%,4,25.6%,5,63.0%,67,60%,52,55%,23,69%,2,100%
Al-Farouq Aminu,23.1,NOP,Forward,2032,45,49.1%,64,49.9%,8,27.7%,6,65.9%,55,69%,43,63%,14,79%,5,100%
Lou Amundson,30.9,NOP,Big,165,89,57.1%,88,57.1%,0,0.0%,0,27.3%,27,75%,16,73%,1,100%,0,0%
Chris Andersen,35.3,MIA,Big,1368,98,65.6%,98,66.1%,0,33.3%,49,71.2%,39,72%,22,71%,37,78%,60,100%
Alan Anderson,31.0,BKN,Wing,1622,55,50.2%,39,45.3%,54,36.5%,44,77.4%,52,67%,69,47%,54,49%,66,90%
James Anderson,24.6,PHI,Wing,2289,61,51.3%,88,52.5%,32,33.2%,20,71.8%,23,77%,18,72%,32,59%,62,90%
Ryan Anderson,25.5,NOP,Big,778,65,52.6%,21,46.2%,83,40.0%,100,94.8%,63,66%,97,38%,94,45%,85,98%
Giannis Antetokounmpo,18.9,MIL,Forward,1796,23,45.4%,27,44.0%,21,32.7%,15,68.0%,70,63%,36,64%,64,47%,93,69%
Carmelo Anthony,29.4,NYK,Forward,2971,61,50.6%,43,47.0%,87,40.7%,97,84.9%,98,38%,95,31%,91,28%,91,71%
Joel Anthony,31.2,BOS,Big,128,2,39.1%,2,39.1%,0,0.0%,0,25.0%,92,56%,10,75%,97,40%,0,0%
Pero Antic,31.3,ATL,Big,898,51,50.4%,75,53.8%,39,31.9%,65,75.4%,34,74%,87,51%,76,58%,87,98%
Trevor Ariza,28.3,WAS,Wing,2715,93,56.4%,79,50.7%,87,41.1%,41,77.2%,25,76%,46,59%,40,58%,28,97%
Darrell Arthur,25.6,DEN,Big,1143,7,42.4%,2,39.5%,72,38.7%,96,85.2%,3,87%,49,63%,13,91%,60,100%
Omer Asik,27.3,HOU,Big,929,68,53.0%,69,53.0%,0,0.0%,24,61.0%,74,63%,54,62%,44,75%,0,0%
D.J. Augustin,26.0,CHI,Point,1813,88,52.7%,37,42.6%,96,43.1%,90,88.2%,31,46%,31,36%,37,24%,71,64%
Gustavo Ayon,28.6,ATL,Big,401,38,48.9%,39,48.9%,0,0.0%,0,33.3%,11,80%,4,82%,44,75%,0,0%
Jeff Ayres,26.5,SAS,Big,855,93,59.5%,94,59.5%,0,0.0%,46,70.0%,8,82%,4,83%,36,79%,0,0%
Chris Babb,23.7,BOS,Wing,106,1,30.4%,75,50.0%,2,19.0%,0,0.0%,0,100%,0,100%,0,0%,2,100%
Luke Babbitt,24.4,NOP,Big,453,58,51.7%,5,41.1%,72,38.7%,0,77.8%,31,75%,100,17%,96,41%,60,100%
Leandro Barbosa,30.9,PHX,Combo,366,30,45.3%,74,46.7%,8,26.1%,34,79.5%,60,42%,49,37%,46,27%,2,100%
J.J. Barea,29.3,MIN,Combo,1413,18,44.4%,37,42.7%,24,31.5%,37,79.6%,95,24%,91,17%,82,13%,98,46%
Andrea Bargnani,28.0,NYK,Big,1252,27,47.3%,38,48.7%,17,28.0%,94,82.4%,17,79%,62,60%,24,85%,89,97%
Harrison Barnes,21.4,GSW,Forward,2097,20,45.1%,20,42.4%,31,34.8%,27,72.3%,77,60%,52,58%,77,40%,41,97%
Matt Barnes,33.6,LAC,Forward,1701,75,52.7%,91,55.0%,26,33.8%,39,74.4%,11,84%,14,77%,27,70%,41,97%
Will Barton,22.8,POR,Wing,310,11,42.2%,16,40.9%,26,31.8%,38,76.9%,74,58%,48,58%,88,29%,76,86%
Brandon Bass,28.5,BOS,Big,2263,36,48.8%,37,48.7%,0,40.0%,98,85.8%,80,60%,66,60%,74,61%,100,50%
