Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,26.3,OKC,Big,1680,47,+0.4,19,+3.9,69,-1.3%,93,+2.3%,86,-4.0,78,-1.6,80,-11.2
LaMarcus Aldridge,34.3,SAS,Big,1753,35,+2.2,32,+1.9,93,-4.2%,34,-0.6%,71,-1.8,72,-1.2,53,-1.9
Al-Farouq Aminu,29.1,ORL,Forward,380,92,-7.0,92,-7.4,72,-1.6%,25,-1.0%,91,-4.6,92,-3.3,70,-6.7
Kyle Anderson,26.1,MEM,Forward,1296,77,-3.5,63,-1.5,63,-0.8%,41,-0.3%,58,-0.7,27,+1.2,85,-12.8
Giannis Antetokounmpo,24.9,MIL,Big,1915,98,-10.6,93,-8.4,67,-1.1%,93,+2.2%,76,-2.4,70,-1.1,77,-9.7
Carmelo Anthony,35.4,POR,Big,1897,93,-7.5,58,-1.1,89,-3.3%,92,+1.9%,87,-4.2,94,-3.8,39,+2.5
Trevor Ariza,34.3,SAC,Forward,783,85,-5.3,82,-4.0,72,-1.6%,72,+0.8%,89,-4.4,77,-1.5,89,-16.3
Trevor Ariza,34.3,POR,Wing,701,95,-8.2,93,-8.2,57,-0.4%,84,+1.4%,90,-4.5,45,+0.3,94,-25.9
D.J. Augustin,32.0,ORL,Point,1419,91,-6.8,96,-11.0,15,+3.1%,7,-2.4%,21,+2.3,31,+1.0,24,+8.0
J.J. Barea,35.3,DAL,Point,388,45,+0.8,10,+6.1,35,+1.2%,26,-1.0%,46,+0.1,61,-0.6,28,+6.4
Harrison Barnes,27.4,SAC,Forward,2474,48,+0.3,52,-0.4,48,+0.2%,17,-1.4%,43,+0.3,32,+0.9,65,-5.4
Will Barton,28.8,DEN,Wing,1903,93,-7.1,92,-7.7,41,+0.7%,29,-0.9%,20,+2.5,34,+0.8,24,+8.9
