Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,22.1,TOR,Big,1693,33,1.3%,35,0.9%,76,3.2%,48,7.9%,48,17.7%,44,1.0%,88,45.3%
Steven Adams,28.3,MEM,Big,1997,46,1.5%,74,1.4%,91,2.7%,99,16.2%,66,20.0%,89,8.8%,25,17.7%
Bam Adebayo,24.3,MIA,Big,1822,34,1.3%,93,2.0%,72,3.3%,54,8.4%,79,22.7%,0,0.0%,81,40.7%
Santi Aldama,20.8,MEM,Big,243,52,1.7%,5,0.5%,79,3.1%,40,7.5%,26,14.8%,89,8.7%,21,16.7%
LaMarcus Aldridge,36.3,BKN,Big,1047,69,2.2%,10,0.6%,91,2.8%,38,7.3%,35,15.8%,62,2.9%,38,24.5%
Nickeil Alexander-Walker,23.2,UTA,Wing,112,76,0.9%,72,1.6%,16,4.4%,0,0.0%,83,13.9%,0,0.0%,0,0.0%
Nickeil Alexander-Walker,23.2,NOP,Combo,1298,82,0.8%,44,1.4%,81,2.6%,66,2.4%,55,10.2%,94,5.1%,73,6.7%
Grayson Allen,26.1,MIL,Wing,1786,39,0.5%,19,1.1%,85,2.2%,32,1.8%,46,10.1%,0,0.0%,0,0.0%
Jarrett Allen,23.5,CLE,Big,1802,68,2.1%,48,1.1%,100,2.1%,78,11.3%,69,20.4%,62,3.0%,95,52.5%
Jose Alvarado,23.6,NOP,Point,731,42,0.5%,100,3.4%,14,3.8%,78,3.1%,50,10.5%,0,0.0%,0,0.0%
Justin Anderson,28.0,IND,Forward,260,69,1.2%,44,1.2%,54,3.1%,3,1.2%,72,15.0%,99,12.5%,76,27.3%
Kyle Anderson,28.1,MEM,Forward,1458,91,1.6%,87,2.1%,67,2.7%,71,4.3%,97,18.1%,77,2.7%,100,52.9%
Giannis Antetokounmpo,26.9,MIL,Big,2189,64,2.0%,76,1.4%,76,3.2%,28,6.4%,91,25.9%,55,2.1%,91,48.0%
Thanasis Antetokounmpo,29.3,MIL,Big,359,24,1.1%,82,1.5%,16,5.6%,43,7.7%,10,12.1%,95,13.3%,18,15.4%
Carmelo Anthony,37.4,LAL,Big,1784,39,1.4%,55,1.1%,69,3.4%,5,3.4%,9,11.7%,74,4.4%,15,14.6%
Cole Anthony,21.5,ORL,Point,2044,38,0.4%,8,0.9%,24,3.5%,20,1.5%,90,14.8%,0,0.0%,78,10.1%
OG Anunoby,24.3,TOR,Wing,1722,71,0.8%,87,1.8%,54,3.1%,84,4.2%,57,10.8%,70,2.4%,96,30.8%
Trevor Ariza,36.3,LAL,Forward,453,30,0.7%,40,1.2%,95,2.0%,27,2.2%,80,15.8%,0,0.0%,24,10.5%
D.J. Augustin,34.0,LAL,Combo,357,16,0.1%,12,0.9%,82,2.6%,6,0.9%,4,6.0%,0,0.0%,0,0.0%
D.J. Augustin,34.0,HOU,Point,507,0,0.0%,4,0.9%,96,1.4%,14,1.3%,6,7.2%,0,0.0%,0,0.0%
Deni Avdija,20.8,WAS,Forward,1910,66,1.2%,52,1.3%,19,4.2%,39,2.9%,90,17.0%,57,1.0%,97,40.0%
Deandre Ayton,23.3,PHX,Big,1708,28,1.2%,44,1.0%,80,3.1%,64,9.5%,82,23.3%,51,1.9%,89,45.7%
Udoka Azubuike,22.1,UTA,Big,155,95,3.4%,2,0.3%,29,4.9%,56,8.7%,76,21.7%,0,0.0%,12,14.3%
Marvin Bagley,22.6,DET,Big,488,8,0.7%,60,1.2%,78,3.1%,45,7.8%,42,16.8%,0,0.0%,52,29.2%
Marvin Bagley,22.6,SAC,Big,650,12,0.8%,9,0.6%,92,2.7%,62,9.3%,78,21.8%,82,6.4%,72,36.0%
LaMelo Ball,20.2,CHA,Point,2403,64,0.6%,70,2.0%,16,3.8%,100,4.3%,94,16.0%,80,1.5%,82,12.5%
Lonzo Ball,24.0,CHI,Point,1204,98,1.3%,88,2.3%,52,2.8%,76,3.0%,78,12.2%,0,0.0%,86,20.0%
Mohamed Bamba,23.5,ORL,Big,1795,92,3.3%,26,0.9%,53,4.0%,46,7.8%,70,20.6%,49,1.8%,86,44.1%
Desmond Bane,23.4,MEM,Wing,2262,60,0.7%,82,1.7%,42,3.3%,35,1.9%,62,11.3%,44,0.8%,89,23.0%
Dalano Banton,22.0,TOR,Combo,626,85,0.9%,63,1.6%,35,3.6%,96,5.0%,96,13.9%,85,2.3%,34,2.9%
Harrison Barnes,29.4,SAC,Forward,2581,5,0.3%,16,0.9%,100,1.3%,46,3.2%,56,13.2%,53,0.7%,65,21.4%
Scottie Barnes,20.3,TOR,Forward,2603,57,1.1%,48,1.3%,57,3.0%,96,6.9%,63,14.1%,90,5.3%,50,16.2%
RJ Barrett,21.4,NYK,Wing,2407,19,0.3%,5,0.8%,83,2.3%,57,2.6%,78,13.2%,64,1.8%,86,22.0%
Will Barton,30.8,DEN,Wing,2272,63,0.7%,22,1.1%,94,2.0%,39,2.1%,76,12.8%,45,1.0%,70,14.8%
Charles Bassey,21.0,PHI,Big,124,99,4.6%,51,1.1%,2,7.7%,84,12.1%,85,24.0%,0,0.0%,100,100.0%
Keita Bates-Diop,25.8,SAS,Big,911,10,0.8%,52,1.1%,96,2.4%,31,6.5%,33,15.7%,54,2.0%,34,22.6%
Nicolas Batum,32.9,LAC,Forward,1457,85,1.4%,71,1.8%,83,2.3%,15,1.9%,71,14.7%,0,0.0%,26,10.9%
Kent Bazemore,32.3,LAL,Wing,487,45,0.5%,88,1.8%,3,5.4%,36,2.0%,28,8.9%,0,0.0%,66,12.9%
Darius Bazley,21.4,OKC,Forward,1931,95,1.8%,51,1.3%,99,1.4%,50,3.4%,91,17.1%,83,3.4%,83,28.9%
Bradley Beal,28.3,WAS,Combo,1438,55,0.5%,25,1.1%,79,2.6%,75,2.8%,61,10.3%,0,0.0%,47,3.9%
Malik Beasley,24.9,MIN,Wing,1959,13,0.3%,13,0.9%,99,1.7%,17,1.2%,50,10.3%,0,0.0%,35,8.3%
DeAndre' Bembry,27.3,BKN,Wing,894,94,1.3%,95,2.2%,6,4.8%,89,4.5%,55,10.7%,0,0.0%,65,12.8%
Davis Bertans,29.0,WAS,Forward,489,28,0.6%,29,1.0%,12,4.6%,4,1.3%,27,11.1%,0,0.0%,46,15.4%
Davis Bertans,29.0,DAL,Forward,285,59,1.1%,12,0.8%,30,4.0%,2,1.1%,73,15.1%,100,14.3%,67,22.2%
Patrick Beverley,33.3,MIN,Combo,1473,100,1.8%,78,1.9%,6,4.7%,89,3.8%,84,12.3%,95,5.2%,34,2.9%
Saddiq Bey,22.6,DET,Forward,2684,9,0.3%,38,1.1%,96,1.7%,59,3.7%,50,12.6%,54,0.8%,32,12.0%
Khem Birch,29.1,TOR,Big,988,42,1.4%,69,1.3%,56,4.0%,80,11.7%,12,12.6%,55,2.1%,21,16.3%
Goga Bitadze,22.3,IND,Big,678,85,2.8%,71,1.3%,15,5.6%,77,11.0%,18,13.4%,84,6.5%,46,27.6%
Bismack Biyombo,29.2,PHX,Big,440,91,3.2%,49,1.1%,31,4.8%,91,13.2%,62,18.9%,0,0.0%,74,36.4%
Nemanja Bjelica,33.5,GSW,Big,1093,23,1.1%,85,1.7%,40,4.4%,26,6.2%,55,18.4%,0,0.0%,54,29.5%
Eric Bledsoe,31.9,LAC,Point,1358,68,0.7%,84,2.3%,74,2.4%,50,2.1%,56,10.8%,0,0.0%,28,2.0%
Keljin Blevins,25.9,POR,Combo,258,0,0.0%,83,2.0%,27,3.7%,94,4.7%,10,6.9%,99,12.5%,100,30.4%
Bogdan Bogdanovic,29.2,ATL,Wing,1835,24,0.4%,73,1.6%,53,3.1%,25,1.6%,69,11.8%,76,2.7%,48,9.9%
Bojan Bogdanovic,32.5,UTA,Forward,2121,0,0.0%,5,0.7%,91,2.2%,40,2.9%,17,10.5%,56,0.9%,49,16.1%
Leandro Bolmaro,21.1,MIN,Wing,165,0,0.0%,47,1.3%,14,4.4%,96,7.1%,18,8.3%,0,0.0%,0,0.0%
Devin Booker,25.0,PHX,Wing,2343,49,0.6%,57,1.4%,55,3.0%,37,2.0%,72,12.2%,69,2.3%,19,4.7%
