Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Alex Abrines,24.3,OKC,Wing,106,37,50.0%,6,33%,0,0%,9,0%,0,0%,0,75%,0,25%,0,42%
Steven Adams,24.3,OKC,Big,199,56,58.7%,29,67%,63,44%,0,0%,66,44%,0,0%,0,0%,0,0%
LaMarcus Aldridge,32.3,SAS,Big,175,12,48.1%,29,67%,44,36%,41,33%,51,35%,0,100%,0,50%,0,60%
Al-Farouq Aminu,27.1,POR,Big,130,83,64.4%,61,73%,22,25%,93,67%,61,43%,0,56%,67,38%,88,43%
Giannis Antetokounmpo,22.9,MIL,Forward,279,80,59.2%,80,74%,73,47%,67,41%,67,45%,0,0%,0,31%,0,31%
Carmelo Anthony,33.4,OKC,Big,193,0,41.7%,2,54%,90,56%,41,33%,73,45%,0,67%,0,16%,0,21%
OG Anunoby,20.3,TOR,Forward,237,93,68.3%,67,67%,100,100%,0,0%,100,100%,67,41%,0,57%,83,45%
Trevor Ariza,32.3,HOU,Wing,579,17,45.7%,29,56%,40,33%,0,0%,31,33%,0,30%,9,28%,16,29%
Aron Baynes,30.9,BOS,Big,372,49,56.9%,22,64%,51,38%,22,11%,15,27%,0,60%,0,25%,100,48%
Bradley Beal,24.3,WAS,Wing,215,69,55.1%,43,60%,66,43%,49,34%,51,37%,0,60%,91,45%,91,47%
Marco Belinelli,31.6,PHI,Wing,272,31,48.1%,43,60%,14,14%,66,42%,54,38%,0,33%,39,35%,41,35%
Jordan Bell,22.8,GSW,Big,133,73,61.5%,78,76%,0,0%,12,0%,0,0%,0,0%,0,0%,0,0%
Eric Bledsoe,27.9,MIL,Point,223,46,48.2%,69,65%,69,50%,23,25%,38,36%,0,29%,0,33%,33,32%
Bojan Bogdanovic,28.5,IND,Forward,233,40,48.1%,100,79%,40,33%,13,0%,27,18%,0,36%,56,36%,50,36%
Corey Brewer,31.7,OKC,Wing,151,97,62.0%,57,62%,0,0%,0,0%,0,0%,0,40%,0,100%,0,45%
Malcolm Brogdon,24.9,MIL,Combo,185,38,48.2%,69,67%,25,31%,100,63%,75,43%,0,22%,0,30%,10,26%
Jaylen Brown,21.0,BOS,Wing,581,71,55.3%,51,60%,49,34%,74,47%,60,38%,88,54%,48,36%,66,40%
Alec Burks,26.3,UTA,Wing,112,60,54.4%,66,63%,23,20%,97,67%,31,33%,0,67%,0,36%,97,47%
Jimmy Butler,28.1,MIN,Wing,170,43,50.8%,29,56%,14,14%,89,60%,23,26%,0,40%,0,57%,97,47%
Clint Capela,23.5,HOU,Big,518,93,66.0%,68,74%,10,11%,12,0%,5,11%,0,0%,0,0%,0,0%
Ian Clark,26.7,NOP,Combo,166,69,50.9%,88,75%,75,50%,25,18%,31,35%,0,33%,0,43%,80,39%
Jordan Clarkson,25.4,CLE,Combo,243,0,33.0%,25,54%,19,28%,31,22%,19,26%,0,11%,0,21%,0,18%
