Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,26.3,OKC,Big,1680,73,59.2%,64,59.4%,0,0.0%,11,59.1%,76,67%,64,63%,47,75%,0,0%
Bam Adebayo,22.3,MIA,Big,2414,58,55.8%,49,56.3%,0,15.4%,37,69.0%,64,72%,42,69%,43,77%,99,50%
LaMarcus Aldridge,34.3,SAS,Big,1753,37,53.2%,27,51.8%,81,39.1%,89,82.7%,83,63%,89,51%,72,60%,79,95%
Nickeil Alexander-Walker,21.2,NOP,Combo,534,23,46.9%,6,38.4%,66,36.8%,13,72.4%,35,55%,82,27%,94,0%,14,93%
Grayson Allen,24.1,MEM,Wing,684,88,58.8%,74,54.0%,89,41.7%,72,83.8%,35,79%,18,72%,58,48%,22,98%
Jarrett Allen,21.5,BKN,Big,1838,89,65.1%,89,65.8%,0,0.0%,19,63.9%,32,80%,14,79%,23,88%,0,0%
Al-Farouq Aminu,29.1,ORL,Forward,380,1,34.3%,1,32.0%,7,25.0%,7,65.5%,76,60%,93,40%,53,50%,69,89%
Kyle Anderson,26.1,MEM,Forward,1296,40,51.1%,63,53.8%,16,28.4%,8,66.7%,71,62%,49,63%,59,48%,0,100%
Giannis Antetokounmpo,24.9,MIL,Big,1915,71,59.1%,80,63.1%,30,30.7%,18,63.1%,100,45%,93,48%,99,28%,99,55%
Carmelo Anthony,35.4,POR,Big,1897,11,48.2%,7,44.8%,73,37.8%,94,84.9%,94,53%,100,39%,93,39%,78,95%
OG Anunoby,22.3,TOR,Forward,2062,89,58.3%,85,58.3%,79,39.0%,25,70.6%,41,74%,45,64%,43,63%,39,96%
Ryan Arcidiacono,25.6,CHI,Wing,896,60,53.7%,18,43.4%,81,40.3%,17,71.1%,44,73%,44,60%,81,31%,63,88%
Trevor Ariza,34.3,SAC,Forward,783,49,52.5%,35,48.8%,56,35.5%,43,77.8%,17,84%,64,57%,0,0%,27,98%
Trevor Ariza,34.3,POR,Wing,701,94,59.9%,91,58.9%,84,40.5%,88,87.2%,29,82%,13,77%,48,50%,57,91%
D.J. Augustin,32.0,ORL,Point,1419,20,48.6%,22,44.0%,48,36.1%,93,89.1%,63,36%,59,25%,82,12%,63,63%
Deandre Ayton,21.3,PHX,Big,1235,48,54.8%,46,55.3%,0,23.1%,59,75.3%,48,75%,33,73%,42,78%,18,100%
Dwayne Bacon,24.2,CHA,Wing,660,5,38.4%,5,37.0%,8,27.4%,9,66.0%,79,56%,58,55%,76,33%,65,88%
Marvin Bagley,20.6,SAC,Big,326,10,47.9%,24,51.4%,3,15.0%,90,82.8%,80,65%,67,63%,64,65%,18,100%
Lonzo Ball,22.0,NOP,Combo,2014,73,51.9%,26,44.8%,76,37.9%,4,56.6%,20,63%,41,43%,44,31%,42,82%
Mohamed Bamba,21.5,ORL,Big,859,32,52.4%,32,52.8%,57,35.2%,29,67.4%,76,67%,90,50%,50,73%,18,100%
J.J. Barea,35.3,DAL,Point,388,29,49.1%,27,45.2%,52,36.6%,0,89.5%,90,22%,90,10%,96,6%,86,46%
Harrison Barnes,27.4,SAC,Forward,2474,53,52.6%,45,50.2%,74,38.1%,58,80.2%,72,62%,53,61%,77,33%,76,88%
RJ Barrett,19.4,NYK,Wing,1678,11,44.9%,19,43.7%,20,32.1%,5,61.7%,87,48%,90,37%,82,30%,46,94%
Will Barton,28.8,DEN,Wing,1903,51,51.9%,51,49.9%,55,36.5%,37,76.9%,85,49%,78,46%,87,27%,91,70%
Keita Bates-Diop,23.8,MIN,Big,617,18,50.5%,15,49.1%,54,34.9%,38,69.8%,36,78%,51,68%,70,60%,74,97%
Nicolas Batum,30.9,CHA,Wing,488,9,43.5%,24,45.2%,10,28.3%,0,90.0%,79,56%,94,27%,97,0%,53,92%
Aron Baynes,32.9,PHX,Big,934,56,55.6%,58,57.9%,55,35.1%,56,74.7%,23,82%,48,69%,30,84%,18,100%
Kent Bazemore,30.3,POR,Wing,1077,12,44.9%,6,37.2%,36,34.4%,57,81.4%,53,68%,74,48%,80,32%,43,95%
Kent Bazemore,30.3,SAC,Forward,556,36,50.3%,12,43.8%,89,41.2%,35,75.0%,52,71%,35,66%,85,31%,35,96%
Darius Bazley,19.4,OKC,Big,1072,8,46.4%,4,42.7%,47,34.1%,39,70.7%,53,74%,80,57%,28,85%,89,89%
Bradley Beal,26.3,WAS,Wing,2051,53,52.0%,62,51.3%,44,35.5%,75,84.1%,94,45%,86,43%,81,31%,94,64%
Malik Beasley,22.9,MIN,Wing,462,83,57.3%,63,51.7%,90,42.1%,27,75.0%,42,73%,15,76%,45,53%,79,79%
Malik Beasley,22.9,DEN,Wing,697,32,49.1%,14,41.5%,59,37.2%,84,86.2%,30,82%,31,67%,30,67%,32,96%
Marco Belinelli,33.6,SAS,Wing,833,28,48.3%,12,40.6%,50,36.0%,67,83.0%,8,90%,3,94%,5,89%,60,90%
Jordan Bell,24.8,MIN,Big,205,49,55.0%,63,59.1%,0,16.7%,0,66.7%,51,74%,36,71%,2,100%,18,100%
DeAndre' Bembry,25.3,ATL,Combo,881,55,49.8%,91,55.1%,9,23.8%,2,50.0%,17,65%,9,60%,12,53%,2,100%
Dragan Bender,22.0,GSW,Big,184,19,50.7%,24,51.4%,36,33.3%,0,62.5%,10,86%,8,82%,54,71%,18,100%
Davis Bertans,27.0,WAS,Forward,1570,95,60.3%,27,46.7%,93,42.8%,92,85.2%,9,87%,23,71%,19,82%,63,91%
Patrick Beverley,31.3,LAC,Point,1341,82,55.2%,57,50.0%,78,39.0%,13,67.4%,4,65%,41,33%,37,24%,12,95%
Khem Birch,27.1,ORL,Big,885,32,52.6%,32,53.0%,0,0.0%,25,65.7%,74,68%,74,60%,16,94%,0,0%
Goga Bitadze,20.3,IND,Big,407,13,48.8%,51,56.7%,4,16.7%,0,80.0%,21,82%,42,69%,17,92%,18,100%
Bismack Biyombo,27.2,CHA,Big,1029,43,54.3%,42,54.3%,0,0.0%,12,60.3%,16,83%,7,82%,18,91%,0,0%
Nemanja Bjelica,31.5,SAC,Big,2009,68,58.1%,38,54.1%,95,41.9%,85,82.1%,62,72%,85,54%,77,56%,80,95%
Eric Bledsoe,29.9,MIL,Point,1644,67,52.7%,76,53.0%,30,34.7%,38,79.0%,69,35%,25,37%,59,18%,88,46%
Bogdan Bogdanovic,27.2,SAC,Wing,1752,69,54.7%,73,53.6%,56,36.8%,26,74.1%,73,59%,76,46%,85,28%,72,85%
Bojan Bogdanovic,30.5,UTA,Forward,2082,69,54.8%,31,47.9%,90,41.4%,97,90.3%,61,67%,77,53%,60,47%,81,86%
Isaac Bonga,20.0,WAS,Forward,1192,80,56.7%,83,58.1%,55,35.5%,65,80.7%,67,64%,69,55%,48,59%,0,100%
Devin Booker,23.0,PHX,Wing,2508,64,54.3%,81,54.8%,48,35.8%,98,91.9%,91,46%,72,50%,75,34%,95,61%
Chris Boucher,26.8,TOR,Big,742,43,54.3%,54,56.9%,40,33.6%,72,78.3%,52,74%,74,60%,19,90%,18,100%
Ky Bowman,22.4,GSW,Point,958,16,47.4%,33,47.2%,18,31.3%,45,81.1%,16,52%,12,43%,8,46%,47,73%
Avery Bradley,28.9,LAL,Combo,1184,76,52.7%,76,51.0%,61,36.6%,0,81.8%,3,81%,2,77%,5,72%,17,92%
Tony Bradley,21.8,UTA,Big,613,95,68.6%,90,67.1%,0,100.0%,26,65.7%,63,72%,49,68%,18,92%,18,100%
Mikal Bridges,23.2,PHX,Wing,1999,89,59.0%,94,61.8%,52,36.4%,81,85.6%,26,83%,12,77%,25,74%,21,99%
Miles Bridges,21.6,CHA,Forward,1962,33,49.2%,32,48.3%,41,33.4%,75,81.9%,65,65%,68,56%,73,38%,51,94%
Oshae Brissett,21.4,TOR,Forward,100,4,37.9%,59,53.3%,0,14.3%,0,66.7%,76,60%,79,50%,0,0%,0,100%
Ryan Broekhoff,29.2,DAL,Forward,144,25,48.0%,0,20.0%,45,34.1%,0,87.5%,1,94%,0,0%,3,100%,52,93%
Malcolm Brogdon,26.9,IND,Combo,1665,45,48.9%,58,48.7%,31,32.6%,96,89.2%,95,25%,92,19%,74,19%,97,45%
Dillon Brooks,23.8,MEM,Wing,2111,21,47.7%,20,44.0%,47,35.8%,53,80.8%,58,66%,73,49%,43,56%,62,89%
Bruce Brown,23.2,DET,Combo,1616,38,48.3%,41,46.8%,46,35.1%,23,73.5%,59,48%,39,43%,56,26%,9,97%
Jaylen Brown,23.0,BOS,Wing,1929,76,56.0%,78,54.4%,69,38.7%,22,72.3%,72,60%,62,54%,69,38%,64,88%
