Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,24.1,NYK,Big,181,18,51.2%,29,53.8%,0,0.0%,0,38.5%,76,62%,65,62%,0,0%,0,0%
Bam Adebayo,26.3,MIA,Big,254,24,52.2%,41,55.0%,0,21.4%,0,68.0%,88,55%,29,75%,94,46%,100,67%
Nickeil Alexander-Walker,25.2,MIN,Wing,374,32,47.2%,82,56.7%,14,29.1%,0,100.0%,57,75%,46,60%,75,43%,57,91%
Jarrett Allen,25.5,CLE,Big,126,91,67.6%,91,67.6%,0,0.0%,21,69.2%,3,96%,9,95%,9,100%,0,0%
Jose Alvarado,25.6,NOP,Point,104,7,38.2%,29,46.7%,0,21.1%,0,100.0%,0,73%,0,67%,100,0%,0,100%
Kyle Anderson,30.1,MIN,Forward,227,16,47.4%,32,49.0%,0,25.0%,0,83.3%,60,73%,88,33%,48,83%,0,100%
OG Anunoby,26.3,NYK,Forward,324,96,57.7%,72,55.6%,88,41.0%,0,61.5%,64,71%,56,61%,72,58%,0,100%
Paolo Banchero,21.0,ORL,Big,260,21,51.4%,9,48.1%,59,40.0%,43,75.5%,97,46%,85,52%,97,23%,94,81%
Nicolas Batum,34.9,PHI,Wing,197,96,64.6%,36,44.4%,100,46.9%,0,62.5%,25,84%,100,0%,7,100%,0,100%
Bradley Beal,30.3,PHX,Combo,153,39,52.5%,22,44.4%,84,43.5%,0,80.0%,67,50%,61,45%,56,20%,67,70%
Malik Beasley,26.9,MIL,Combo,126,94,64.1%,100,62.5%,84,43.5%,0,0.0%,6,80%,6,100%,28,43%,0,100%
Patrick Beverley,35.3,MIL,Wing,209,25,46.2%,29,42.9%,0,36.4%,0,91.7%,86,44%,86,40%,96,14%,0,100%
Devin Booker,27.0,PHX,Point,165,86,54.6%,93,55.6%,53,35.0%,86,95.1%,50,44%,93,21%,7,64%,64,57%
Christian Braun,22.5,DEN,Wing,202,29,46.3%,57,52.8%,4,22.2%,0,68.8%,29,83%,11,75%,7,100%,0,100%
Jaylen Brown,27.0,BOS,Wing,706,86,57.4%,100,60.7%,43,33.0%,0,66.0%,75,55%,43,62%,86,34%,93,69%
Jalen Brunson,27.2,NYK,Point,517,21,48.4%,36,48.8%,27,31.3%,29,77.5%,86,21%,57,26%,79,11%,71,46%
Alec Burks,32.3,NYK,Wing,114,100,64.8%,86,57.1%,93,45.8%,50,82.8%,46,78%,61,50%,32,88%,75,82%
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,39,50.0%,54,51.6%,39,32.7%,0,100.0%,32,82%,61,50%,54,70%,0,100%
Wendell Carter,24.5,ORL,Big,185,3,48.9%,35,54.5%,18,29.2%,0,72.7%,35,79%,50,67%,59,67%,35,100%
Amir Coffey,26.4,LAC,Forward,102,4,38.6%,8,36.4%,0,27.3%,0,0.0%,24,86%,92,0%,4,100%,0,100%
Mike Conley,36.1,MIN,Point,472,57,53.5%,21,46.4%,87,40.0%,0,71.4%,29,52%,14,50%,57,33%,36,63%
Pat Connaughton,30.8,MIL,Wing,122,39,50.0%,86,57.1%,0,27.3%,0,100.0%,100,36%,96,14%,100,0%,0,100%
Anthony Davis,30.6,LAL,Big,248,62,59.6%,71,62.5%,0,0.0%,64,80.6%,68,66%,38,71%,74,58%,0,0%
Donte DiVincenzo,26.7,NYK,Wing,465,79,54.2%,25,41.7%,82,42.9%,67,86.2%,43,79%,39,69%,57,67%,61,87%
Luka Doncic,24.7,DAL,Point,898,36,52.1%,86,53.6%,40,32.2%,14,76.8%,93,17%,64,26%,93,6%,93,29%
Luguentz Dort,24.5,OKC,Wing,349,39,50.0%,7,29.6%,71,39.1%,0,84.2%,4,94%,32,71%,7,100%,0,100%
Kevin Durant,35.1,PHX,Big,167,53,59.0%,53,58.2%,0,41.7%,79,82.4%,100,35%,68,60%,100,14%,97,80%
Anthony Edwards,22.2,MIN,Combo,647,61,55.6%,50,52.6%,63,40.4%,33,81.4%,89,29%,94,32%,67,13%,89,43%
Joel Embiid,29.6,PHI,Big,286,6,49.3%,6,46.7%,53,37.5%,93,86.4%,71,65%,94,47%,76,58%,35,100%
Dante Exum,28.3,DAL,Wing,117,0,40.3%,11,36.8%,18,29.4%,0,66.7%,82,50%,93,33%,89,25%,79,80%
Daniel Gafford,25.1,DAL,Big,445,85,63.4%,74,63.4%,0,0.0%,7,63.1%,29,82%,18,81%,9,100%,0,0%
Darius Garland,23.8,CLE,Point,426,43,52.1%,43,49.0%,60,36.8%,0,81.0%,71,34%,86,22%,36,40%,79,40%
Paul George,33.5,LAC,Forward,222,32,50.5%,16,45.7%,54,36.7%,0,84.0%,92,51%,52,63%,88,38%,96,56%
Josh Giddey,21.1,OKC,Forward,179,68,54.1%,64,53.7%,46,36.4%,0,87.5%,52,76%,60,57%,60,75%,0,100%
Shai Gilgeous-Alexander,25.3,OKC,Point,396,64,53.6%,64,51.4%,100,43.2%,43,80.8%,100,15%,79,23%,86,9%,100,25%
Rudy Gobert,31.3,MIN,Big,510,76,61.5%,65,61.5%,0,0.0%,14,67.5%,59,73%,35,74%,50,71%,0,0%
Aaron Gordon,28.1,DEN,Big,444,82,63.1%,76,63.7%,65,40.7%,71,82.1%,62,71%,59,65%,53,70%,35,100%
Eric Gordon,34.9,PHX,Wing,116,18,44.6%,4,18.2%,79,41.2%,0,87.5%,50,78%,61,50%,0,0%,64,86%
Josh Green,23.0,DAL,Forward,378,72,55.4%,52,52.0%,79,37.9%,0,70.6%,40,83%,68,55%,84,50%,0,100%
Rui Hachimura,25.7,LAL,Forward,185,60,53.4%,20,46.4%,92,43.8%,0,50.0%,32,85%,8,90%,64,67%,84,86%
Tyrese Haliburton,23.7,IND,Point,521,100,61.6%,100,69.3%,80,38.7%,0,84.2%,36,50%,29,44%,50,36%,57,58%
Tim Hardaway Jr.,31.6,DAL,Wing,161,11,42.0%,29,42.9%,11,27.6%,0,50.0%,32,82%,0,100%,39,80%,86,75%
James Harden,34.2,LAC,Combo,241,67,55.7%,44,52.4%,42,38.3%,83,90.6%,94,20%,11,67%,83,11%,94,22%
