Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Shareef Abdur-Rahim,29.9,SAC,Big,1996,38,47.8%,44,48.5%,3,15.8%,65,73.2%,86,55%,72,55%,81,53%,70,100%
Hassan Adams,22.4,BKN,Wing,448,90,54.8%,97,55.2%,0,0.0%,7,62.5%,17,77%,11,72%,2,93%,0,0%
Maurice Ager,22.7,DAL,Wing,158,1,34.7%,5,35.9%,0,20.0%,0,62.5%,100,31%,96,20%,90,33%,98,50%
LaMarcus Aldridge,21.3,POR,Big,1342,48,49.8%,53,50.0%,0,0.0%,61,72.2%,42,69%,66,56%,18,83%,0,0%
Malik Allen,28.3,CHI,Big,572,12,41.3%,13,41.3%,0,0.0%,0,75.0%,35,71%,95,39%,29,78%,0,0%
Ray Allen,31.3,OKC,Wing,2214,68,51.2%,54,47.9%,57,37.8%,97,90.3%,85,47%,95,23%,88,35%,89,81%
Tony Allen,24.8,BOS,Wing,772,80,52.8%,96,55.0%,7,25.0%,41,77.9%,84,48%,81,44%,62,50%,73,88%
Rafer Alston,30.3,HOU,Point,3027,53,47.0%,9,38.9%,70,36.4%,18,73.4%,34,54%,30,37%,87,13%,57,80%
Alan Anderson,24.0,CHA,Wing,242,83,53.4%,93,53.3%,0,35.7%,0,81.0%,82,49%,99,16%,13,77%,6,100%
Derek Anderson,32.3,CHA,Wing,1172,77,52.6%,81,50.7%,49,36.2%,91,87.7%,26,73%,21,62%,50,55%,61,93%
Carmelo Anthony,22.4,DEN,Wing,2479,49,49.2%,75,49.9%,14,28.3%,65,80.8%,63,60%,18,63%,59,52%,69,90%
Rafael Araujo,26.2,UTA,Big,193,14,42.2%,15,42.2%,0,0.0%,0,75.0%,45,68%,37,67%,49,70%,0,0%
Gilbert Arenas,24.8,WAS,Combo,2935,64,48.3%,71,45.9%,48,35.3%,71,84.2%,75,35%,70,26%,77,24%,89,58%
Trevor Ariza,21.3,ORL,Wing,1230,86,54.2%,95,54.7%,0,0.0%,5,61.1%,70,58%,48,54%,22,70%,0,0%
Darrell Armstrong,38.4,IND,Combo,1236,89,51.9%,91,50.3%,50,35.4%,33,78.5%,30,58%,23,51%,48,38%,71,75%
Hilton Armstrong,21.9,NOP,Big,546,68,52.8%,68,52.8%,0,0.0%,26,61.4%,81,57%,45,64%,95,36%,0,0%
Carlos Arroyo,27.3,ORL,Point,1255,26,44.8%,47,44.8%,13,29.5%,38,79.8%,91,24%,38,31%,79,16%,26,92%
Chucky Atkins,32.2,MEM,Point,2050,85,52.1%,68,47.7%,87,38.9%,53,81.2%,72,36%,94,8%,81,15%,70,77%
Kelenna Azubuike,22.9,GSW,Wing,595,76,52.4%,26,43.5%,99,44.9%,30,75.0%,57,64%,69,47%,87,36%,40,97%
Renaldo Balkman,22.3,NYK,Forward,998,86,52.5%,92,54.6%,7,20.8%,7,55.8%,75,62%,43,60%,71,57%,8,100%
Marcus Banks,25.0,PHX,Combo,447,36,44.7%,84,48.3%,0,13.6%,52,81.1%,48,47%,34,46%,27,47%,84,67%
Leandro Barbosa,23.9,PHX,Combo,2570,98,56.8%,93,50.5%,98,44.5%,74,84.3%,20,62%,13,56%,55,33%,38,88%
J.J. Barea,22.3,DAL,Combo,112,39,44.8%,13,40.0%,0,38.5%,0,76.9%,82,32%,80,18%,95,0%,59,80%
Andrea Bargnani,21.0,TOR,Big,1594,55,50.8%,30,46.7%,72,37.6%,94,84.1%,14,78%,35,67%,44,73%,94,91%
Matt Barnes,26.6,GSW,Forward,1735,71,51.6%,65,49.7%,52,36.1%,50,76.1%,20,80%,14,73%,67,60%,53,97%
Earl Barron,25.2,MIA,Big,128,1,31.4%,2,31.4%,0,0.0%,0,83.3%,44,69%,18,71%,55,67%,0,0%
Brent Barry,34.8,SAS,Wing,1528,100,61.4%,94,53.6%,97,43.4%,93,88.3%,2,89%,1,83%,34,65%,35,97%
Brandon Bass,21.5,NOP,Big,109,1,30.8%,3,32.0%,0,0.0%,0,75.0%,64,63%,85,50%,35,75%,0,0%
Maceo Baston,30.4,IND,Big,358,99,67.9%,99,67.2%,0,50.0%,93,83.3%,31,72%,18,71%,66,63%,70,100%
Tony Battie,30.7,ORL,Big,1566,44,48.9%,48,49.0%,0,0.0%,42,67.5%,25,74%,32,68%,29,79%,0,0%
Shane Battier,28.1,HOU,Forward,2976,96,56.9%,53,48.0%,93,42.3%,57,77.5%,49,71%,92,43%,92,38%,49,97%
Charlie Bell,27.6,MIL,Wing,2807,53,50.0%,64,48.3%,41,35.2%,42,78.3%,49,66%,36,57%,54,53%,64,92%
Raja Bell,30.1,PHX,Wing,2905,87,54.3%,35,45.2%,90,41.6%,36,77.0%,10,79%,38,57%,32,65%,44,96%
Mike Bibby,28.5,SAC,Point,2775,60,48.0%,36,43.3%,67,36.3%,71,82.9%,15,59%,45,29%,25,45%,32,89%
Andris Biedrins,20.6,GSW,Big,2372,94,59.9%,95,59.9%,0,0.0%,11,52.1%,32,71%,18,72%,51,69%,0,0%
Chauncey Billups,30.1,DET,Point,2527,70,49.3%,72,47.7%,50,34.5%,84,88.5%,77,33%,58,27%,57,25%,98,49%
Steve Blake,26.7,DEN,Point,1617,72,49.7%,79,48.7%,48,34.3%,13,72.7%,21,57%,40,30%,23,47%,19,96%
Steve Blake,26.7,MIL,Point,555,19,42.9%,11,39.7%,20,30.2%,0,55.6%,2,76%,2,67%,4,75%,60,79%
Will Blalock,23.1,DET,Point,154,0,30.4%,0,29.2%,0,25.0%,0,100.0%,40,50%,15,50%,100,0%,8,100%
Andray Blatche,20.2,WAS,Big,623,28,45.7%,45,48.7%,10,17.4%,31,62.5%,92,51%,89,47%,82,50%,70,100%
Mark Blount,30.9,MIN,Big,2539,60,51.4%,64,51.7%,24,29.0%,68,75.4%,5,83%,22,70%,10,90%,70,100%
Keith Bogans,26.5,ORL,Wing,957,75,52.4%,27,43.6%,78,39.5%,31,75.4%,32,72%,80,44%,62,50%,54,94%
Andrew Bogut,21.9,MIL,Big,2250,81,55.6%,80,55.7%,0,25.0%,18,58.1%,87,55%,67,56%,86,49%,70,100%
Matt Bonner,26.6,SAS,Big,507,49,50.0%,47,49.0%,52,34.2%,54,69.0%,41,69%,97,36%,53,68%,70,100%
Josh Boone,21.9,BKN,Big,608,86,57.0%,86,57.0%,0,0.0%,14,54.9%,17,76%,8,76%,18,83%,0,0%
Calvin Booth,30.5,WAS,Big,365,49,50.0%,43,48.4%,0,100.0%,0,60.0%,1,90%,3,79%,1,100%,70,100%
Carlos Boozer,24.9,UTA,Big,2541,81,56.2%,81,56.2%,0,0.0%,50,68.4%,39,70%,25,70%,47,70%,0,0%
Chris Bosh,22.6,TOR,Big,2652,52,50.0%,56,50.2%,41,32.4%,81,78.5%,79,58%,74,55%,73,59%,94,91%
Bruce Bowen,35.4,SAS,Wing,2456,57,50.3%,22,42.7%,68,38.7%,2,58.9%,1,90%,9,75%,6,85%,6,100%
Earl Boykins,30.4,DEN,Point,865,49,46.9%,34,43.2%,76,37.3%,96,90.7%,60,39%,34,33%,70,21%,64,78%
Earl Boykins,30.4,MIL,Point,1141,74,49.7%,28,42.7%,96,42.9%,87,88.6%,62,39%,75,20%,74,20%,66,78%
Cedric Bozeman,23.7,ATL,Combo,184,2,29.4%,4,30.4%,0,18.2%,0,33.3%,11,67%,25,50%,0,100%,0,100%
Elton Brand,27.6,LAC,Big,3071,71,53.2%,69,53.2%,0,0.0%,71,76.1%,66,62%,76,55%,57,67%,0,0%
Ronnie Brewer,21.6,UTA,Wing,608,93,55.2%,99,57.2%,0,0.0%,18,70.0%,21,76%,13,70%,1,95%,0,0%
Primoz Brezec,27.1,CHA,Big,827,22,44.8%,21,44.6%,0,50.0%,32,63.2%,29,73%,58,58%,18,83%,70,100%
Andre Brown,25.5,OKC,Big,224,82,56.3%,82,56.3%,0,0.0%,0,61.5%,14,78%,5,78%,31,78%,0,0%
Dee Brown,22.2,UTA,Point,372,4,38.5%,8,37.5%,4,27.3%,0,62.5%,30,56%,15,50%,26,43%,51,83%
Devin Brown,27.8,NOP,Combo,1613,80,50.1%,77,46.7%,65,36.7%,38,79.2%,25,59%,39,42%,32,43%,29,91%
Kwame Brown,24.6,LAL,Big,1129,93,59.2%,93,59.2%,0,0.0%,4,44.0%,64,63%,28,69%,96,33%,0,0%
P.J. Brown,37.0,CHI,Big,1443,10,41.1%,11,41.1%,0,0.0%,82,78.7%,10,79%,43,65%,16,86%,0,0%
Shannon Brown,20.9,CLE,Wing,160,6,40.7%,24,43.2%,5,23.5%,0,50.0%,53,65%,58,50%,27,67%,6,100%
Kobe Bryant,28.2,LAL,Wing,3136,62,50.5%,73,49.8%,43,35.2%,88,86.8%,94,40%,87,33%,86,36%,96,64%
Greg Buckner,30.1,DAL,Wing,1278,25,47.1%,40,46.2%,25,32.6%,51,79.4%,38,69%,30,59%,52,55%,6,100%
Pat Burke,32.9,PHX,Big,119,3,32.9%,7,38.7%,0,10.0%,0,70.0%,16,77%,5,78%,55,67%,70,100%
Caron Butler,26.6,WAS,Wing,2458,30,47.5%,59,48.0%,11,25.8%,85,86.5%,88,45%,62,50%,79,40%,95,69%
Rasual Butler,27.4,NOP,Wing,2159,40,48.3%,16,42.2%,51,36.9%,10,64.7%,33,71%,40,56%,56,53%,55,94%
Andrew Bynum,19.0,LAL,Big,1773,80,55.5%,81,55.8%,0,0.0%,41,67.0%,55,66%,23,70%,76,56%,0,0%
Jose Calderon,25.1,TOR,Point,1582,94,54.9%,96,55.3%,43,34.3%,58,81.6%,96,21%,91,12%,62,23%,91,58%
Marcus Camby,32.6,DEN,Big,2360,34,47.3%,35,47.4%,0,0.0%,64,72.9%,42,69%,57,59%,25,81%,0,0%
Brian Cardinal,29.5,MEM,Forward,307,100,59.5%,98,57.5%,89,40.9%,100,92.6%,8,83%,59,56%,4,86%,65,94%
Rodney Carney,22.6,PHI,Forward,1110,45,49.4%,57,48.5%,41,35.4%,9,62.8%,45,72%,37,63%,27,73%,61,96%
Matt Carroll,26.2,CHA,Wing,1851,71,51.6%,30,44.0%,92,41.8%,98,90.6%,9,81%,31,59%,17,75%,36,97%
Vince Carter,29.8,BKN,Wing,3116,58,50.3%,69,49.1%,47,36.0%,59,80.2%,78,53%,75,45%,69,45%,88,81%
Sam Cassell,37.0,LAC,Point,1404,25,44.5%,42,44.4%,15,29.6%,80,87.9%,74,33%,83,16%,49,28%,49,84%
Tyson Chandler,24.1,NOP,Big,2520,97,62.4%,97,62.4%,0,0.0%,12,52.7%,95,47%,82,53%,99,18%,0,0%
Josh Childress,23.4,ATL,Wing,1987,81,52.9%,92,52.9%,40,35.2%,53,79.5%,71,56%,57,51%,44,59%,6,100%
Speedy Claxton,28.5,ATL,Point,1050,2,34.6%,2,34.0%,4,27.3%,0,54.2%,70,37%,79,17%,34,40%,51,83%
Jarron Collins,27.9,UTA,Big,896,18,43.6%,19,43.6%,0,0.0%,37,65.1%,30,72%,21,70%,35,75%,0,0%
Jason Collins,27.9,BKN,Big,1841,5,36.7%,5,36.9%,0,0.0%,7,46.5%,18,76%,23,70%,12,89%,0,0%
Mardy Collins,22.2,NYK,Wing,720,9,42.4%,13,41.1%,22,31.7%,3,59.7%,98,34%,97,20%,90,33%,80,85%
Nick Collison,26.0,OKC,Big,2372,49,50.0%,55,50.2%,0,0.0%,79,77.4%,56,66%,47,64%,49,70%,0,0%
Brian Cook,25.9,LAL,Big,1012,56,51.1%,38,47.6%,86,40.0%,62,72.3%,15,77%,52,62%,42,73%,70,100%
Jamal Crawford,26.6,NYK,Wing,2165,21,46.4%,33,44.7%,28,33.1%,77,83.5%,96,37%,93,29%,100,14%,92,77%
Austin Croshere,31.5,DAL,Big,615,13,41.6%,14,41.9%,21,27.0%,92,82.9%,36,70%,65,57%,68,62%,92,95%
Eddy Curry,23.9,NYK,Big,2841,89,57.6%,90,57.6%,0,100.0%,27,61.5%,60,65%,25,69%,88,48%,70,100%
Samuel Dalembert,26.5,PHI,Big,2528,74,54.2%,75,54.3%,0,0.0%,67,74.8%,46,68%,21,71%,62,64%,0,0%
Erick Dampier,31.3,DAL,Big,1900,97,62.8%,97,62.8%,0,0.0%,30,62.4%,51,67%,31,68%,79,55%,0,0%
Antonio Daniels,31.6,WAS,Point,1726,43,46.6%,60,46.6%,22,31.1%,64,82.2%,64,39%,23,41%,51,28%,79,68%
Marquis Daniels,25.8,IND,Wing,772,27,47.4%,72,49.4%,1,20.8%,17,69.9%,91,42%,46,55%,95,25%,90,80%
