Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Quincy Acy,24.1,NYK,Big,1179,34,48.3%,39,49.2%,15,28.3%,81,79.0%,29,75%,52,63%,25,83%,48,100%
Jordan Adams,20.3,MEM,Wing,185,24,45.8%,29,42.9%,46,35.3%,0,64.3%,52,67%,33,64%,63,43%,2,100%
Steven Adams,21.3,OKC,Big,1767,74,54.5%,76,54.7%,0,0.0%,9,50.2%,67,65%,42,66%,72,63%,0,0%
Jeff Adrien,28.7,MIN,Big,189,3,41.0%,5,41.0%,0,0.0%,13,53.6%,75,63%,88,50%,24,83%,0,0%
Arron Afflalo,29.0,DEN,Wing,1746,48,49.2%,66,48.1%,33,34.0%,77,84.1%,51,67%,55,54%,49,54%,25,98%
Arron Afflalo,29.0,POR,Wing,747,55,50.0%,32,43.3%,85,40.2%,80,85.1%,44,70%,9,79%,62,46%,56,91%
Alexis Ajinca,26.5,NOP,Big,873,75,54.6%,74,54.6%,0,0.0%,83,80.0%,83,61%,61,61%,77,60%,0,0%
Furkan Aldemir,23.2,PHI,Big,488,35,48.5%,63,52.4%,0,0.0%,0,43.5%,96,52%,92,45%,2,100%,0,0%
Cole Aldrich,26.0,NYK,Big,915,35,48.6%,36,48.6%,0,0.0%,74,77.6%,62,66%,23,70%,76,61%,0,0%
LaMarcus Aldridge,29.3,POR,Big,2508,31,48.0%,28,47.5%,64,37.0%,96,84.5%,98,49%,94,43%,94,48%,92,92%
Lavoy Allen,25.7,IND,Big,1025,28,47.5%,30,47.5%,0,0.0%,54,71.7%,63,66%,95,41%,11,92%,0,0%
Tony Allen,32.8,MEM,Wing,1631,67,50.9%,86,50.8%,38,34.5%,5,62.1%,64,62%,43,60%,35,60%,2,100%
Al-Farouq Aminu,24.1,DAL,Forward,1277,24,44.8%,43,47.2%,18,26.7%,32,70.3%,31,76%,13,73%,59,50%,0,100%
Lou Amundson,31.9,NYK,Big,856,8,43.4%,9,43.4%,0,0.0%,3,46.3%,58,67%,73,58%,24,83%,0,0%
Chris Andersen,36.3,MIA,Big,1127,94,59.8%,95,59.8%,0,40.0%,38,66.7%,18,79%,8,79%,42,77%,48,100%
Alan Anderson,32.0,BKN,Wing,1713,84,53.9%,92,53.1%,63,36.5%,59,81.0%,60,64%,48,58%,60,47%,79,82%
Kyle Anderson,21.1,SAS,Wing,316,10,40.1%,13,39.4%,0,30.0%,0,66.7%,87,45%,56,54%,90,23%,2,100%
Ryan Anderson,26.5,NOP,Big,1653,34,48.5%,19,46.0%,44,33.9%,97,85.3%,81,61%,98,38%,97,38%,91,94%
Giannis Antetokounmpo,19.9,MIL,Forward,2507,65,50.6%,74,51.2%,12,24.1%,49,74.3%,93,53%,57,57%,76,42%,91,86%
Carmelo Anthony,30.4,NYK,Forward,1424,50,48.5%,46,47.4%,52,35.1%,68,79.7%,100,45%,89,37%,83,39%,96,79%
Joel Anthony,32.2,DET,Big,367,84,56.9%,84,56.9%,0,0.0%,0,66.7%,50,70%,15,75%,85,56%,0,0%
Pero Antic,32.3,ATL,Big,1015,21,46.2%,24,46.7%,27,30.4%,53,71.5%,7,85%,59,62%,8,94%,48,100%
Trevor Ariza,29.3,HOU,Forward,2924,67,51.1%,54,48.6%,54,35.1%,95,85.3%,28,77%,33,64%,81,40%,67,93%
Darrell Arthur,26.6,DEN,Forward,959,15,44.3%,48,47.6%,10,24.0%,66,78.9%,13,82%,72,53%,9,88%,59,96%
Omer Asik,28.3,NOP,Big,1975,56,51.7%,58,51.7%,0,0.0%,18,58.3%,52,69%,26,69%,90,50%,0,0%
D.J. Augustin,27.0,DET,Point,1261,53,47.4%,55,45.4%,50,34.0%,90,87.0%,92,22%,74,20%,95,3%,90,50%
D.J. Augustin,27.0,OKC,Point,624,50,47.4%,15,39.8%,67,36.4%,73,84.4%,11,51%,31,35%,48,19%,37,75%
Jeff Ayres,27.5,SAS,Big,274,86,57.4%,86,57.4%,0,0.0%,0,80.0%,32,74%,27,69%,14,90%,0,0%
Luke Babbitt,25.4,NOP,Forward,748,94,60.9%,15,41.2%,98,49.1%,0,70.6%,11,83%,100,20%,33,67%,0,100%
Leandro Barbosa,31.9,GSW,Combo,863,94,54.6%,94,51.3%,92,41.5%,28,74.6%,8,73%,5,72%,14,53%,28,92%
J.J. Barea,30.3,DAL,Combo,1236,37,46.0%,60,46.4%,26,30.1%,44,80.0%,95,26%,91,19%,85,13%,86,66%
Andrea Bargnani,29.0,NYK,Big,768,24,46.9%,18,45.8%,58,36.6%,86,81.3%,42,72%,96,38%,36,78%,48,100%
Harrison Barnes,22.4,GSW,Forward,2240,81,54.4%,80,51.8%,80,39.9%,34,70.6%,44,72%,24,68%,57,51%,37,99%
Matt Barnes,34.6,LAC,Wing,2248,88,55.0%,96,56.3%,53,36.1%,47,78.5%,12,85%,17,71%,14,75%,21,99%
Earl Barron,33.2,PHX,Big,117,2,40.0%,1,33.3%,0,66.7%,0,50.0%,1,91%,100,0%,2,100%,48,100%
Will Barton,23.8,DEN,Wing,630,60,50.4%,90,52.1%,20,30.5%,53,80.3%,84,50%,66,49%,73,34%,82,78%
Will Barton,23.8,POR,Wing,246,9,39.2%,19,41.2%,0,18.2%,0,64.3%,44,70%,15,74%,35,60%,98,50%
Brandon Bass,29.5,BOS,Big,1917,51,51.3%,56,51.5%,22,30.0%,81,79.0%,48,70%,39,66%,52,72%,48,100%
Nicolas Batum,25.9,POR,Wing,2376,42,48.4%,67,48.1%,26,32.4%,83,85.7%,56,65%,33,64%,60,47%,83,77%
Jerryd Bayless,26.2,MIL,Combo,1692,43,46.5%,58,46.2%,39,31.6%,94,88.0%,48,50%,34,45%,40,37%,14,97%
Aron Baynes,27.9,SAS,Big,1077,84,56.8%,85,57.0%,0,25.0%,97,86.7%,15,81%,14,76%,12,91%,48,100%
Kent Bazemore,25.3,ATL,Wing,1235,74,51.7%,60,47.5%,73,38.7%,1,59.2%,33,74%,36,63%,29,64%,40,93%
Bradley Beal,21.3,WAS,Wing,2097,47,48.9%,33,43.3%,91,41.2%,45,78.2%,59,64%,40,61%,52,50%,74,86%
Michael Beasley,25.8,MIA,Big,495,12,44.7%,22,46.3%,7,24.2%,69,76.9%,100,42%,97,38%,99,35%,48,100%
Marco Belinelli,28.6,SAS,Combo,1336,89,51.9%,71,47.3%,75,37.7%,78,84.8%,3,75%,8,70%,5,59%,26,93%
