Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Isaiah Roby,22.7,OKC,Big,1353,30,-1.9%,22,-2.7%,14,-4.5%,39,-1.8%,17,-3.7%,59,+1.5%,37,-1.1%,46,-0.6%
Talen Horton-Tucker,19.9,LAL,Combo,1204,38,-1.2%,33,-1.7%,43,-0.7%,67,+2.2%,57,+0.6%,16,-6.7%,19,-2.9%,12,-4.0%
Ignas Brazdeikis,21.8,ORL,Big,199,100,+10.9%,100,+15.6%,95,+7.1%,11,-6.9%,70,+1.7%,87,+6.3%,100,+12.3%,100,+10.3%
Terance Mann,24.0,LAC,Wing,1131,27,-2.1%,14,-4.2%,28,-2.4%,73,+3.1%,47,-0.1%,19,-5.8%,51,-0.1%,29,-1.9%
Tremont Waters,22.8,BOS,Point,163,4,-5.5%,18,-3.4%,5,-8.2%,42,-1.3%,6,-6.2%,6,-10.5%,15,-3.9%,8,-5.6%
Jalen McDaniels,22.8,CHA,Forward,836,22,-2.4%,35,-1.6%,84,+4.1%,56,+0.6%,85,+3.1%,12,-7.9%,12,-4.5%,8,-5.2%
Kyle Guy,23.2,SAC,Wing,205,40,-1.1%,38,-1.3%,1,-11.5%,98,+10.8%,8,-5.8%,13,-7.6%,86,+3.0%,58,+0.4%
Jordan Bone,23.0,ORL,Point,155,20,-2.6%,100,+13.5%,93,+6.3%,3,-11.2%,24,-2.6%,13,-7.7%,8,-5.5%,7,-5.8%
Matt Thomas,26.2,TOR,Wing,162,16,-3.1%,88,+4.3%,63,+1.3%,78,+4.1%,80,+2.5%,75,+3.6%,2,-9.4%,3,-7.0%
Terence Davis,23.5,TOR,Wing,471,33,-1.6%,30,-2.1%,43,-0.7%,30,-2.9%,33,-1.5%,37,-2.0%,39,-1.0%,38,-1.2%
Terence Davis,23.5,SAC,Wing,574,12,-3.5%,44,-0.7%,4,-8.2%,25,-4.0%,4,-7.1%,2,-14.1%,51,-0.1%,20,-2.8%
Miye Oni,23.2,UTA,Wing,400,64,+0.8%,68,+1.8%,97,+9.3%,15,-5.9%,98,+8.1%,34,-2.5%,27,-1.8%,28,-2.0%
Vlatko Cancar,23.6,DEN,Forward,188,4,-5.5%,37,-1.4%,54,+0.4%,37,-2.1%,43,-0.4%,77,+3.9%,0,-12.4%,1,-9.3%
Amir Coffey,23.4,LAC,Wing,282,1,-9.5%,5,-7.4%,2,-11.3%,8,-8.1%,1,-10.1%,5,-11.0%,4,-7.4%,2,-8.5%
Juan Toscano-Anderson,27.6,GSW,Big,1036,72,+1.3%,64,+1.5%,49,+0.1%,25,-3.9%,34,-1.3%,29,-3.8%,78,+2.1%,64,+0.7%
DaQuan Jeffries,23.2,SAC,Wing,214,71,+1.2%,81,+3.3%,15,-4.4%,81,+4.5%,27,-2.1%,28,-4.1%,57,+0.3%,43,-0.9%
DaQuan Jeffries,23.2,HOU,Big,228,24,-2.3%,29,-2.2%,41,-0.9%,64,+1.6%,53,+0.3%,41,-1.2%,19,-3.0%,21,-2.7%
Javonte Green,27.3,BOS,Wing,313,7,-4.2%,51,+0.1%,3,-8.8%,45,-1.1%,6,-6.2%,100,+18.5%,5,-7.1%,18,-2.9%
Javonte Green,27.3,CHI,Combo,110,100,+10.3%,96,+7.2%,82,+3.7%,19,-5.3%,53,+0.3%,100,+27.4%,99,+8.8%,100,+12.5%
Caleb Martin,25.1,CHA,Wing,734,42,-0.9%,39,-1.2%,71,+2.3%,33,-2.5%,56,+0.6%,15,-6.8%,51,-0.0%,31,-1.7%
Garrison Mathews,24.0,WAS,Wing,981,54,+0.0%,68,+1.8%,29,-2.3%,47,-0.9%,29,-1.8%,68,+2.5%,60,+0.6%,68,+1.1%
