Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Alex Abrines,24.3,OKC,Wing,106,88,+11.4,34,-1.2,75,+1.9%,41,-5.2,3,-2.7,21,-8.8%,18,-36.9,89,+2.6,54,+1.2%,85,+31.1
Steven Adams,24.3,OKC,Big,199,83,+10.6,85,+3.1,47,+0.4%,65,+7.3,89,+2.1,63,+4.7%,78,+29.9,63,+0.8,86,+6.6%,52,0.0
LaMarcus Aldridge,32.3,SAS,Big,175,60,+4.3,18,-3.0,62,+1.1%,35,-8.4,29,-0.7,1,-28.2%,75,+25.0,21,-2.3,80,+4.8%,12,-39.3
Al-Farouq Aminu,27.1,POR,Big,130,15,-8.9,23,-2.8,92,+3.9%,27,-14.9,76,+1.0,52,+1.1%,67,+17.1,6,-3.4,92,+9.6%,15,-31.0
Giannis Antetokounmpo,22.9,MIL,Forward,279,74,+8.3,100,+9.6,82,+2.5%,99,+56.3,98,+3.6,10,-15.0%,98,+68.3,98,+6.0,97,+13.8%,96,+52.1
Carmelo Anthony,33.4,OKC,Big,193,1,-18.0,2,-5.7,44,+0.0%,10,-27.0,19,-1.4,84,+12.3%,42,-7.1,1,-5.4,61,+2.8%,4,-58.9
Trevor Ariza,32.3,HOU,Wing,579,60,+4.2,91,+4.7,35,-0.8%,90,+29.5,58,+0.3,17,-11.5%,37,-10.2,96,+4.1,30,-2.0%,93,+46.8
Aron Baynes,30.9,BOS,Big,372,24,-5.2,66,+1.2,16,-2.5%,83,+18.7,67,+0.7,33,-5.4%,85,+35.9,45,-0.4,28,-2.2%,51,-1.2
Bradley Beal,24.3,WAS,Wing,215,4,-15.6,48,-0.2,56,+0.7%,39,-6.2,39,-0.3,52,+2.2%,24,-26.9,60,+0.6,73,+4.4%,66,+11.4
Marco Belinelli,31.6,PHI,Wing,272,90,+13.4,81,+2.4,68,+1.4%,80,+17.0,78,+1.3,72,+7.5%,73,+24.3,72,+1.3,70,+4.1%,74,+19.6
Eric Bledsoe,27.9,MIL,Point,223,82,+10.5,16,-3.1,90,+3.6%,20,-19.6,35,-0.4,14,-12.8%,45,-1.3,7,-3.4,95,+12.2%,13,-35.6
Bojan Bogdanovic,28.5,IND,Forward,233,48,+1.2,69,+1.4,52,+0.5%,78,+16.5,44,-0.2,64,+5.1%,48,+3.0,70,+1.2,56,+2.1%,80,+22.9
Corey Brewer,31.7,OKC,Wing,151,37,-2.1,67,+1.2,11,-2.9%,68,+9.0,92,+2.4,74,+8.5%,76,+27.7,22,-2.2,21,-4.3%,22,-22.8
Malcolm Brogdon,24.9,MIL,Combo,185,31,-3.9,94,+5.3,27,-1.5%,94,+34.8,80,+1.4,4,-19.5%,73,+23.1,94,+3.9,27,-2.3%,90,+38.3
