Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Shareef Abdur-Rahim,28.9,SAC,Big,1946,78,+1.7%,72,+2.0%,30,-2.1%,77,+2.4%,67,+1.1%,21,-5.4%,85,+5.0%,72,+2.3%
Malik Allen,27.3,CHI,Big,655,26,-1.8%,8,-5.6%,90,+4.9%,57,+0.3%,78,+1.8%,65,+2.5%,28,-3.1%,40,-1.3%
Ray Allen,30.3,SEA,Wing,3009,97,+4.7%,89,+4.3%,76,+2.8%,78,+2.5%,86,+2.6%,84,+7.0%,78,+3.5%,87,+4.3%
Tony Allen,23.8,BOS,Combo,911,51,-0.3%,51,-0.3%,55,+0.5%,26,-2.5%,34,-1.6%,54,+0.6%,55,+0.6%,57,+0.7%
Rafer Alston,29.3,HOU,Point,2420,65,+0.7%,35,-1.6%,58,+0.8%,98,+6.1%,92,+3.9%,75,+4.5%,11,-6.1%,22,-3.3%
Chris Andersen,27.3,NOH,Big,528,73,+1.1%,27,-2.3%,68,+2.0%,72,+1.9%,81,+2.0%,17,-6.9%,87,+5.6%,73,+2.4%
Alan Anderson,23.0,CHA,Wing,515,75,+1.3%,28,-2.1%,43,-0.8%,78,+2.5%,72,+1.4%,82,+6.5%,23,-3.8%,62,+1.1%
Derek Anderson,31.3,HOU,Wing,579,64,+0.5%,99,+8.8%,39,-1.2%,56,+0.3%,49,-0.2%,50,-0.1%,8,-6.7%,12,-5.0%
Derek Anderson,31.3,MIA,Wing,426,36,-1.3%,31,-2.0%,33,-1.7%,91,+4.5%,73,+1.4%,61,+1.9%,38,-1.7%,46,-0.6%
Shandon Anderson,31.8,MIA,Wing,575,70,+0.9%,58,+0.6%,70,+2.2%,85,+3.2%,88,+2.9%,53,+0.5%,35,-2.1%,36,-1.8%
Carmelo Anthony,21.4,DEN,Forward,2930,78,+1.7%,74,+2.1%,29,-2.3%,80,+2.8%,72,+1.4%,16,-7.5%,63,+1.5%,38,-1.5%
