Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Ray Allen,32.3,BOS,Wing,984,37,-1.5%,40,-1.7%,6,-19.8%,55,+2.0%,25,-5.0%,45,-1.8%,62,+4.3%,62,+3.7%
Rafer Alston,31.3,HOU,Point,125,62,+2.2%,82,+7.1%,64,+3.0%,52,+1.6%,63,+2.6%,7,-27.6%,81,+10.8%,45,-0.0%
Carmelo Anthony,23.4,DEN,Forward,146,0,-14.2%,2,-16.2%,29,-4.5%,41,-2.1%,20,-5.7%,2,-77.8%,16,-10.5%,2,-16.8%
Leandro Barbosa,24.9,PHX,Combo,137,48,-0.2%,30,-4.1%,66,+3.3%,30,-5.3%,41,-1.6%,20,-13.7%,98,+25.8%,78,+10.0%
Andrea Bargnani,22.0,TOR,Big,103,19,-4.1%,2,-17.7%,45,-0.5%,89,+13.0%,89,+8.9%,90,+27.6%,6,-17.8%,28,-4.8%
Brent Barry,35.8,SAS,Wing,190,72,+3.2%,66,+3.1%,37,-2.6%,16,-8.4%,22,-5.5%,46,-1.7%,74,+8.0%,66,+4.2%
Brandon Bass,22.5,DAL,Big,131,69,+2.9%,89,+9.7%,20,-8.8%,44,-1.2%,30,-3.5%,60,+3.2%,56,+3.1%,63,+3.7%
Shane Battier,29.1,HOU,Forward,245,67,+2.7%,56,+1.0%,0,-52.9%,66,+5.2%,2,-11.8%,99,+50.0%,89,+16.9%,99,+25.0%
Raja Bell,31.1,PHX,Wing,212,93,+10.0%,75,+5.2%,16,-11.5%,95,+17.4%,83,+6.6%,80,+16.7%,90,+17.5%,97,+19.7%
Mike Bibby,29.5,ATL,Point,250,81,+4.8%,41,-1.6%,65,+3.2%,67,+5.8%,75,+5.4%,0,0.0%,92,+18.4%,93,+17.6%
Chauncey Billups,31.1,DET,Point,479,70,+3.2%,10,-10.1%,54,+0.7%,71,+6.4%,72,+4.7%,55,+2.5%,89,+14.8%,87,+12.2%
Keith Bogans,27.5,ORL,Wing,291,20,-3.4%,13,-9.2%,94,+13.9%,77,+7.6%,95,+12.2%,21,-12.8%,34,-3.8%,23,-6.3%
Carlos Boozer,25.9,UTA,Big,440,60,+1.9%,61,+2.3%,50,+0.2%,85,+9.7%,84,+6.6%,48,-1.4%,50,+0.6%,47,+0.3%
Chris Bosh,23.6,TOR,Big,198,1,-9.4%,98,+15.7%,1,-32.8%,4,-13.9%,0,-18.1%,16,-18.1%,19,-8.8%,9,-10.3%
Bruce Bowen,36.4,SAS,Wing,505,12,-5.4%,43,-1.3%,34,-3.6%,79,+7.7%,62,+2.3%,28,-10.6%,11,-13.4%,6,-11.7%
Ronnie Brewer,22.6,UTA,Wing,304,56,+1.5%,71,+4.6%,30,-4.5%,61,+4.2%,56,+1.3%,69,+10.1%,45,-1.2%,48,+0.7%
P.J. Brown,38.0,BOS,Big,329,14,-5.0%,43,-1.2%,73,+4.8%,18,-8.1%,31,-3.2%,34,-5.6%,20,-8.6%,17,-7.6%
Kobe Bryant,29.2,LAL,Wing,859,27,-2.7%,34,-3.0%,91,+12.4%,70,+6.2%,86,+8.5%,23,-12.6%,5,-18.0%,3,-16.5%
Caron Butler,27.6,WAS,Wing,245,45,-0.5%,9,-10.2%,21,-8.0%,25,-6.8%,13,-7.5%,7,-28.6%,100,+35.5%,92,+15.1%
Jose Calderon,26.1,TOR,Point,118,57,+1.8%,91,+11.0%,2,-24.8%,46,-0.5%,17,-6.8%,39,-3.8%,65,+4.7%,52,+1.6%
Marcus Camby,33.6,DEN,Big,123,7,-6.9%,5,-13.0%,48,0.0%,1,-21.7%,1,-14.3%,94,+43.3%,66,+4.7%,79,+10.1%
Sam Cassell,38.0,BOS,Combo,259,35,-1.8%,31,-3.8%,81,+7.4%,42,-2.1%,58,+1.7%,25,-11.3%,46,-1.1%,34,-3.4%
Tyson Chandler,25.1,NOH,Big,409,93,+9.0%,92,+11.6%,99,+22.9%,34,-3.9%,82,+6.5%,80,+15.4%,69,+6.9%,77,+9.6%
Josh Childress,24.4,ATL,Wing,193,85,+6.4%,80,+6.7%,93,+13.6%,39,-2.8%,64,+3.1%,71,+12.5%,30,-5.0%,43,-0.6%
Samuel Dalembert,27.5,PHI,Big,192,8,-6.3%,25,-4.8%,60,+1.4%,8,-10.3%,12,-7.5%,10,-21.4%,47,0.0%,22,-6.3%
Antonio Daniels,32.6,WAS,Point,151,40,-1.4%,7,-11.4%,79,+6.3%,58,+2.8%,69,+4.4%,19,-14.0%,72,+7.5%,57,+2.5%
Glen Davis,21.8,BOS,Big,112,52,+1.0%,11,-9.9%,83,+8.4%,33,-4.8%,47,-0.6%,79,+14.9%,57,+3.3%,73,+6.1%
Carlos Delfino,25.2,TOR,Wing,120,95,+10.8%,93,+11.7%,45,-0.5%,48,+0.6%,51,+0.3%,14,-20.8%,99,+30.5%,91,+15.0%
