Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Quincy Acy,22.1,TOR,Big,291,99,+18.7,+41,97,+9.3,91,+2.9%,40,+0.4%,95,+5.6%,91,+4.0,99,-9.5,95,-3.8%,80,+1.2%,70,-1.2%,82,-2.8
Jeff Adrien,26.7,CHA,Big,660,77,+3.7,+6,61,+0.7,72,+1.0%,62,-0.4%,56,+0.3%,24,-2.3,78,-3.0,56,-0.4%,87,+1.6%,52,-0.2%,47,+0.5
Arron Afflalo,27.0,ORL,Wing,2288,65,+1.8,+4,82,+3.7,89,+2.7%,57,-0.3%,11,-3.7%,64,+1.0,33,+1.9,25,+1.5%,18,-1.2%,74,-1.5%,47,+0.5
Cole Aldrich,24.0,HOU,Big,179,3,-13.4,-33,8,-7.5,17,-2.3%,54,-0.1%,6,-4.6%,8,-4.4,9,+5.9,4,+4.3%,93,+2.3%,16,+2.5%,9,+5.2
Cole Aldrich,24.0,SAC,Big,149,99,+18.0,+39,97,+8.5,75,+1.2%,99,-3.5%,81,+2.3%,32,-1.6,99,-9.5,100,-8.9%,81,+1.3%,2,+7.7%,63,-1.0
LaMarcus Aldridge,27.3,POR,Big,2782,96,+10.2,+23,86,+4.6,62,+0.4%,83,-1.4%,86,+3.2%,45,-0.6,91,-5.5,66,-1.0%,72,+0.8%,86,-2.5%,83,-2.9
Lavoy Allen,23.7,PHI,Big,1623,73,+3.1,+8,48,-0.7,36,-1.0%,30,+0.8%,84,+2.8%,14,-3.6,82,-3.7,79,-1.7%,30,-0.7%,83,-2.2%,59,-0.4
Ray Allen,37.3,MIA,Wing,1989,7,-10.5,-20,33,-2.5,8,-3.5%,78,-1.1%,72,+1.4%,83,+2.9,3,+8.0,11,+2.7%,15,-1.3%,62,-0.6%,10,+5.0
Tony Allen,30.8,MEM,Wing,2102,78,+3.8,+10,33,-2.4,31,-1.3%,12,+1.9%,81,+2.3%,57,+0.4,93,-6.2,73,-1.3%,93,+2.3%,71,-1.3%,92,-4.3
Al-Farouq Aminu,22.1,NOH,Wing,2049,94,+8.9,+20,78,+3.0,58,+0.3%,20,+1.3%,96,+6.3%,55,+0.3,93,-5.9,82,-1.9%,66,+0.6%,73,-1.5%,96,-5.6
