Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Arron Afflalo,24.0,DEN,Wing,2157,39,-0.8%,58,+0.5%,55,+0.1%,35,-1.1%,43,-0.6%,40,-2.0%,49,-0.1%,49,-0.1%
LaMarcus Aldridge,24.3,POR,Big,2911,66,+0.8%,99,+9.2%,69,+1.8%,20,-2.9%,31,-1.3%,72,+3.4%,7,-6.1%,24,-2.6%
Malik Allen,31.3,DEN,Big,383,9,-3.8%,38,-1.2%,10,-5.8%,66,+1.1%,41,-0.7%,78,+4.5%,5,-7.6%,9,-5.1%
Ray Allen,34.3,BOS,Wing,2813,98,+5.1%,99,+8.7%,59,+0.5%,96,+5.1%,92,+3.0%,83,+5.9%,53,+0.3%,67,+1.4%
Tony Allen,27.8,BOS,Wing,838,19,-2.2%,12,-4.3%,24,-2.8%,18,-3.2%,12,-3.0%,32,-3.3%,76,+2.8%,68,+1.5%
Rafer Alston,33.3,NJN,Combo,744,20,-2.2%,15,-3.7%,74,+2.3%,50,-0.0%,68,+1.0%,45,-1.0%,21,-3.4%,23,-2.8%
Rafer Alston,33.3,MIA,Point,652,59,+0.4%,12,-4.3%,12,-5.3%,97,+5.7%,82,+2.0%,75,+3.9%,43,-0.8%,57,+0.6%
Lou Amundson,26.9,PHX,Big,1029,27,-1.7%,6,-6.0%,11,-5.7%,30,-1.6%,10,-3.5%,51,-0.1%,81,+3.3%,75,+2.3%
Chris Andersen,31.3,DEN,Big,1668,78,+1.7%,45,-0.8%,75,+2.4%,89,+3.5%,92,+3.0%,24,-4.9%,68,+1.7%,50,-0.0%
David Andersen,29.4,HOU,Big,848,38,-1.0%,23,-2.7%,33,-1.6%,93,+4.0%,75,+1.4%,35,-2.9%,57,+0.6%,44,-0.6%
Ryan Anderson,21.5,ORL,Big,837,69,+1.0%,51,-0.2%,55,-0.0%,28,-1.7%,32,-1.2%,52,+0.0%,68,+1.7%,63,+1.0%
Carmelo Anthony,25.4,DEN,Wing,2624,20,-2.2%,18,-3.1%,17,-4.1%,62,+0.9%,36,-0.9%,20,-6.1%,38,-1.2%,25,-2.6%
Joel Anthony,27.2,MIA,Big,1249,23,-1.9%,11,-4.6%,22,-2.9%,51,+0.1%,35,-0.9%,44,-1.1%,47,-0.4%,44,-0.6%
Gilbert Arenas,27.8,WAS,Combo,1166,45,-0.4%,76,+2.3%,32,-1.8%,36,-1.1%,28,-1.4%,18,-6.9%,19,-3.8%,11,-4.6%
Trevor Ariza,24.3,HOU,Wing,2625,68,+0.9%,71,+1.8%,71,+2.1%,17,-3.2%,40,-0.7%,70,+3.0%,38,-1.2%,48,-0.1%
Hilton Armstrong,24.9,NOH,Big,197,37,-1.0%,90,+4.5%,29,-2.2%,0,-16.1%,1,-10.7%,36,-2.8%,81,+3.3%,74,+2.1%
Carlos Arroyo,30.3,MIA,Point,1503,43,-0.6%,56,+0.3%,76,+2.6%,55,+0.2%,66,+0.9%,18,-7.0%,79,+3.1%,55,+0.4%
Darrell Arthur,21.6,MEM,Big,444,7,-4.1%,2,-9.1%,24,-2.8%,74,+1.8%,47,-0.4%,9,-9.1%,91,+5.0%,68,+1.5%
Chucky Atkins,35.2,DET,Point,607,28,-1.6%,76,+2.3%,86,+3.8%,9,-4.8%,30,-1.3%,12,-8.3%,9,-5.6%,5,-6.5%
D.J. Augustin,22.0,CHA,Point,1392,26,-1.7%,20,-2.9%,6,-7.6%,37,-1.0%,11,-3.3%,61,+1.2%,70,+1.9%,69,+1.6%
Jeff Ayres,22.5,POR,Big,376,91,+3.0%,34,-1.5%,97,+7.5%,99,+6.7%,100,+6.9%,6,-10.0%,97,+8.1%,62,+0.9%
Kelenna Azubuike,25.9,GSW,Wing,220,19,-2.3%,86,+3.6%,27,-2.5%,17,-3.4%,12,-3.1%,12,-8.4%,23,-3.2%,11,-4.6%
Marcus Banks,28.0,TOR,Point,183,0,-9.0%,2,-8.8%,3,-8.5%,4,-6.7%,3,-7.3%,4,-10.8%,4,-7.7%,2,-8.4%
Leandro Barbosa,26.9,PHX,Wing,688,66,+0.8%,21,-2.9%,50,-0.3%,69,+1.5%,61,+0.6%,18,-6.6%,88,+4.3%,65,+1.2%
J.J. Barea,25.3,DAL,Combo,1484,39,-0.8%,44,-0.8%,88,+4.0%,41,-0.6%,72,+1.3%,84,+6.2%,5,-7.6%,13,-4.3%
Andrea Bargnani,24.0,TOR,Big,2794,47,-0.3%,49,-0.4%,22,-3.0%,40,-0.7%,25,-1.5%,75,+4.0%,65,+1.2%,67,+1.3%
Matt Barnes,29.6,ORL,Wing,2039,96,+3.8%,74,+2.1%,28,-2.4%,96,+5.6%,83,+2.0%,72,+3.5%,87,+4.3%,90,+4.2%
Earl Barron,28.2,NYK,Big,231,89,+2.6%,91,+4.7%,32,-1.6%,19,-3.0%,17,-2.4%,17,-7.0%,98,+10.1%,97,+6.5%
Brandon Bass,24.5,ORL,Big,552,12,-3.1%,41,-1.1%,78,+2.8%,52,+0.1%,69,+1.0%,13,-8.2%,17,-4.1%,7,-5.4%
Tony Battie,33.7,NJN,Big,115,1,-7.1%,2,-7.3%,1,-11.6%,4,-6.5%,1,-8.3%,1,-20.0%,100,+20.1%,95,+5.3%
