Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,31.3,HOU,Big,784,80,+3.6,43,-1.3,100,+13.2%,86,-1.7%,96,+7.7,99,+8.0,32,-6.3
Kyle Anderson,31.1,GSW,Big,508,5,-10.2,5,-10.5,73,+2.1%,74,-1.1%,44,-0.9,35,-1.2,62,+2.9
Kyle Anderson,31.1,MIA,Big,444,66,+1.7,26,-3.7,71,+2.0%,88,-1.9%,62,+0.9,71,+1.1,40,-3.7
Giannis Antetokounmpo,29.9,MIL,Big,2287,96,+9.1,92,+6.5,74,+2.3%,98,-3.0%,75,+2.6,85,+3.0,27,-8.2
Harrison Barnes,32.4,SAS,Big,2224,83,+4.0,96,+8.9,23,-2.3%,21,+1.2%,37,-1.6,60,+0.2,20,-11.1
Nicolas Batum,35.9,LAC,Forward,1344,35,-2.2,26,-3.7,55,+0.3%,13,+1.8%,58,+0.4,33,-1.3,82,+10.5
Bradley Beal,31.3,PHX,Wing,1699,19,-5.2,48,-0.8,3,-6.1%,11,+2.0%,11,-5.2,3,-5.1,77,+8.4
Malik Beasley,27.9,DET,Wing,2272,73,+2.3,74,+2.3,21,-2.5%,23,+1.2%,19,-3.7,9,-3.6,61,+2.8
Bismack Biyombo,32.2,SAS,Big,511,7,-8.4,35,-2.3,1,-8.9%,50,+0.1%,3,-8.8,2,-6.0,19,-11.4
Devin Booker,28.0,PHX,Combo,2780,82,+3.9,77,+2.8,25,-2.2%,84,-1.6%,67,+1.4,39,-0.9,90,+15.7
Malcolm Brogdon,31.9,WAS,Combo,563,77,+3.0,93,+7.2,72,+2.0%,55,-0.1%,76,+2.8,89,+4.1,32,-6.4
Jaylen Brown,28.0,BOS,Wing,2154,71,+2.2,91,+6.0,17,-2.9%,48,+0.1%,24,-2.9,37,-1.1,29,-6.8
