Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,20.3,OKC,Big,300,19,-3.3%,26,-3.7%,61,+3.4%,12,-9.9%,26,-4.2%,77,+10.5%,22,-5.4%,28,-2.7%
LaMarcus Aldridge,28.3,POR,Big,440,79,+4.4%,83,+6.4%,50,+0.1%,89,+11.8%,87,+6.8%,22,-8.9%,73,+5.2%,54,+1.9%
Ray Allen,38.3,MIA,Wing,526,40,-0.1%,28,-2.9%,22,-7.9%,16,-8.0%,12,-7.2%,60,+4.2%,76,+5.9%,74,+5.4%
Tony Allen,31.8,MEM,Wing,230,67,+2.5%,30,-2.0%,44,-2.4%,43,-2.7%,37,-2.5%,49,+1.3%,91,+11.9%,88,+8.7%
Chris Andersen,35.3,MIA,Big,316,30,-1.9%,25,-3.8%,30,-5.3%,29,-5.3%,27,-4.0%,78,+10.6%,17,-6.2%,44,-0.1%
Alan Anderson,31.0,BKN,Wing,257,9,-5.4%,50,+1.4%,40,-2.9%,31,-5.0%,29,-3.6%,16,-14.0%,11,-10.2%,9,-10.9%
Pero Antic,31.3,ATL,Big,169,38,-0.3%,17,-5.5%,12,-11.3%,28,-5.5%,10,-8.6%,73,+8.7%,63,+2.9%,69,+4.0%
Trevor Ariza,28.3,WAS,Wing,407,26,-2.3%,39,-0.7%,65,+4.3%,21,-6.5%,38,-1.9%,82,+13.3%,25,-4.8%,45,-0.0%
Omer Asik,27.3,HOU,Big,162,88,+5.9%,24,-3.8%,49,0.0%,98,+20.5%,90,+7.7%,89,+18.6%,92,+13.4%,98,+14.5%
D.J. Augustin,26.0,CHI,Point,140,12,-4.7%,13,-7.0%,22,-7.8%,71,+5.9%,51,+0.4%,2,-32.1%,16,-6.6%,6,-12.1%
