Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Alex Abrines,23.3,OKC,Wing,976,88,87.2%,10,3.5%,46,0.9%,90,36.4%
Quincy Acy,26.1,BKN,Big,492,64,76.0%,62,13.9%,64,1.9%,42,21.7%
Steven Adams,23.3,OKC,Big,2381,17,61.3%,71,15.9%,85,2.5%,47,23.7%
Arron Afflalo,31.0,SAC,Wing,1576,97,89.0%,45,7.2%,76,1.4%,48,21.9%
Alexis Ajinca,28.5,NOP,Big,566,54,72.5%,50,11.8%,50,1.6%,85,31.8%
Cole Aldrich,28.0,MIN,Big,497,0,76.5%,32,9.5%,29,1.2%,55,25.0%
LaMarcus Aldridge,31.3,SAS,Big,2325,85,81.2%,35,9.8%,83,2.4%,13,15.2%
Lavoy Allen,27.7,IND,Big,829,38,69.7%,13,6.5%,5,0.7%,68,27.3%
Tony Allen,34.8,MEM,Wing,1906,1,61.5%,64,9.2%,45,0.9%,49,22.0%
Al-Farouq Aminu,26.1,POR,Big,1756,50,71.6%,57,13.2%,12,0.9%,28,19.1%
Alan Anderson,34.0,LAC,Wing,258,0,75.0%,68,10.1%,93,2.0%,76,28.6%
Justin Anderson,23.0,DAL,Wing,627,40,78.8%,79,11.9%,33,0.7%,18,12.5%
Justin Anderson,23.0,PHI,Wing,462,17,75.0%,72,10.7%,39,0.8%,39,18.8%
Kyle Anderson,23.1,SAS,Wing,912,36,78.4%,78,11.8%,50,1.0%,18,12.5%
Ryan Anderson,28.5,HOU,Big,2112,93,86.0%,20,7.5%,19,1.0%,23,17.7%
Giannis Antetokounmpo,21.9,MIL,Forward,2820,52,76.7%,98,19.1%,100,3.0%,56,22.3%
Carmelo Anthony,32.4,NYK,Forward,2532,82,83.5%,63,10.3%,92,2.0%,44,19.9%
Trevor Ariza,31.3,HOU,Forward,2759,27,73.8%,20,6.3%,36,0.8%,41,19.2%
Darrell Arthur,28.6,DEN,Big,620,0,89.5%,4,4.1%,6,0.7%,45,22.2%
Omer Asik,30.3,NOP,Big,481,12,59.0%,98,23.8%,49,1.6%,37,21.1%
D.J. Augustin,29.0,ORL,Combo,1456,60,81.1%,84,11.7%,81,1.7%,32,15.6%
Luke Babbitt,27.4,MIA,Forward,1044,0,73.3%,0,1.4%,49,1.0%,0,0.0%
Ron Baker,23.6,NYK,Combo,778,6,65.7%,44,7.7%,60,1.4%,71,26.7%
Wade Baldwin,20.6,MEM,Combo,381,70,82.9%,81,11.1%,82,1.7%,18,7.7%
Leandro Barbosa,33.9,PHX,Wing,946,100,90.2%,17,4.0%,60,1.2%,93,37.5%
J.J. Barea,32.4,DAL,Combo,768,85,86.3%,15,5.0%,79,1.7%,23,11.1%
