Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Shareef Abdur-Rahim,27.9,POR,Forward,1856,11,+3.0%,39,+1.3%,7,+6.9%,20,+2.5%,7,+4.3%,25,+5.3%,54,-0.4%,36,+1.3%
Cory Alexander,31.4,CHA,Point,169,57,-0.4%,60,-0.5%,6,+7.5%,76,-2.6%,30,+1.4%,92,-10.9%,28,+2.5%,69,-2.0%
Malik Allen,26.3,MIA,Big,243,3,+4.7%,96,-7.7%,68,-1.8%,0,+10.3%,3,+5.5%,1,+24.9%,8,+6.7%,1,+12.5%
Malik Allen,26.3,CHA,Big,238,4,+4.2%,11,+4.8%,23,+3.2%,44,+0.3%,24,+1.8%,6,+12.2%,42,+0.7%,8,+5.4%
Ray Allen,29.3,SEA,Wing,3057,56,-0.4%,61,-0.6%,55,-0.5%,24,+2.0%,35,+1.0%,67,-3.3%,44,+0.5%,54,-0.7%
Tony Allen,22.8,BOS,Wing,1207,59,-0.5%,28,+2.4%,23,+3.1%,47,+0.2%,32,+1.2%,87,-8.4%,93,-6.7%,94,-7.2%
Rafer Alston,28.3,TOR,Point,2714,39,+0.6%,28,+2.3%,70,-1.9%,52,-0.4%,64,-1.0%,16,+8.3%,59,-1.1%,32,+1.8%
Chris Andersen,26.3,NOH,Big,1388,92,-3.1%,98,-8.4%,54,-0.4%,68,-1.9%,67,-1.2%,59,-1.9%,45,+0.5%,49,-0.2%
Derek Anderson,30.3,POR,Wing,1234,27,+1.4%,25,+2.8%,90,-5.0%,36,+0.9%,69,-1.3%,10,+10.4%,28,+2.5%,9,+5.2%
Kenny Anderson,34.1,ATL,Point,715,6,+3.6%,7,+6.0%,53,-0.2%,2,+6.8%,7,+4.3%,94,-12.8%,48,+0.1%,86,-4.0%
Shandon Anderson,30.8,MIA,Forward,1116,79,-1.8%,90,-4.8%,32,+1.8%,78,-2.7%,65,-1.0%,88,-9.2%,37,+1.3%,62,-1.3%
Carmelo Anthony,20.4,DEN,Forward,2597,54,-0.2%,55,-0.0%,84,-3.8%,27,+1.8%,51,-0.2%,41,+1.8%,33,+1.8%,32,+1.8%
Rafael Araujo,24.2,TOR,Big,706,16,+2.3%,16,+4.1%,24,+2.7%,82,-3.3%,60,-0.8%,19,+7.3%,10,+5.8%,5,+6.3%
Gilbert Arenas,22.8,WAS,Wing,3266,74,-1.4%,72,-1.6%,99,-10.4%,43,+0.4%,93,-4.0%,31,+3.7%,9,+6.0%,8,+5.5%
Trevor Ariza,19.3,NYK,Wing,1333,90,-2.9%,65,-1.0%,86,-4.2%,93,-5.9%,96,-5.2%,20,+7.0%,92,-6.3%,72,-2.4%
Darrell Armstrong,36.4,NOH,Point,415,91,-3.0%,9,+5.6%,100,-12.0%,96,-6.9%,100,-8.9%,96,-13.3%,17,+4.3%,64,-1.4%
Darrell Armstrong,36.4,DAL,Point,508,32,+1.0%,13,+4.6%,61,-1.0%,67,-1.7%,71,-1.5%,69,-3.8%,49,+0.1%,62,-1.3%
