Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
LaMarcus Aldridge,23.3,POR,Big,236,65,2.3%,15,0.7%,95,2.6%,10,4.6%,28,15.2%,0,0.0%,73,40.0%
Ray Allen,33.3,BOS,Wing,564,48,0.5%,42,1.1%,79,2.7%,58,2.5%,42,8.5%,0,0.0%,0,0.0%
Rafer Alston,32.3,ORL,Point,739,59,0.3%,76,2.1%,53,3.4%,0,0.5%,29,8.1%,0,0.0%,0,0.0%
Chris Andersen,30.3,DEN,Big,317,98,5.4%,20,0.7%,28,5.4%,75,9.7%,45,17.8%,63,2.9%,98,70.6%
Carmelo Anthony,24.4,DEN,Forward,610,60,0.9%,90,2.1%,20,4.0%,90,5.2%,80,12.1%,0,0.0%,20,9.5%
Trevor Ariza,23.3,LAL,Wing,720,76,0.8%,97,2.3%,27,4.5%,76,3.6%,52,9.0%,0,0.0%,91,30.8%
J.J. Barea,24.4,DAL,Combo,207,0,0.0%,33,0.7%,58,3.1%,50,1.2%,67,9.0%,0,0.0%,58,6.3%
Brandon Bass,23.5,DAL,Big,186,30,1.2%,85,1.6%,23,5.4%,57,8.1%,23,14.5%,0,0.0%,53,31.3%
Tony Battie,32.7,ORL,Big,124,33,1.3%,0,0.0%,53,4.7%,20,5.4%,5,11.4%,95,12.5%,0,0.0%
Shane Battier,30.1,HOU,Wing,495,79,1.0%,61,1.4%,64,3.2%,91,5.1%,55,9.2%,0,0.0%,30,6.5%
Michael Beasley,19.8,MIA,Big,163,73,2.5%,10,0.6%,78,3.9%,28,5.9%,85,23.5%,0,0.0%,78,41.2%
Mike Bibby,30.5,ATL,Point,387,65,0.3%,18,1.3%,41,3.5%,24,1.8%,53,10.4%,0,0.0%,0,0.0%
Chauncey Billups,32.1,DEN,Combo,616,42,0.4%,58,1.5%,83,2.6%,33,1.0%,75,9.1%,0,0.0%,100,19.5%
Steve Blake,28.7,POR,Point,229,0,0.0%,12,1.1%,94,2.3%,41,2.1%,65,10.9%,0,0.0%,0,0.0%
Carlos Boozer,26.9,UTA,Big,185,5,0.6%,88,1.6%,80,3.7%,35,6.3%,100,32.6%,73,5.9%,78,41.2%
Bruce Bowen,37.4,SAS,Wing,122,0,0.0%,45,1.2%,48,3.7%,0,0.0%,82,12.4%,0,0.0%,100,0.0%
Ronnie Brewer,23.6,UTA,Wing,157,33,0.4%,88,2.0%,82,2.6%,97,5.1%,79,12.3%,0,0.0%,39,7.7%
Aaron Brooks,23.8,HOU,Combo,438,50,0.4%,25,0.6%,67,3.0%,0,0.5%,33,7.7%,100,3.6%,0,0.0%
Shannon Brown,22.9,LAL,Point,260,76,0.4%,41,1.6%,24,3.8%,65,3.2%,0,5.3%,0,0.0%,53,4.2%
Kobe Bryant,30.2,LAL,Wing,939,91,1.2%,82,1.9%,85,2.6%,45,2.2%,76,11.5%,88,1.4%,58,10.1%
Rasual Butler,29.4,NOP,Wing,155,94,1.4%,3,0.3%,36,4.0%,48,2.2%,45,8.9%,0,0.0%,45,9.1%
Andrew Bynum,21.0,LAL,Big,399,80,2.8%,40,0.9%,3,8.5%,73,9.2%,15,13.6%,0,0.0%,15,14.3%
Anthony Carter,33.4,DEN,Point,212,41,0.3%,94,3.1%,0,5.4%,94,5.5%,59,10.8%,0,0.0%,0,0.0%
Mario Chalmers,22.5,MIA,Point,230,47,0.3%,100,4.5%,12,4.5%,76,3.4%,12,6.4%,0,0.0%,65,5.9%
Daequan Cook,21.5,MIA,Wing,142,0,0.0%,6,0.4%,9,5.7%,55,2.5%,30,7.8%,0,0.0%,73,14.3%
Samuel Dalembert,28.5,PHI,Big,133,90,3.9%,23,0.7%,0,8.5%,68,9.1%,95,29.5%,0,0.0%,100,85.7%
Erick Dampier,33.3,DAL,Big,254,57,2.0%,25,0.8%,8,7.3%,93,12.6%,38,16.2%,0,0.0%,18,15.0%
Glen Davis,22.8,BOS,Big,509,23,0.9%,90,1.6%,55,4.6%,40,6.8%,0,9.5%,78,6.5%,20,15.2%
Tim Duncan,32.5,SAS,Big,163,60,2.1%,38,0.9%,93,3.0%,53,7.9%,50,18.7%,93,10.0%,95,60.0%
Maurice Evans,30.0,ATL,Wing,244,67,0.7%,27,0.9%,18,5.4%,52,2.4%,0,3.2%,0,0.0%,0,0.0%
Jordan Farmar,21.9,LAL,Point,246,94,0.7%,29,1.5%,82,2.9%,18,1.8%,35,8.8%,100,9.1%,88,9.1%
Rudy Fernandez,23.6,POR,Wing,158,70,0.7%,100,2.5%,61,3.4%,30,1.4%,67,10.9%,0,0.0%,39,7.7%
Michael Finley,35.7,SAS,Forward,143,50,0.4%,0,0.3%,50,2.7%,20,2.2%,60,10.4%,0,0.0%,0,0.0%
Derek Fisher,34.2,LAL,Point,635,18,0.1%,35,1.5%,18,4.2%,12,1.3%,6,6.4%,0,0.0%,47,2.5%
Pau Gasol,28.3,LAL,Big,926,75,2.7%,43,1.0%,90,3.3%,60,8.3%,53,18.8%,60,2.9%,53,31.3%
Daniel Gibson,22.7,CLE,Combo,152,83,0.8%,0,0.0%,17,4.4%,17,0.7%,0,2.9%,0,0.0%,0,0.0%
Ben Gordon,25.6,CHI,Wing,303,21,0.2%,12,0.5%,67,3.2%,18,1.1%,12,5.9%,0,0.0%,0,0.0%
