Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,28.3,MEM,Big,109,33,+3.2,32,+1.0,46,+0.0%,22,+15.1,80,-1.2,10,+16.9%,60,-9.5,17,+2.2,22,+4.6%,11,+39.3
Kyle Anderson,28.1,MEM,Forward,211,28,+6.3,25,+1.7,38,+0.6%,32,+9.2,75,-1.1,10,+17.1%,71,-25.4,21,+1.9,57,-1.7%,33,+11.1
Giannis Antetokounmpo,26.9,MIL,Big,447,97,-14.4,52,-0.5,70,-1.8%,87,-24.8,87,-1.7,65,-5.6%,91,-46.7,25,+1.4,59,-2.3%,63,-8.8
Will Barton,30.8,DEN,Wing,172,40,+1.4,98,-5.9,21,+2.1%,97,-55.0,69,-1.0,6,+21.9%,55,-7.0,94,-4.6,48,-0.2%,96,-95.7
Malik Beasley,24.9,MIN,Wing,144,29,+4.1,65,-1.5,95,-5.5%,66,-11.3,60,-0.4,42,+2.5%,59,-9.2,57,-0.6,89,-10.4%,59,-5.7
Davis Bertans,29.0,DAL,Forward,179,60,-3.7,21,+2.2,79,-2.8%,17,+20.1,21,+1.2,85,-12.7%,5,+50.7,35,+0.7,81,-6.4%,43,+4.3
Patrick Beverley,33.3,MIN,Combo,226,63,-3.9,13,+3.1,16,+2.5%,18,+19.3,31,+0.7,80,-11.1%,21,+26.4,20,+2.0,10,+7.9%,21,+20.9
Nemanja Bjelica,33.5,GSW,Big,125,24,+6.7,44,+0.3,45,+0.3%,40,+5.6,71,-1.0,81,-11.2%,68,-21.2,27,+1.3,56,-1.3%,23,+18.9
Bojan Bogdanovic,32.5,UTA,Forward,214,18,+8.3,52,-0.6,84,-3.5%,36,+7.0,94,-2.3,78,-9.7%,89,-40.0,23,+1.7,94,-13.3%,13,+34.8
Devin Booker,25.0,PHX,Wing,365,33,+3.2,54,-0.8,87,-3.9%,58,-6.8,77,-1.2,77,-9.1%,70,-23.5,55,-0.4,98,-14.8%,64,-10.1
